ID,treatment,tank,number,sex,integument-color,carapace-width,carapace-length,weight,respirometry,dead-date,notes
5-001,5C,T01,1,M,YG,56,41,34.86,N,,sampled
5-002,5C,T01,2,M,Y,51,40,28.65,N,,sampled
5-003,5C,T01,3,M,G,47,35,20.43,Y,,
5-004,5C,T01,4,M,Y,54,43,35.09,N,,sampled
5-005,5C,T01,5,M,YG,43,33,16.33,Y,,
5-006,5C,T01,6,M,YG,39,31,13.09,N,,
5-007,5C,T01,7,F,G,42,32,16.11,N,,sampled
5-008,5C,T01,8,M,YG,52,44,37.78,N,,sampled
5-009,5C,T01,9,M,Y,53,40,34.23,N,,sampled
5-010,5C,T01,10,F,G,40,31,14.26,Y,,
5-011,5C,T01,11,F,G,42,32,14.63,N,,
5-012,5C,T01,12,M,YG,38,29,11.09,N,,sampled
5-013,5C,T01,13,M,Y,54,42,34.7,N,,
5-014,5C,T01,14,M,G,46,36,20.9,N,,sampled
5-015,5C,T01,15,M,YG,54,41,29.08,N,,
5-181,5C,T01,181,F,G,45,35,18.07,N,,sampled
5-182,5C,T01,182,F,YG,36,29,10.03,N,,sampled
15-031,15C,T02,31,M,G,44,33,19.24,Y,,
15-032,15C,T02,32,M,G,42,32,17.94,Y,,
15-033,15C,T02,33,M,YG,51,37,30.88,N,,
15-034,15C,T02,34,M,Y,57,42,41.72,N,,sampled
15-035,15C,T02,35,F,G,48,36,22.92,Y,,
15-036,15C,T02,36,M,Y,49,35,24.07,N,,sampled
15-037,15C,T02,37,M,Y,62,44,48.2,N,,sampled
15-038,15C,T02,38,F,YG,34,25,7.99,N,,sampled
15-039,15C,T02,39,M,G,37,29,12.01,N,,
15-040,15C,T02,40,F,G,50,38,26.48,N,,sampled
15-041,15C,T02,41,M,G,41,31,15.06,N,,
15-042,15C,T02,42,M,YG,53,39,30.7,N,,
15-043,15C,T02,43,M,YG,36,26,9.98,N,,sampled
15-044,15C,T02,44,M,Y,51,41,30.1,N,,sampled
15-045,15C,T02,45,M,YG,51,40,29.19,N,,sampled
15-183,15C,T02,183,F,YG,51,40,28.24,N,,
15-184,15C,T02,184,M,YG,39,30,12.75,N,,
25-046,25C,T03,46,M,Y,50,39,25.35,N,,
25-047,25C,T03,47,M,G,46,38,22.94,N,,
25-048,25C,T03,48,M,Y,49,40,26.49,N,,sampled
25-049,25C,T03,49,F,G,38,35,13.67,N,,sampled
25-050,25C,T03,50,F,YG,41,34,15.87,N,,
25-051,25C,T03,51,F,Y,39,30,11.98,N,,sampled
25-052,25C,T03,52,M,G,41,34,18.04,Y,,
25-053,25C,T03,53,M,YG,51,42,31.72,N,,sampled
25-054,25C,T03,54,M,Y,58,47,44.74,N,,
25-055,25C,T03,55,M,G,38,30,12.24,N,,sampled
25-056,25C,T03,56,F,G,42,33,15.39,N,,sampled
25-057,25C,T03,57,M,G,38,30,15.22,N,,
25-058,25C,T03,58,M,Y,50,40,27.13,N,,sampled
25-059,25C,T03,59,M,Y,50,41,27.08,N,,sampled
25-060,25C,T03,60,M,YG,46,37,21.89,Y,,
25-185,25C,T03,185,F,YG,45,36,19.71,N,,
25-186,25C,T03,186,F,YG,46,36,20.07,Y,,
5-061,5C,T04,61,M,G,48,36,23.69,Y,,
5-062,5C,T04,62,F,YG,50,39,28.69,N,,
5-063,5C,T04,63,F,G,41,31,14.83,N,,sampled
5-064,5C,T04,64,M,YG,42,31,15.88,N,,sampled
5-065,5C,T04,65,F,G,41,31,14.86,N,,
