
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.319	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	% air sat	OFF	SC7-540-211	3	OFF	15.000	ON	1013	0.000	100%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	% air sat	OFF	SC7-540-211	3	OFF	15.000	ON	1013	0.000	100%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	% air sat	OFF	SC7-540-211	3	OFF	15.000	ON	1013	0.000	100%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	raw value	OFF	SC7-540-211	3	OFF	15.000	ON	1013	0.000	100%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	24.200	15.000	1014	100.000	20.950	46.980	23.983	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	15.000	15.000	1014	100.000	20.950	48.867	22.635	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	15.000	15.000	1014	100.000	20.950	38.862	23.502	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 4	Not Calibrated	Not Calibrated	20.000	20.000	1013	50.000	20.950	54.000	21.100	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	7/5/2023	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/5/2023	16:44:26	0.00		89.707	102.56	96.679	-385.50	15.000	15.000	15.000	15.000	1014.55	51.622	---	---	---	25.139	22.352	23.790	177.300	9.606	57.215	20.896	7.530	5.728	6.133	6.715	10.150	
7/5/2023	16:44:28	1.39		88.958	102.55	91.829	-432.81	15.000	15.000	15.000	15.000	1014.57	51.591	---	---	---	25.230	22.354	24.241	177.582	9.566	57.216	17.092	7.605	5.520	6.120	6.713	9.783	
7/5/2023	16:44:29	2.42		88.889	102.57	87.156	-467.06	15.000	15.000	15.000	15.000	1014.57	51.550	---	---	---	25.238	22.351	24.672	177.802	9.854	57.219	13.232	7.664	5.278	6.107	6.720	9.362	
7/5/2023	16:44:30	3.61		90.691	102.63	84.945	-486.46	15.000	15.000	15.000	15.000	1014.56	51.512	---	---	---	25.028	22.345	24.882	177.906	11.269	57.187	11.996	7.663	5.108	6.102	6.720	9.120	
7/5/2023	16:44:31	4.85		93.652	102.77	85.587	-461.82	15.000	15.000	15.000	15.000	1014.52	51.495	---	---	---	24.683	22.330	24.819	177.784	12.485	57.181	11.874	7.638	5.071	6.096	6.712	9.033	
7/5/2023	16:44:32	5.90		95.108	102.80	85.563	-479.77	15.000	15.000	15.000	15.000	1014.54	51.487	---	---	---	24.513	22.327	24.821	177.863	13.272	57.172	11.786	7.647	5.084	6.093	6.693	8.997	
7/5/2023	16:44:33	6.96		95.485	102.80	85.578	-470.42	15.000	15.000	15.000	15.000	1014.57	51.487	---	---	---	24.471	22.328	24.820	177.816	12.963	57.183	11.808	7.651	5.051	6.087	6.680	8.981	
7/5/2023	16:44:34	8.04		94.847	102.65	85.468	-473.16	15.000	15.000	15.000	15.000	1014.60	51.487	---	---	---	24.542	22.343	24.830	177.832	12.879	57.182	11.772	7.660	5.049	6.086	6.683	9.101	
7/5/2023	16:44:36	9.07		95.158	102.70	88.139	-436.32	15.000	15.000	15.000	15.000	1014.58	51.495	---	---	---	24.507	22.338	24.578	177.646	12.934	57.188	13.212	7.602	5.048	6.093	6.694	9.587	
7/5/2023	16:44:37	10.10		95.244	102.76	90.220	-430.46	15.000	15.000	15.000	15.000	1014.57	51.512	---	---	---	24.498	22.331	24.380	177.614	13.075	57.179	14.646	7.545	5.049	6.108	6.708	10.022	
7/5/2023	16:44:38	11.13		95.349	102.87	93.255	-414.11	15.000	15.000	15.000	15.000	1014.55	51.530	---	---	---	24.486	22.320	24.095	177.509	13.245	57.172	16.081	7.496	5.055	6.120	6.714	10.338	
7/5/2023	16:44:39	12.18		94.909	102.88	92.722	-410.53	15.000	15.000	15.000	15.000	1014.56	51.550	---	---	---	24.536	22.319	24.144	177.485	13.402	57.157	16.079	7.486	5.049	6.130	6.720	10.245	
7/5/2023	16:44:40	13.21		94.364	102.90	93.053	-404.80	15.000	15.000	15.000	15.000	1014.56	51.571	---	---	---	24.597	22.317	24.113	177.451	13.506	57.165	16.087	7.516	5.063	6.135	6.716	10.118	
