
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.319	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	raw value	OFF	SC7-540-211	3	OFF	25.000	ON	1013	0.000	100%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	% air sat	OFF	SC7-540-211	3	OFF	25.000	ON	1013	0.000	100%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	% air sat	OFF	SC7-540-211	3	OFF	25.000	ON	1013	0.000	100%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	% air sat	OFF	SC7-540-211	3	OFF	25.000	ON	1013	0.000	100%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Not Calibrated	24.000	NaN	1012	65.911	20.950	51.458	20.392	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	24.000	25.000	1018	100.000	20.950	51.925	21.288	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	24.000	25.000	1018	100.000	20.950	49.383	21.360	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	24.000	25.000	1018	100.000	20.950	48.874	21.069	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	7/26/2023	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/26/2023	16:04:23	0.00		-2.1097E+5	100.04	98.821	100.37	25.000	25.000	25.000	25.000	1017.90	60.368	---	---	---	177.541	21.284	21.489	21.031	7.415	181.598	190.371	263.842	6.381	6.135	6.719	5.734	
7/26/2023	16:04:24	1.25		-2.1097E+5	100.07	98.882	100.35	25.000	25.000	25.000	25.000	1017.89	60.360	---	---	---	177.566	21.280	21.482	21.033	7.406	181.572	190.365	263.846	6.395	6.132	6.731	5.744	
7/26/2023	16:04:25	2.31		-2.1098E+5	100.08	98.908	100.36	25.000	25.000	25.000	25.000	1017.88	60.353	---	---	---	177.591	21.280	21.479	21.031	7.407	181.524	190.358	263.807	6.383	6.125	6.745	5.717	
7/26/2023	16:04:26	3.40		-2.1099E+5	100.07	98.963	100.34	25.000	25.000	25.000	25.000	1017.83	60.345	---	---	---	177.554	21.282	21.474	21.034	7.397	181.331	190.345	263.810	6.355	6.120	6.736	5.706	
7/26/2023	16:04:27	4.46		-2.1098E+5	100.04	98.944	100.33	25.000	25.000	25.000	25.000	1017.84	60.345	---	---	---	177.577	21.285	21.476	21.035	7.400	181.534	190.349	263.782	6.340	6.117	6.736	5.655	
7/26/2023	16:04:28	5.52		-2.1098E+5	100.06	98.978	100.35	25.000	25.000	25.000	25.000	1017.84	60.335	---	---	---	177.541	21.283	21.472	21.032	7.411	181.715	190.342	263.740	6.335	6.119	6.722	5.661	
7/26/2023	16:04:29	6.56		-2.1098E+5	100.11	98.971	100.40	25.000	25.000	25.000	25.000	1017.88	60.324	---	---	---	177.551	21.277	21.472	21.027	7.424	182.131	190.345	263.695	6.329	6.113	6.728	5.640	
7/26/2023	16:04:31	7.65		-2.1098E+5	100.11	98.968	100.41	25.000	25.000	25.000	25.000	1017.88	60.314	---	---	---	177.537	21.276	21.473	21.026	7.429	182.166	190.344	263.673	6.313	6.086	6.691	5.643	
7/26/2023	16:04:32	8.76		-2.1098E+5	100.09	98.943	100.43	25.000	25.000	25.000	25.000	1017.88	60.314	---	---	---	177.515	21.278	21.475	21.024	7.417	182.164	190.350	263.685	6.302	6.088	6.690	5.635	
7/26/2023	16:04:33	9.81		-2.1098E+5	100.12	98.914	100.45	25.000	25.000	25.000	25.000	1017.88	60.314	---	---	---	177.453	21.276	21.478	21.022	7.414	182.097	190.345	263.700	6.309	6.095	6.687	5.632	
7/26/2023	16:04:34	10.87		-2.1098E+5	100.16	98.939	100.49	25.000	25.000	25.000	25.000	1017.88	60.314	---	---	---	177.497	21.271	21.476	21.018	7.410	182.016	190.330	263.692	6.320	6.105	6.696	5.665	
7/26/2023	16:04:35	11.92		-2.1098E+5	100.20	98.954	100.49	25.000	25.000	25.000	25.000	1017.85	60.314	---	---	---	177.516	21.266	21.474	21.018	7.407	182.114	190.086	263.083	6.323	6.084	6.683	5.679	
7/26/2023	16:04:36	12.99		-2.1098E+5	100.16	98.912	100.48	25.000	25.000	25.000	25.000	1017.85	60.314	---	---	---	177.540	21.272	21.479	21.019	7.406	182.233	189.853	262.466	6.324	6.071	6.678	5.683	
