term,estimate,std.error,statistic,p.value
(Intercept),16.3891662226403,592.953546964783,0.0276398822581184,0.977949372363856
treatment25C,0.631625512073926,1.08374964280616,0.582814966783707,0.560017868433563
treatment5C,-1.49470293898859,0.918356035466154,-1.62758546932169,0.103612812253784
day,1.01552216495623,0.990846382893097,1.02490374137622,0.305408609097379
as.factor(integument.color)G,-14.3156680419268,592.952826452288,-0.0241430134123472,0.980738533568827
as.factor(integument.color)O,-15.5725518539745,592.95422421874,-0.0262626543802643,0.979047842116854
as.factor(integument.color)Y,-15.0120589333062,592.952744069524,-0.0253174626198306,0.979801745239048
as.factor(integument.color)YG,-13.638410726905,592.952800457566,-0.0230008370251065,0.981649605277284
as.factor(integument.color)YO,-15.0572008329677,592.952889940575,-0.0253935870596343,0.979741026245181
weight,0.0352259298214384,0.0175749824127913,2.00432233694871,0.0450355426235938
treatment25C:day,-0.932902268419587,0.992388722421123,-0.940057305511889,0.347188167031325
treatment5C:day,-1.02331362520355,0.990881385639938,-1.03273069817804,0.301729943281488
