term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value,p.adj
TTRnullDiffTreatment,4,394.145964534918,403.772841523975,-193.072982267459,386.145964534918,NA,NA,NA,NA
TTRDiffmodel,8,388.60726211021,407.861016088324,-186.303631055105,372.60726211021,13.5387024247084,4,0.00892262984192797,0.0535357790515678
TTRnullDiffDay,5,382.92750290508,394.961099141401,-186.46375145254,372.92750290508,NA,NA,NA,NA
TTRDiffmodel,8,388.60726211021,407.861016088324,-186.303631055105,372.60726211021,0.320240794870131,3,0.956177851724622,1
TTRnullDiffInteraction,6,384.886713742817,399.327029226402,-186.443356871408,372.886713742817,NA,NA,NA,NA
TTRDiffmodel,8,388.60726211021,407.861016088324,-186.303631055105,372.60726211021,0.279451632607447,2,0.869596631933904,1
TTRnullDiffDay,5,382.92750290508,394.961099141401,-186.46375145254,372.92750290508,NA,NA,NA,NA
TTRdiffModelGenotype,7,386.839824167735,403.686858898585,-186.419912083868,372.839824167735,0.0876787373443335,2,0.957107686604438,1
TTRnullDiffDay,5,382.92750290508,394.961099141401,-186.46375145254,372.92750290508,NA,NA,NA,NA
TTRdiffModelpresenceC,6,384.881151802802,399.321467286388,-186.440575901401,372.881151802802,0.0463511022776402,1,0.829538839012162,1
TTRnullDiffDay,5,382.92750290508,394.961099141401,-186.46375145254,372.92750290508,NA,NA,NA,NA
TTRdiffModelpresenceT,6,384.861247703755,399.30156318734,-186.430623851877,372.861247703755,0.0662552013249638,1,0.796869341168534,1
