term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value,p.adj
TTRDVnullSex,8,1309.84162900909,1347.27842249584,-646.920814504544,1293.84162900909,NA,NA,NA,NA
TTRmodelDV,9,1310.8989588382,1353.0153515108,-646.449479419101,1292.8989588382,0.942670170887368,1,0.331592086799083,1
TTRDVnullIntegument,8,1316.19418120434,1353.63097469109,-650.097090602169,1300.19418120434,NA,NA,NA,NA
TTRmodelDV,9,1310.8989588382,1353.0153515108,-646.449479419101,1292.8989588382,7.29522236613639,1,0.0069138212283458,0.0829658547401497
TTRDVnullCW,8,1309.3605497995,1346.79734328625,-646.680274899749,1293.3605497995,NA,NA,NA,NA
TTRmodelDV,9,1310.8989588382,1353.0153515108,-646.449479419101,1292.8989588382,0.461590961296679,1,0.496881372515941,1
TTRDVnullWeight,8,1309.18997503104,1346.6267685178,-646.594987515521,1293.18997503104,NA,NA,NA,NA
TTRmodelDV,9,1310.8989588382,1353.0153515108,-646.449479419101,1292.8989588382,0.291016192839834,1,0.58957006480403,1
TTRDVnullSwimmer,7,1314.88620707144,1347.64340137235,-650.443103535719,1300.88620707144,NA,NA,NA,NA
TTRmodelDV,9,1310.8989588382,1353.0153515108,-646.449479419101,1292.8989588382,7.98724823323619,2,0.0184327903414855,0.221193484097826
TTRnullTreatment,5,1311.99420078393,1335.39219671315,-650.997100391966,1301.99420078393,NA,NA,NA,NA
TTRmodel,9,1026.71862915089,1068.83502182349,-504.359314575444,1008.71862915089,293.275571633044,4,3.05644302582033e-62,3.6677316309844e-61
TTRnullDay,6,1168.95685932484,1197.03445443991,-578.478429662422,1156.95685932484,NA,NA,NA,NA
TTRmodel,9,1026.71862915089,1068.83502182349,-504.359314575444,1008.71862915089,148.238230173956,3,6.32117928302078e-32,7.58541513962494e-31
TTRnullInteraction,7,1170.12899093283,1202.88618523375,-578.064495466417,1156.12899093283,NA,NA,NA,NA
TTRmodel,9,1026.71862915089,1068.83502182349,-504.359314575444,1008.71862915089,147.410361781947,2,9.77792386559688e-33,1.17335086387163e-31
TTRnullIntegument2,8,1026.71704461698,1064.15383810374,-505.35852230849,1010.71704461698,NA,NA,NA,NA
TTRmodel,9,1026.71862915089,1068.83502182349,-504.359314575444,1008.71862915089,1.99841546609218,1,0.157463742782959,1
TTRmodelFinal,8,1026.71704461698,1064.15383810374,-505.35852230849,1010.71704461698,NA,NA,NA,NA
TTRmodelGenotype,10,1030.57780427513,1077.37379613357,-505.288902137565,1010.57780427513,0.139240341850609,2,0.932748037454618,1
TTRmodelFinal,8,1026.71704461698,1064.15383810374,-505.35852230849,1010.71704461698,NA,NA,NA,NA
TTRmodelpresenceC,9,1028.69467134469,1070.81106401729,-505.347335672345,1010.69467134469,0.0223732722906789,1,0.881098372859654,1
TTRmodelFinal,8,1026.71704461698,1064.15383810374,-505.35852230849,1010.71704461698,NA,NA,NA,NA
TTRmodelpresenceT,9,1028.63685292064,1070.75324559324,-505.318426460319,1010.63685292064,0.0801916963426947,1,0.777037797822677,1
