treatment,tank,probe_num,slope_nmol_hr,p.value,r.squared,slope_nmol_hr_blank,p.value_blank,r.squared_blank,slope_nmol_hr_corrected,blank_ratio
15C,tank2,2,-5688.304144048,0,0.990060305950859,-165.028121857117,1.03952130390828e-109,0.619480450084237,-5523.27602219088,0.0290118315895249
15C,tank2,3,-1839.43154432824,0,0.855123478205498,-116.765326203812,2.40620076980731e-129,0.680916104225906,-1722.66621812443,0.063479027835447
15C,tank2,4,-5366.14944763422,0,0.970346511784706,-220.763492221627,9.85362060595184e-313,0.938452104686686,-5145.38595541259,0.0411400193706783
15C,tank5,3,-4354.77510927907,0,0.962240244290443,28.2508185062256,7.56548049518558e-39,0.264385590537052,-4324.52724397143,0.00648731973461254
15C,tank5,2,-1890.9471059632,0,0.888712826151635,-30.2478653076422,3.61346087011828e-114,0.606107208855246,-1919.19792446942,0.0159961456416491
15C,tank5,4,-1900.22650962308,0,0.959893350641859,-29.2342956729497,3.21588444923501e-159,0.729052962750093,-1870.99221395013,0.015384637318184
15C,tank8,4,-4799.65414062027,0,0.985447946403261,37.7843035248112,5.17636593418397e-222,0.837601787388176,-4794.51155346877,0.00787229713179463
15C,tank8,3,-4337.13156653797,0,0.977859415115808,-30.7180247066053,3.45644048834851e-57,0.366464764634924,-4306.41354183136,0.00708256695360647
15C,tank8,2,-2074.57046882379,0,0.911355036373418,-5.14258715150407,1.82525319619039e-06,0.0400917746774691,-2112.35477234861,0.0024788683868713
25C,tank3,3,-9175.41537878958,2.63270445170071e-99,0.942549739992087,70.3660907478528,1.35731664210801e-90,0.551874570628803,-9079.40593341765,0.00766898149488852
25C,tank3,2,-2515.28302900404,0,0.949001226115051,-96.0094453719292,9.19639328017041e-192,0.8207605792333,-2585.6491197519,0.0381704342075354
25C,tank3,4,-5969.49876548415,4.08652100651866e-208,0.981151720548916,108.040655676927,6.02326600007614e-107,0.613536717275452,-6077.53942116108,0.0180987818108987
25C,tank6,2,-24284.9559751193,1.1279184946577e-82,0.968159168042616,-172.724520449184,0,0.968490547752801,-24112.2314546701,0.00711240821791671
25C,tank6,3,-12822.1741379228,2.25132045802318e-95,0.92982589909965,138.520461565546,8.28870799276745e-162,0.729126709997875,-12960.6945994883,0.0108031960941678
25C,tank6,4,-16727.0307280365,1.25491671595673e-91,0.969909876963602,-83.2305222171056,2.21200743698248e-255,0.873964084543618,-16643.8002058193,0.00497580972799922
25C,tank9,4,-14040.8047518236,3.54239953276284e-153,0.979122498939305,-112.603358192182,2.56897606814578e-273,0.894584435838035,-13854.7707935721,0.00801972252890682
25C,tank9,3,-6727.46693909367,8.47435538584201e-151,0.903492660312567,-46.0804631357229,2.10223746878146e-120,0.625317487639334,-6681.38647595794,0.00684960083087839
25C,tank9,2,-7835.20398780645,7.50010201035161e-234,0.97760618952417,-186.03395825156,1.50303429232624e-178,0.768639097576788,-7722.60062961427,0.0237433458709022
5C,tank1,2,-1231.56231314938,0,0.938620059423038,-102.709308165188,3.95252516672997e-323,0.92989719873859,-1128.85300498419,0.0833975732032084
5C,tank1,3,-1208.20846121675,0,0.944356530192981,-212.525197996225,0,0.978764340920338,-995.683263220528,0.175901100528792
5C,tank1,4,-1196.27711870695,0,0.970123706455284,-181.391794138539,0,0.952001062679701,-1014.88532456841,0.151630246288255
5C,tank4,4,-2379.7691344187,0,0.97258062101235,72.4700534502561,7.58029849325283e-133,0.65874593730794,-2305.69004002852,0.0304525562593945
5C,tank4,2,-1692.79428651329,0,0.924310558430121,-74.079094390182,5.78833686420261e-264,0.883847314253086,-1543.81679772789,0.0437614274695867
5C,tank4,3,-1674.41536872048,0,0.967774961759147,-148.977488785397,0,0.979056278432466,-1746.88542217073,0.0889728388597149
5C,tank7,2,-2837.8310854117,0,0.975730169521206,-102.703403905224,0,0.961102641811004,-2735.12768150647,0.0361908093942541
5C,tank7,3,-1111.4371304617,0,0.956607601979782,-107.544122780429,7.96120316029011e-313,0.923691924523856,-1003.89300768127,0.0967613190462287
5C,tank7,4,-1927.89313030356,0,0.965259667529352,-240.592465016376,0,0.976633616739402,-1687.30066528719,0.124795540393099
