term,estimate,std.error,statistic,p.value
(Intercept),7.65226694778325,0.425084009419031,18.0017755978206,1.09784114892488e-32
treatment25C,0.706747414381228,0.535000696169817,1.32102148546905,0.189602099485966
treatment5C,0.397544086837557,0.503425303986344,0.789678396555809,0.431641748635895
as.numeric(day),0.0405864439506215,0.0139268415599894,2.91426047864455,0.00442672580166431
hasCY,0.80999094967222,0.442447415477687,1.83070557389903,0.0702147908140073
hasTY,-0.129482516045719,0.205820389016955,-0.629104418003272,0.530759506663468
treatment25C:as.numeric(day),-0.0452531846819366,0.0173138455375951,-2.61369922607166,0.0103837482641143
treatment5C:as.numeric(day),-0.0588804635542614,0.0168334935548096,-3.49781602746617,0.000709658292291218
treatment25C:hasCY,-1.12751195684256,0.549789857695833,-2.0508053050814,0.0429826742742295
treatment5C:hasCY,-1.44965961224797,0.593130440388437,-2.44408230219747,0.0163283165028564
as.numeric(day):hasCY,-0.030198240795856,0.016202628176337,-1.86378657012933,0.0653764326404962
treatment25C:hasTY,0.827737747327149,0.281872216409273,2.93657089681123,0.0041448064388216
treatment5C:hasTY,NA,NA,NA,NA
treatment25C:as.numeric(day):hasCY,0.0515339489935107,0.0205248666216545,2.51080554838492,0.0136990705000316
treatment5C:as.numeric(day):hasCY,0.0520127663588168,0.0199434886580359,2.60800741789271,0.0105462376553512
