PC	metabolite	loading	cum_var	PubChem	KEGG
2	ononitol	0.209046271640954	0.0437003436869836	230881	
2	conduritol-beta-epoxide	0.203637008964158	0.0851683751068522	9989541	
2	ciliatine	-0.179756144215377	0.117480646490032	339	C03557
2	pinitol	0.178263261854276	0.149258437016958	164619	
2	6-deoxygalactofuranose 	-0.167989378002456	0.17747886813861	11953811	C02431
2	lactose 	0.15679565548486	0.202063745717537	440995	C00243
2	2-hydroxyglutaric acid	0.148859350765663	0.224222852027912	43	C02630
2	1,5-anhydroglucitol	0.145831952144906	0.245489810294306	64960	C07326
2	sorbitol	0.144931868060263	0.266495056673743	5780	C00794
2	cadaverine	0.144795444015539	0.2874607772814	273	
2	homoserine	0.143916515806655	0.308172740803327	12647	C00263
2	alanine	-0.138357280749994	0.32731547793986	5950	C00041
2	glycine	-0.131698779051488	0.344660046343513	750	C00037
2	glucose-6-phosphate	-0.1274276025461	0.36089784023416	5958	C00092
2	fructose-6-phosphate	-0.126191154335864	0.376822047666777	440641	C05345
2	n-epsilon-trimethyllysine	0.117145726028813	0.390545168793595	440121	
2	campesterol 	0.116869735503847	0.404203703870334	173183	C01789
2	uridine	0.114438726659879	0.417299926029868	6029	C00299
2	glucosamine	0.113961739194457	0.430287204030094	439213	C00329
2	gluconic acid lactone	0.113147375144644	0.443089532532217	7027	C00198
2	citrulline	-0.112229264572609	0.455684940358725	9750	C00327
2	N-acetylmannosamine	0.111942068942777	0.468215967157915	11096158	
2	creatinine	0.109222811152453	0.480145589633959	588	C00791
2	ornithine	-0.108287610680818	0.49187179626092	6262	C00077
