PC,metabolite,loading,low,high
1,phenylalanine,-0.115389635615858,-0.135308747983569,-0.0840276417913003
1,isoleucine,-0.0495671391354892,-0.089104184760693,-0.00435725044979711
1,glycine,-0.0841730894530123,-0.112852213519499,-0.0483605889360662
1,aminomalonic acid,-0.0757285402163181,-0.113355364609366,-0.0439392481993696
1,ethanolamine,-0.116596665208283,-0.135338519596195,-0.0880622791780379
1,galactinol,-0.0501258918986661,-0.0775108574446377,-0.0116141149913779
1,alanine,-0.0845722459980533,-0.114336358061152,-0.0504842493957522
1,campesterol ,-0.0482013677432395,-0.075168994476528,0.00981202390019899
1,maltotriitol,-0.0463951852611751,-0.0842259232994075,-0.00953406251338884
1,glucosamine,-0.0451362549173531,-0.0773495863708539,-0.00772503476196844
1,adenine,0.174555589257188,0.151300576682792,0.186794613588229
1,UDP-N-acetylglucosamine,0.166407221652275,0.144700184483939,0.171599473886181
1,cytidine-5-monophosphate,0.163960159562585,0.140088785299974,0.187864674456243
1,pyrophosphate,0.176523887122847,0.159726002474668,0.180036101186084
1,glucose-1-phosphate,0.168618655695961,0.146173943591879,0.186329017339394
1,fructose-6-phosphate,0.160145158316801,0.140579780763648,0.165149517691148
1,glucose-6-phosphate,0.156863773032714,0.1372013448123,0.162036805186398
1,2,5-dihydroxypyrazine ,0.153703202163931,0.128951083076927,0.16813386624016
1,adenosine,0.148612878983879,0.12405231874765,0.157438389216389
1,levoglucosan,0.135931910907392,0.104928366758202,0.154276328765988
