,term,df,SumOfSqs,R2,statistic,p.value,genotype,p.adj
1,as.factor(final.genotype),2,1127.10024086661,0.109533551104626,0.799545095790268,0.793,full,1
2,Residual,13,9162.89975913339,0.890466448895374,NA,NA,full,NA
3,Total,15,10290,1,NA,NA,full,NA
4,as.factor(presenceC),1,491.00144988219,0.0477163702509417,0.701502328344361,0.85,presenceC,1
5,Residual,14,9798.99855011781,0.952283629749058,NA,NA,presenceC,NA
6,Total,15,10290,1,NA,NA,presenceC,NA
7,as.factor(presenceT),1,667.432746046441,0.064862268809178,0.971056704312567,0.427,presenceT,1
8,Residual,14,9622.56725395356,0.935137731190822,NA,NA,presenceT,NA
9,Total,15,10290,1,NA,NA,presenceT,NA
10,as.factor(het),1,546.7258994815,0.0531317686570943,0.785584241372587,0.695,het,1
11,Residual,14,9743.2741005185,0.946868231342906,NA,NA,het,NA
12,Total,15,10290,1,NA,NA,het,NA
