,term,df,SumOfSqs,R2,statistic,p.value,genotype
1,as.factor(final.genotype),2,365.370568276128,0.116175061455049,0.985843375665903,0.48,full
2,Residual,15,2779.62943172387,0.883824938544952,NA,NA,full
3,Total,17,3145,1,NA,NA,full
4,as.factor(presenceC),1,190.21487359046,0.0604816768173165,1.03000314650479,0.4,presenceC
5,Residual,16,2954.78512640954,0.939518323182684,NA,NA,presenceC
6,Total,17,3145,1,NA,NA,presenceC
7,as.factor(presenceT),1,165.501060322136,0.0526235485920941,0.888745731670061,0.605,presenceT
8,Residual,16,2979.49893967786,0.947376451407906,NA,NA,presenceT
9,Total,17,3145,1,NA,NA,presenceT
10,as.factor(het),1,195.236308810655,0.0620783175868537,1.05899362389635,0.37,het
11,Residual,16,2949.76369118935,0.937921682413147,NA,NA,het
12,Total,17,3145,1,NA,NA,het
