,term,df,SumOfSqs,R2,statistic,p.value,genotype
1,as.factor(treatment),1,588.962829062605,0.0964722078726626,3.35875145762774,0.001,full
2,as.factor(final.genotype),2,279.513598489272,0.045784373216916,0.79700845284824,0.825,full
3,as.factor(treatment):as.factor(final.genotype),2,326.675546539003,0.0535095080325968,0.931486601502134,0.549,full
4,Residual,28,4909.84802590912,0.804233910877824,NA,NA,full
5,Total,33,6105,1,NA,NA,full
6,as.factor(treatment),1,588.962829062605,0.0964722078726626,3.39082778327718,0.001,presenceC
7,as.factor(presenceC),1,138.545481639254,0.0226937725862825,0.797646040137391,0.691,presenceC
8,as.factor(treatment):as.factor(presenceC),1,166.703645441347,0.0273060844293771,0.959760658301275,0.463,presenceC
9,Residual,30,5210.78804385679,0.853527935111678,NA,NA,presenceC
10,Total,33,6105,1,NA,NA,presenceC
11,as.factor(treatment),1,588.962829062605,0.0964722078726626,3.39039475547701,0.001,presenceT
12,as.factor(presenceT),1,143.960001624011,0.0235806718466848,0.828713138452794,0.658,presenceT
13,as.factor(treatment):as.factor(presenceT),1,160.623593491576,0.0263101709240911,0.92463796033862,0.478,presenceT
14,Residual,30,5211.45357582181,0.853636949356561,NA,NA,presenceT
15,Total,33,6105,1,NA,NA,presenceT
16,as.factor(treatment),1,588.962829062605,0.0964722078726626,3.39125413871529,0.001,het
17,as.factor(het),1,136.404763765869,0.0223431226479719,0.78542005850816,0.751,het
18,as.factor(treatment):as.factor(het),1,169.499474293872,0.0277640416533779,0.9759797483723,0.43,het
19,Residual,30,5210.13293287765,0.853420627825987,NA,NA,het
20,Total,33,6105,1,NA,NA,het
