metabolite,VIP
ononitol,1.88975506722353
conduritol-beta-epoxide,1.85310994529547
ciliatine,1.79785414782743
fructose-6-phosphate,1.79723277728121
glucose-6-phosphate,1.78507601592737
2-hydroxyglutaric acid,1.76908563090739
6-deoxygalactofuranose ,1.76753926242603
glycerol-alpha-phosphate,1.68560118487641
pyrophosphate,1.68367872234683
glycine,1.6580255030391
pinitol,1.64807166765829
lactose ,1.56401043245728
adenine,1.55865772103027
glucose-1-phosphate,1.54310492486223
1,5-anhydroglucitol,1.47623602679785
ethanolamine,1.46711679527438
aminomalonic acid,1.43459689718818
UDP-N-acetylglucosamine,1.42276617012233
alanine,1.40772913522156
cytidine-5-monophosphate,1.40304997096222
cadaverine,1.40159010479826
adenosine,1.39047162140392
citrulline,1.38739428900287
homoserine,1.35931589929785
glutathione,1.35760430191658
2,5-dihydroxypyrazine ,1.32569843337977
ornithine,1.31562399559999
maleimide,1.31517622967406
dehydroascorbic acid,1.29924157577001
sorbitol,1.29555470325961
inosine,1.27480915395089
proline,1.25751869466883
levoglucosan,1.25521745912047
n-epsilon-trimethyllysine,1.23124836555571
fructose-1-phosphate,1.22424601227843
phenol ,1.22367487982481
behenic acid,1.22165911967875
uridine,1.2122128310107
glycerol,1.20858371224918
erythronic acid lactone,1.19183783510928
campesterol ,1.18933809127517
glucose,1.15693610240319
alpha-ketoglutarate,1.14074432263854
urea,1.13688310824696
citric acid,1.12722716499084
cholesterol,1.12654169643681
butyrolactam ,1.11048380296531
cytosine,1.10648876127876
glucosamine,1.1053937924851
1-monopalmitin,1.10317188532925
trehalose-6-phosphate,1.09832848888789
galactose-6-phosphate,1.09546664551909
fructose,1.08451587282593
gluconic acid lactone,1.07710152056609
methanolphosphate,1.07472038547236
2,3-dihydroxypyridine,1.07173012932421
xanthine,1.05227517666612
3-Amino-2-piperidone ,1.04985230624149
phenylalanine,1.04808271340298
N-acetylmannosamine,1.03711764973859
tocopherol alpha-,1.03383334336875
nicotinamide,1.03027731551208
glycolic acid,1.0293706387383
octadecanol,1.02531960323954
saccharic acid,1.0240503939738
hexadecylglycerol ,1.01568878133566
isomaltose,1.01008359624733
lactic acid,1.00761902459013
creatinine,1.00392907811141
oxoproline,0.997437745777697
beta-alanine,0.997179658468818
2,4-diaminobutyric acid,0.996951534811878
threonic acid,0.995965738954307
succinic acid,0.982447933746051
phenylethylamine,0.968779937665946
phosphogluconic acid,0.968342210361602
beta-sitosterol,0.961891882638065
beta-glycerolphosphate,0.960074247973651
beta-glutamic acid,0.953257163985096
hypoxanthine,0.952086003469366
fumaric acid,0.950949784311445
maltose,0.949084148393951
galactinol,0.948195332863836
3-phosphoglycerate,0.947421566534734
glycerol-3-galactoside,0.94303343817237
methylmaleic acid,0.942757041943366
arachidonic acid,0.932144328345474
erythritol,0.927355853678718
capric acid,0.925517892583032
1-monostearin,0.920510653704644
histidine,0.919850611103737
methionine sulfoxide,0.906256222470883
lauric acid,0.90592663459069
raffinose,0.888836227686026
6-Oxopiperidine-2-carboxylic acid ,0.886375243180869
oxamic acid,0.886023696095895
5-hydroxynorvaline ,0.883465374218548
melezitose,0.877297833476255
uric acid,0.877093032738439
2-picolinic acid,0.869242503485982
lysine,0.869008077475698
tocopherol gamma-,0.868406860452383
aspartic acid,0.867474905523344
diphenoxyethane,0.86679254658804
maltotriose,0.864078260997194
inositol-4-monophosphate,0.862160760976798
agmatine,0.860787295554266
panose ,0.848549232713095
asparagine,0.846286094120953
oleic acid,0.837486362798697
hypotaurine,0.833348226839815
nonadecanoic acid,0.829093160729154
pentadecanoic acid,0.822138738441052
heptadecanoic acid,0.820787220166564
alanine-alanine,0.818345589392324
pentitol,0.817424232258579
propylamine,0.814891024257138
(5E)-isovitamin D3,0.811504907920974
taurine,0.808615484860869
cysteine,0.80473092336405
ribitol,0.798598096007147
ketoisoleucine ,0.793443086753985
docosahexaenoic acid,0.792980781039606
lignoceric acid,0.789874899271495
4-hydroxymandelic acid,0.784318875348079
trans-4-hydroxyproline,0.768222083870607
zymosterol,0.767951103997491
oxalic acid,0.766912723291891
methionine sulfone ,0.759523479693835
palmitoleic acid,0.757824512763954
glutamic acid,0.749797049469102
2-ketoisocaproic acid,0.747491719554398
methionine,0.744062990902832
