metabolite,estimate,estimate1,estimate2,statistic,p.value,parameter,conf.low,conf.high,method,alternative,p.adj
UDP-N-acetylglucosamine,1.40257154763702,7.50538684991629,6.10281530227927,8.1732586089559,7.90874111113255e-09,27.4192743116614,1.05071905229427,1.75442404297977,Welch Two Sample t-test,two.sided,9.35867698150685e-08
cyanoalanine,0.422391146137951,6.91021723014128,6.48782608400333,3.59039233388781,0.00202930301159932,18.4230096393045,0.175634660731023,0.669147631544879,Welch Two Sample t-test,two.sided,0.00411658610924434
cytidine-5-monophosphate,1.96613515556247,6.88133840712554,4.91520325156308,8.38477966098802,2.0210530655641e-08,22.8154842359764,1.48084138574353,2.4514289253814,Welch Two Sample t-test,two.sided,1.79368459568814e-07
cytosine,0.818283458616785,6.09064746121475,5.27236400259796,7.41052806426665,2.72049334278464e-08,30.3867849890915,0.592892473070095,1.04367444416347,Welch Two Sample t-test,two.sided,2.14616697041899e-07
erythronic acid lactone,1.10007797470655,7.01961368541194,5.9195357107054,5.07551969678391,0.000121232154052913,15.6076043271313,0.639664960676637,1.56049098873646,Welch Two Sample t-test,two.sided,0.000431375909534648
ethanol phosphate ,0.677901674164787,7.44018541593747,6.76228374177269,2.67710274336223,0.0171050722665889,15.1694486528405,0.138696101649276,1.2171072466803,Welch Two Sample t-test,two.sided,0.0269880029095069
fructose,0.92853222110185,6.20781035830473,5.27927813720288,5.72972294925042,3.48315534416806e-06,28.6860589727899,0.596934199182716,1.26013024302098,Welch Two Sample t-test,two.sided,2.17800619560353e-05
fructose-1-phosphate,1.88521081524045,5.8715889702652,3.98637815502475,4.41814660438558,0.00059567371651446,13.8814861891085,0.969302763712945,2.80111886676796,Welch Two Sample t-test,two.sided,0.00176220141135528
fructose-6-phosphate,3.35354378394537,8.19457911697607,4.84103533303071,15.2517720731692,3.06361754231085e-11,16.7203571030364,2.8890479990283,3.81803956886243,Welch Two Sample t-test,two.sided,5.43792113760176e-10
fumaric acid,0.559851385816303,8.04652297719246,7.48667159137615,3.92667877951746,0.0009035055179749,19.0312773003383,0.261468922121703,0.858233849510902,Welch Two Sample t-test,two.sided,0.00221203075090406
galactose-6-phosphate,1.10861799948105,4.77722082869747,3.66860282921642,4.87495134067505,6.71869208449277e-05,22.5168518159837,0.63762313565636,1.57961286330575,Welch Two Sample t-test,two.sided,0.000280604198822934
gluconic acid,0.586056295553627,5.05194645206895,4.46589015651532,4.51277882625247,0.000109583364170745,27.3912409103046,0.319771355942752,0.852341235164502,Welch Two Sample t-test,two.sided,0.000431375909534648
glucose-1-phosphate,1.6774337979097,9.41270505675318,7.73527125884348,14.6281629679758,3.79856977806618e-16,33.6544203956888,1.44430504011423,1.91056255570518,Welch Two Sample t-test,two.sided,2.69698454242699e-14
glucose-6-phosphate,3.18360832034126,9.33244552510296,6.1488372047617,14.805070601567,6.67698944735554e-12,19.0443401489231,2.73360581139698,3.63361082928555,Welch Two Sample t-test,two.sided,1.75740341016189e-10
glutamic acid,0.392428954313793,12.863477397946,12.4710484436322,3.59586145469058,0.0010680277181411,32.1678074199422,0.170176755680992,0.614681152946595,Welch Two Sample t-test,two.sided,0.0025276655996006
glycerol,0.859832903028309,10.9476681300836,10.0878352270552,8.49641211390695,1.47968717917551e-09,30.6465122596211,0.653338569395533,1.06632723666108,Welch Two Sample t-test,two.sided,2.10115579442923e-08
glycerol-alpha-phosphate,0.826934642245748,9.54219511745628,8.71526047521053,6.23990660107181,2.45098550385127e-06,22.6537311600022,0.552556712634013,1.10131257185748,Welch Two Sample t-test,two.sided,1.7401997077344e-05
histidine,0.944583772661169,9.64906007511759,8.70447630245642,4.09942333520596,0.000243300966847881,33.9996540191566,0.476316470619687,1.41285107470265,Welch Two Sample t-test,two.sided,0.000822588983152358
hypotaurine,0.908404242819053,8.07469510620678,7.16629086338772,3.63175428910916,0.00114081859884941,27.4639414689612,0.395588882883887,1.42121960275422,Welch Two Sample t-test,two.sided,0.00261284259736478
hypoxanthine,0.861342194551019,7.75326307072684,6.89192087617582,4.59237502227538,0.000121514340713985,23.5961518651829,0.473888123623209,1.24879626547883,Welch Two Sample t-test,two.sided,0.000431375909534648
inosine,1.09632447872972,8.45914788284631,7.3628234041166,3.2014328295555,0.00327305767307295,29.4077768992614,0.396361149375149,1.79628780808428,Welch Two Sample t-test,two.sided,0.00621915734986344
isomaltose,1.54063604479726,6.00470056432967,4.46406451953241,5.41333536020629,2.54935560678139e-05,20.2948803995413,0.94752303289134,2.13374905670318,Welch Two Sample t-test,two.sided,0.000139234036985753
lactose ,-0.706671802295398,9.97226351635191,10.6789353186473,-3.18846906536262,0.00439939855738286,21.113287380925,-1.16743351533302,-0.245910089257771,Welch Two Sample t-test,two.sided,0.00761847067254105
levoglucosan,0.541524315704454,7.47622723472202,6.93470291901757,3.58581357718796,0.00192512456538552,19.3577224730677,0.225833767051168,0.857214864357741,Welch Two Sample t-test,two.sided,0.00402011306301095
lysine,0.873178006457278,12.6859217163529,11.8127437098956,4.64770094338053,4.89431335078504e-05,33.9999538481271,0.491373901670634,1.25498211124392,Welch Two Sample t-test,two.sided,0.000231664165270492
maleimide,1.01699471737383,8.66727213049997,7.65027741312614,7.02914761193657,3.68113723200597e-06,15.2786245928096,0.709100338377133,1.32488909637053,Welch Two Sample t-test,two.sided,2.17800619560353e-05
maltose,0.67712037557302,13.3409100925869,12.6637897170138,2.3107906223216,0.0304261752575278,22.3837676109665,0.0700263780928395,1.2842143730532,Welch Two Sample t-test,two.sided,0.0459629456017974
melezitose,0.894034929464457,9.88872581073013,8.99469088126567,3.07051639928066,0.0062590173261442,19.1316191539429,0.284897755932282,1.50317210299663,Welch Two Sample t-test,two.sided,0.0105807197656247
ononitol,-2.00125102795039,5.45038518758348,7.45163621553388,-5.69524829936466,4.62610634912706e-05,14.6677857297343,-2.75170042165135,-1.25080163424944,Welch Two Sample t-test,two.sided,0.000231664165270492
ornithine,1.22450040971226,13.3600250089731,12.1355245992608,7.53537914060636,1.00850977178268e-08,33.6749080772883,0.894142856434709,1.55485796298981,Welch Two Sample t-test,two.sided,1.02291705423672e-07
palmitoleic acid,0.580893451851293,6.31993785748769,5.7390444056364,3.48351193126905,0.00141768435495429,33.0016769042093,0.24162826316624,0.920158640536346,Welch Two Sample t-test,two.sided,0.00305016936975014
