metabolite,estimate,estimate1,estimate2,statistic,p.value,parameter,conf.low,conf.high,method,alternative,p.adj
(5E)-isovitamin D3,-0.519955437893876,5.32964025627395,5.84959569416782,-2.90817920389792,0.00884879198957214,19.502827483994,-0.893516765378601,-0.146394110409151,Welch Two Sample t-test,two.sided,0.0146889947026898
1-monopalmitin,-0.513594659202376,6.65001483798383,7.16360949718621,-2.83016952493772,0.0103247765472845,20.0530962492935,-0.892072999077139,-0.135116319327612,Welch Two Sample t-test,two.sided,0.0168030677142081
1-monostearin,-1.13934937759699,5.28811163305683,6.42746101065382,-3.16489794707075,0.00450402327061661,21.9055301263378,-1.88612130628271,-0.392577448911272,Welch Two Sample t-test,two.sided,0.00983773503845207
2,3-dihydroxypyridine,-0.575110773357508,6.90486187637585,7.47997264973336,-4.82247952967878,8.35616639348642e-05,21.7365922683623,-0.822606961391834,-0.327614585323183,Welch Two Sample t-test,two.sided,0.000906717073833879
2,4-diaminobutyric acid,-0.698551749460811,7.70976637640412,8.40831812586493,-3.75919865651979,0.00111526480833003,21.5287255182448,-1.0844181787,-0.312685320221625,Welch Two Sample t-test,two.sided,0.00365832806598097
2,5-dihydroxypyrazine ,-0.646850579796638,7.54691312073637,8.193763700533,-4.79221243721768,8.73944167550727e-05,21.9844018978484,-0.92679250651762,-0.366908653075656,Welch Two Sample t-test,two.sided,0.000906717073833879
2-hydroxyglutaric acid,-1.87881277841272,9.50395758408595,11.3827703624987,-8.66666035067109,1.83398029760962e-08,21.5088824078467,-2.32899587365122,-1.42862968317421,Welch Two Sample t-test,two.sided,1.52220364701599e-06
N-acetylmannosamine,-0.921717955513403,3.53993588359879,4.46165383911219,-2.30270924092524,0.0312103008121865,21.8298383887895,-1.75221373895893,-0.0912221720678801,Welch Two Sample t-test,two.sided,0.0386635069762908
UDP-N-acetylglucosamine,-0.404851150355401,7.10053569956089,7.50538684991629,-2.90551158180066,0.0108191781064487,15.0904403543118,-0.701690298094329,-0.108012002616473,Welch Two Sample t-test,two.sided,0.016950909337159
adenine,-0.708075807709198,7.51866967544559,8.22674548315479,-6.61268100345506,2.446652762234e-06,19.0895451949605,-0.932122501710026,-0.48402911370837,Welch Two Sample t-test,two.sided,5.07680448163555e-05
agmatine,-0.806725565084811,4.46809417664494,5.27481974172975,-2.68461813196458,0.0153919732994002,17.5064416919095,-1.43932916830573,-0.174121961863897,Welch Two Sample t-test,two.sided,0.0228131032830397
alanine,0.624509004954755,15.4871965383641,14.8626875334093,4.1387273252617,0.00043012500658569,21.9950906744423,0.311570010652666,0.937447999256843,Welch Two Sample t-test,two.sided,0.0021000220909772
arachidonic acid,-0.57984986494831,8.8368948954072,9.41674476035551,-2.78399672736317,0.010824074636981,21.9906172524483,-1.01180610814336,-0.14789362175326,Welch Two Sample t-test,two.sided,0.016950909337159
behenic acid,-0.542589533743434,6.78462542230394,7.32721495604737,-3.67585299243029,0.00132552505474333,21.9962405995236,-0.848715206869868,-0.236463860616999,Welch Two Sample t-test,two.sided,0.00407476220532209
beta-alanine,-0.400328989281656,6.41596149693673,6.81629048621839,-2.31827426464599,0.0304427326081485,21.3258309231494,-0.759111331970224,-0.0415466465930872,Welch Two Sample t-test,two.sided,0.0382840425223685
butyrolactam ,-0.439996912181178,8.37590573955997,8.81590265174115,-4.318986945302,0.000277101005870938,21.9877500165793,-0.651279612030654,-0.228714212331701,Welch Two Sample t-test,two.sided,0.00185280274299259
capric acid,-0.44835257388665,6.61790639395351,7.06625896784016,-3.3326220789755,0.00319770164799944,20.7479389068993,-0.728339445457508,-0.168365702315792,Welch Two Sample t-test,two.sided,0.00804270414496828
cholesterol,-0.462827845464679,12.2481160663606,12.7109439118253,-3.78374782716133,0.00102055808950351,21.9997692037514,-0.716504049973821,-0.209151640955536,Welch Two Sample t-test,two.sided,0.00365832806598097
citrulline,-0.309577289546498,11.6855108889588,11.9950881785053,-2.88860539518802,0.00857399809060367,21.8069430690735,-0.531952318487891,-0.0872022606051047,Welch Two Sample t-test,two.sided,0.0146889947026898
cytidine-5-monophosphate,-0.834072310748693,6.04726609637685,6.88133840712554,-3.75478480073759,0.00141794538230176,18.2814561523955,-1.30024792573565,-0.367896695761734,Welch Two Sample t-test,two.sided,0.00420319524039449
cytosine,-0.560036881417113,5.53061057979763,6.09064746121475,-4.30242988558115,0.00034150504087159,20.1591401029611,-0.831424346482055,-0.28864941635217,Welch Two Sample t-test,two.sided,0.00185280274299259
diphenoxyethane,-0.431485996972525,7.05806134253488,7.4895473395074,-2.51282948294193,0.0217468041345523,17.9559133437676,-0.792305548871496,-0.0706664450735546,Welch Two Sample t-test,two.sided,0.0305929617486075
erythritol,-0.527877805183871,6.06101912216892,6.58889692735279,-3.07679246524721,0.00552094439272298,21.9751687336262,-0.883710479173848,-0.172045131193894,Welch Two Sample t-test,two.sided,0.0112940530829743
fumaric acid,-0.564861083671596,7.48166189352086,8.04652297719246,-3.37588677245941,0.00273779949404775,21.8855369799334,-0.911971515818564,-0.217750651524629,Welch Two Sample t-test,two.sided,0.00710116743768634
galactinol,-0.659574149593071,4.41687417660001,5.07644832619308,-2.73933816961523,0.0119963783567763,21.9159089741979,-1.15902961997874,-0.1601186792074,Welch Two Sample t-test,two.sided,0.018103625520226
gluconic acid lactone,-0.544670704856442,5.84938886463308,6.39405956948952,-2.49164812316827,0.0227183406485247,17.9673095912261,-1.00398915075081,-0.0853522589620776,Welch Two Sample t-test,two.sided,0.0314270378971258
glutathione,-0.677953212954414,7.49976053528665,8.17771374824107,-3.07024315323026,0.00561375057031406,21.9351676785053,-1.13597227418628,-0.219934151722546,Welch Two Sample t-test,two.sided,0.0112940530829743
glycerol,-0.360523772915704,10.5871443571678,10.9476681300836,-4.01395470508638,0.000626781207594555,21.0334797976892,-0.547291592919649,-0.173755952911758,Welch Two Sample t-test,two.sided,0.00247727810620705
glycerol-3-galactoside,-0.987548868071293,4.89577495032595,5.88332381839724,-2.91132196910979,0.00823177494139255,21.4407201562019,-1.69209233748713,-0.283005398655461,Welch Two Sample t-test,two.sided,0.0146889947026898
glycerol-alpha-phosphate,-0.641784196459321,8.90041092099695,9.54219511745628,-3.27828280853009,0.00396136596825272,18.9648764545372,-1.05158354538271,-0.231984847535931,Welch Two Sample t-test,two.sided,0.00888630744229664
glycolic acid,-0.657780473442978,7.54581296882979,8.20359344227277,-4.43774454855939,0.000348062058384573,17.2754770112958,-0.970126443420129,-0.345434503465827,Welch Two Sample t-test,two.sided,0.00185280274299259
heptadecanoic acid,-0.373512276678858,7.85703796689107,8.23055024356993,-3.09208306097334,0.00533097705649408,21.9563185774056,-0.624057425746708,-0.122967127611009,Welch Two Sample t-test,two.sided,0.0112940530829743
hexadecylglycerol ,-0.642748394226156,7.49384051144138,8.13658890566754,-2.88154488276829,0.00873734343274153,21.7146132651339,-1.10569278685866,-0.179804001593652,Welch Two Sample t-test,two.sided,0.0146889947026898
homoserine,-0.468068504510902,5.86647421242176,6.33454271693266,-4.3960780771132,0.000275911355871911,20.0988318722661,-0.69009961472496,-0.246037394296844,Welch Two Sample t-test,two.sided,0.00185280274299259
hypoxanthine,-0.906014950280475,6.84724812044637,7.75326307072684,-4.32158016850902,0.000275176733441522,21.9949572312626,-1.34080613969075,-0.471223760870203,Welch Two Sample t-test,two.sided,0.00185280274299259
inosine,-2.25725015940916,6.20189772343715,8.45914788284631,-6.34921980254509,2.20660804816507e-06,21.9297909482506,-2.9946824044119,-1.51981791440642,Welch Two Sample t-test,two.sided,5.07680448163555e-05
lactic acid,-1.19883040423722,11.0777436673397,12.2765740715769,-4.27662219063767,0.000357166793829897,20.3228845810125,-1.78297642078194,-0.6146843876925,Welch Two Sample t-test,two.sided,0.00185280274299259
lactose ,-1.27359771006809,8.69866580628381,9.97226351635191,-4.33951516352307,0.000287539797069673,21.035475490719,-1.88387774776856,-0.663317672367619,Welch Two Sample t-test,two.sided,0.00185280274299259
lauric acid,-0.298805650282281,6.47396977618545,6.77277542646774,-2.32997173136616,0.0297254099116037,21.2754592822878,-0.565294225078346,-0.0323170754862164,Welch Two Sample t-test,two.sided,0.0382840425223685
maleimide,-0.657538195553498,8.00973393494647,8.66727213049997,-3.76262771710839,0.0011085506876922,21.493915890703,-1.02045338415903,-0.294623006947966,Welch Two Sample t-test,two.sided,0.00365832806598097
maltose,-1.17300573148789,12.167904361099,13.3409100925869,-3.23936121380332,0.00382706420718664,21.6067288772077,-1.92476961033192,-0.421241852643865,Welch Two Sample t-test,two.sided,0.00882350914434697
maltotriose,-0.909514199205287,11.6359057854951,12.5454199847004,-2.32959926332846,0.0296024544859133,21.5773583024152,-1.7201091499689,-0.0989192484416689,Welch Two Sample t-test,two.sided,0.0382840425223685
melezitose,-1.02677633882587,8.86194947190425,9.88872581073013,-2.60415037529821,0.0164972453456729,21.175537634383,-1.84632233015952,-0.207230347492224,Welch Two Sample t-test,two.sided,0.0236081269601871
methanolphosphate,-0.624585787887787,8.10637490634979,8.73096069423758,-5.3636380429746,2.20483395732937e-05,21.967321591886,-0.866105324227489,-0.383066251548084,Welch Two Sample t-test,two.sided,0.000366002436916676
methylmaleic acid,-0.535887017064363,5.37927298689552,5.91516000395988,-3.10334869658536,0.00716471475023363,15.2217098589408,-0.903479878890461,-0.168294155238265,Welch Two Sample t-test,two.sided,0.0138295656806835
n-epsilon-trimethyllysine,-0.550298319588046,6.6999579476094,7.25025626719745,-4.24523319803468,0.000331718377017734,21.9910145744725,-0.819135353489065,-0.281461285687027,Welch Two Sample t-test,two.sided,0.00185280274299259
nicotinamide,-0.940353833162326,7.33415055023757,8.2745043833999,-3.5966570916854,0.00165226544375608,21.4667855578488,-1.48335440652443,-0.397353259800219,Welch Two Sample t-test,two.sided,0.00472889764937084
octadecanol,-0.505318057372244,5.54001802474915,6.04533608212139,-4.16273309006183,0.000552290095178349,18.5541106473414,-0.75980609682529,-0.250830017919197,Welch Two Sample t-test,two.sided,0.002412635678937
oleic acid,-0.442479203235018,7.22841952977723,7.67089873301224,-2.75451125960732,0.0116784088692905,21.6327690283764,-0.775950240133649,-0.109008166336386,Welch Two Sample t-test,two.sided,0.0179501469657613
ononitol,-0.874054323706914,4.57633086387657,5.45038518758348,-2.36740286516097,0.0302252610659797,16.7603113238082,-1.65385587184311,-0.0942527755707166,Welch Two Sample t-test,two.sided,0.0382840425223685
ornithine,-0.359605419465851,13.0004195895072,13.3600250089731,-3.06291316540609,0.00571506300584241,21.9117811428646,-0.603148112048558,-0.116062726883144,Welch Two Sample t-test,two.sided,0.0112940530829743
oxoproline,-0.298423074034686,14.3635432839043,14.661966357939,-3.39599385639177,0.00268974876338245,21.253560845978,-0.481036548676634,-0.115809599392737,Welch Two Sample t-test,two.sided,0.00710116743768634
panose ,-0.856061034157362,10.951366302517,11.8074273366744,-2.27233599109292,0.0332251257082897,21.9267548658923,-1.63750613709015,-0.0746159312245745,Welch Two Sample t-test,two.sided,0.0405541975557066
parabanic acid ,-0.511166317672927,7.5294864605864,8.04065277825933,-2.39225646828108,0.0262335618487966,20.8808127762427,-0.95568309519654,-0.0666495401493146,Welch Two Sample t-test,two.sided,0.0356948464500019
phenol ,-0.987745575612924,7.9088442235946,8.89658979920752,-7.26413925211798,6.17315945407212e-07,19.3144996749414,-1.2720324144671,-0.703458736758752,Welch Two Sample t-test,two.sided,2.56186117343993e-05
phenylethylamine,-0.59381272782054,12.6653008029054,13.259113530726,-4.03367380918771,0.000663197079511063,19.7675677051252,-0.901127118021145,-0.286498337619934,Welch Two Sample t-test,two.sided,0.00250206170906447
phosphate,-0.341846864293634,12.2451791219893,12.5870259862829,-4.01332663116319,0.00058957733252394,21.8664426684699,-0.518557661546493,-0.165136067040775,Welch Two Sample t-test,two.sided,0.00244674592997435
phosphogluconic acid,-0.966663658258207,6.86408765178203,7.83075131004024,-2.97250330997982,0.00884656075007206,16.2883768051748,-1.65507020556508,-0.278257110951331,Welch Two Sample t-test,two.sided,0.0146889947026898
phosphoglycolic acid,-0.592592116050207,5.94968398032912,6.54227609637933,-3.241394058982,0.00379810234395991,21.6744027512574,-0.972068380261233,-0.21311585183918,Welch Two Sample t-test,two.sided,0.00882350914434697
propylamine,-0.659885612547853,7.93247554621997,8.59236115876783,-3.00647155406989,0.00788092904333036,17.163516273148,-1.12262980265779,-0.197141422437918,Welch Two Sample t-test,two.sided,0.0146889947026898
raffinose,-1.99519703703389,9.1971698482281,11.192366885262,-3.74930857905411,0.00114598228572898,21.4743728012309,-3.10037826394946,-0.890015810118327,Welch Two Sample t-test,two.sided,0.00365832806598097
ribitol,-0.501580423021989,7.18989940448149,7.69147982750348,-2.35529165243638,0.0296054963264753,18.6827580390922,-0.947821438150046,-0.0553394078939315,Welch Two Sample t-test,two.sided,0.0382840425223685
sorbitol,-0.954354513560297,7.1924134428195,8.1467679563798,-4.37855192221951,0.000545819687866633,14.9234042777934,-1.41913562034297,-0.489573406777627,Welch Two Sample t-test,two.sided,0.002412635678937
succinic acid,-0.612693116024213,9.7488364505719,10.3615295665961,-3.26963653876342,0.00357787721273092,21.5172385079821,-1.00181975553723,-0.223566476511196,Welch Two Sample t-test,two.sided,0.00873422966637253
taurine,-0.304331930250532,14.1637624229639,14.4680943532144,-2.27140853444297,0.0339996902656639,20.5573502126181,-0.58333225260594,-0.0253316078951245,Welch Two Sample t-test,two.sided,0.0408981781456537
tocopherol alpha-,-0.38060891258743,8.57307070558559,8.95367961817302,-2.87869211901719,0.00878013359927574,21.7696154520501,-0.65497628031204,-0.106241544862821,Welch Two Sample t-test,two.sided,0.0146889947026898
tocopherol gamma-,-0.58873594097889,5.23448142115932,5.82321736213821,-2.62791062175604,0.0164670365275512,19.2148420414872,-1.05728560345043,-0.120186278507353,Welch Two Sample t-test,two.sided,0.0236081269601871
urea,-1.30498291617269,7.9574368759363,9.26241979210898,-3.54465757352458,0.00221608287934141,18.6405571233718,-2.07654679746782,-0.533419034877554,Welch Two Sample t-test,two.sided,0.00613116263284456
uridine,-0.873025980980554,7.58417758632076,8.45720356730131,-4.92357310423289,6.40273924739618e-05,21.919367961204,-1.24083433160995,-0.505217630351157,Welch Two Sample t-test,two.sided,0.000885712262556471
