PC	metabolite	loading	cum_var	PubChem	KEGG
2	1-monostearin	0.242911123705541	0.0590058140198886	24699	D01947
2	glutamine	-0.211592192875475	0.103777070105741	5961	C00064
2	3-phosphoglycerate	0.16409127788133	0.130703017582469	724	C00597
2	bisphosphoglycerol 	-0.147013323032664	0.152315934731575	102018	
2	ornithine	-0.136014729191372	0.170815941288577	6262	C00077
2	3-aminoisobutyric acid	0.132479236759003	0.188366689460825	64956	C05145
2	lactose 	-0.129650226093283	0.205175870586865	440995	C00243
2	methionine sulfone 	-0.128410673776785	0.221665171726672	445282	
2	N-acetylmannosamine	0.124726945652105	0.237221982698376	11096158	
2	3-Amino-2-piperidone 	-0.124658598532179	0.252761748886382	5200225	
2	alpha-ketoglutarate	-0.123544710729671	0.268025044435661	51	C00026
2	cysteine	-0.122999521625753	0.283153926755825	5862	C00097
2	cystine	-0.122992821215105	0.298281160826275	595	C01420
2	nicotinic acid	0.122694516614082	0.313335105233439	938	C00253
2	glycerol	0.121904025538812	0.328195696676006	753	C00116
2	tocopherol gamma-	0.121688096637145	0.343003689539177	92729	C02483
2	threonine	0.120314247592944	0.357479207713033	6288	C00188
2	putrescine	-0.120204075855724	0.371928227565362	1045	C00134
2	methionine	-0.119766017944056	0.386272126619538	6137	C00073
2	galactinol	0.118265670852969	0.400258895521841	11727586	C01235
2	agmatine	-0.116674967593625	0.413871943584814	199	C00179
2	citrulline	-0.115649909675115	0.427246845192677	9750	C00327
2	cyanoalanine	0.114097058669895	0.440264983989798	18647689	
2	UDP-N-acetylglucosamine	0.112748345267284	0.452977173350309	445675	C00043
2	octadecanol	0.112305344644289	0.465589663785981	8221	
2	lactic acid	-0.111606850843608	0.478045752941209	612	C01432
2	methionine sulfoxide	-0.110719481338699	0.490304556489119	158980	C02989
