"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Arginine biosynthesis",13,0.40395,6,8.2828e-07,6.0818,6.3778e-05,6.3778e-05,0.21951
"Starch and sucrose metabolism",14,0.43503,5,3.4848e-05,4.4578,0.0026484,0.0013416,0.47312
"Alanine, aspartate and glutamate metabolism",23,0.71469,5,0.00047894,3.3197,0.03592,0.012293,0.50001
"Galactose metabolism",15,0.4661,3,0.0096478,2.0156,0.71394,0.17173,0.36667
"Fructose and mannose metabolism",16,0.49718,3,0.011624,1.9346,0.84857,0.17173,0.44262
"Purine metabolism",68,2.113,6,0.015424,1.8118,1,0.17173,0.10285
"Taurine and hypotaurine metabolism",7,0.21751,2,0.017842,1.7486,1,0.17173,0.6
"Phenylalanine metabolism",7,0.21751,2,0.017842,1.7486,1,0.17173,0.65517
"Amino sugar and nucleotide sugar metabolism",39,1.2119,4,0.029483,1.5304,1,0.25224,0.2699
"beta-Alanine metabolism",14,0.43503,2,0.0675,1.1707,1,0.4725,0
"Butanoate metabolism",14,0.43503,2,0.0675,1.1707,1,0.4725,0
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.12429,1,0.11878,0.92526,1,0.74419,0.5
"Citrate cycle (TCA cycle)",20,0.62147,2,0.12564,0.90086,1,0.74419,0.08837
"Phosphonate and phosphinate metabolism",5,0.15537,1,0.14627,0.83486,1,0.75083,0
"Nitrogen metabolism",5,0.15537,1,0.14627,0.83486,1,0.75083,0
"Glutathione metabolism",26,0.80791,2,0.19188,0.71697,1,0.86845,0.0369
"Glycolysis or Gluconeogenesis",26,0.80791,2,0.19188,0.71697,1,0.86845,0.06075
"Ascorbate and aldarate metabolism",8,0.24859,1,0.22383,0.65009,1,0.86845,0
"Valine, leucine and isoleucine biosynthesis",8,0.24859,1,0.22383,0.65009,1,0.86845,0
"Arginine and proline metabolism",29,0.90113,2,0.22663,0.64469,1,0.86845,0.20889
"Arachidonic acid metabolism",9,0.27966,1,0.24813,0.60532,1,0.86845,0
"Histidine metabolism",9,0.27966,1,0.24813,0.60532,1,0.86845,0.4
"Glycerolipid metabolism",12,0.37288,1,0.31669,0.49937,1,1,0.22545
"Pentose and glucuronate interconversions",17,0.52825,1,0.41771,0.37913,1,1,0
"Pantothenate and CoA biosynthesis",20,0.62147,1,0.4712,0.3268,1,1,0
"Pentose phosphate pathway",22,0.68362,1,0.50418,0.29742,1,1,0.12366
"Pyruvate metabolism",23,0.71469,1,0.51991,0.28407,1,1,0
"One carbon pool by folate",23,0.71469,1,0.51991,0.28407,1,1,0
"Glyoxylate and dicarboxylate metabolism",24,0.74576,1,0.53516,0.27152,1,1,0
"Porphyrin metabolism",24,0.74576,1,0.53516,0.27152,1,1,0
"Lysine degradation",26,0.80791,1,0.56426,0.24852,1,1,0
"Lipoic acid metabolism",27,0.83898,1,0.57814,0.23797,1,1,0
"Inositol phosphate metabolism",28,0.87006,1,0.59159,0.22798,1,1,0
"Tyrosine metabolism",33,1.0254,1,0.65284,0.18519,1,1,0.04121
"Valine, leucine and isoleucine degradation",38,1.1808,1,0.70515,0.15172,1,1,0.01038
"Pyrimidine metabolism",40,1.2429,1,0.72385,0.14035,1,1,0.01446
