"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"1,5-anhydroglucitol","1,5-Anhydrosorbitol","HMDB0002712","64960","C07326","OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O","1"
"1-monopalmitin","MG(16:0/0:0/0:0)","HMDB0011564","3084463",NA,"[H][C@](O)(CO)COC(=O)CCCCCCCCCCCCCCC","1"
"2,3-dihydroxypyridine","NA","NA","NA","NA","NA","0"
"2,5-dihydroxypyrazine","NA","NA","NA","NA","NA","0"
"2-hydroxyglutaric acid","D-2-Hydroxyglutaric acid","HMDB0000606","439391","C01087","O[C@H](CCC(O)=O)C(O)=O","1"
"2-ketoisocaproic acid","Ketoleucine","HMDB0000695","70","C00233","CC(C)CC(=O)C(O)=O","1"
"2-picolinic acid","Picolinic acid","HMDB0002243","1018","C10164","OC(=O)C1=CC=CC=N1","1"
"3-Amino-2-piperidone","3-Amino-2-piperidone","HMDB0000323","5200225",NA,"NC1CCCNC1=O","1"
"4-hydroxymandelic acid","p-Hydroxymandelic acid","HMDB0000822","328","C03198","OC(C(O)=O)C1=CC=C(O)C=C1","1"
"5-hydroxynorvaline","L-2-Amino-5-hydroxypentanoic acid","HMDB0031658","95562",NA,"NC(CCCO)C(O)=O","1"
"6-deoxygalactofuranose","NA","NA","NA","NA","NA","0"
"N-methyl-UMP","NA","NA","NA","NA","NA","0"
"UDP-N-acetylglucosamine","Uridine diphosphate-N-acetylglucosamine","HMDB0000290","445675","C00043","CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"alanine","L-Alanine","HMDB0000161","5950","C00041","C[C@H](N)C(O)=O","1"
"aminomalonic acid","Aminomalonic acid","HMDB0001147","100714","C00872","NC(C(O)=O)C(O)=O","1"
"butyrolactam","2-Pyrrolidinone","HMDB0002039","12025","C11118","O=C1CCCN1","1"
"cadaverine","Cadaverine","HMDB0002322","273","C01672","NCCCCCN","1"
"ciliatine","Ciliatine","HMDB0011747","339","C03557","NCCP(O)(O)=O","1"
"citrulline","Citrulline","HMDB0000904","9750","C00327","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"conduritol-beta-epoxide","NA","NA","NA","NA","NA","0"
"creatinine","Creatinine","HMDB0000562","588","C00791","CN1CC(=O)NC1=N","1"
"cytidine-5-monophosphate","Cytidine monophosphate","HMDB0000095","6131","C00055","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"dehydroascorbic acid","Dehydroascorbic acid","HMDB0001264","440667","C05422","[H][C@@]1(OC(=O)C(=O)C1=O)[C@@H](O)CO","1"
"diphenoxyethane","NA","NA","NA","NA","NA","0"
"erythronic acid lactone","NA","NA","NA","NA","NA","0"
"ethanolamine","Ethanolamine","HMDB0000149","700","C00189","NCCO","1"
"gluconic acid lactone","Gluconolactone","HMDB0000150","7027","C00198","OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"glucose","D-Glucose","HMDB0000122","5793","C00031","OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"glucose-1-phosphate","Glucose 1-phosphate","HMDB0001586","65533","C00103","OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"glutathione","Glutathione","HMDB0000125","124886","C00051","N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O","1"
"glycerol-alpha-phosphate","Glycerophosphoric acid","HMDB0252849","754","C03189","OCC(O)COP(O)(O)=O","1"
"glycine","Glycine","HMDB0000123","750","C00037","NCC(O)=O","1"
"homoserine","L-Homoserine","HMDB0000719","12647","C00263","N[C@@H](CCO)C(O)=O","1"
"inosine","Inosine","HMDB0000195","6021","C00294","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12","1"
"inositol-4-monophosphate","D-myo-Inositol 4-phosphate","HMDB0001313","440043","C03546","O[C@@H]1[C@H](O)[C@H](O)[C@@H](OP(O)(O)=O)[C@H](O)[C@H]1O","1"
"ketoisoleucine","NA","NA","NA","NA","NA","0"
"lactic acid","Lactic acid","HMDB0000190","107689","C00186","C[C@H](O)C(O)=O","1"
"lactose","Alpha-Lactose","HMDB0000186","84571","C00243","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O","1"
"levoglucosan","Levoglucosan","HMDB0000640","2724705",NA,"[H][C@@]12OC[C@@H](O1)[C@@H](O)[C@H](O)[C@H]2O","1"
"maltose","D-Maltose","HMDB0000163","10991489","C00208","OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O","1"
"maltotriose","Maltotriose","HMDB0001262","439586","C01835","OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O","1"
"melezitose","Melezitose","HMDB0011730","92817","C08243","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1O","1"
"methionine","Methionine","HMDB0000696","6137","C00073","CSCC[C@H](N)C(O)=O","1"
"methionine sulfone","Methionine sulfone","HMDB0062174","445282",NA,"CS(=O)(=O)CC[C@H](N)C(O)=O","1"
"methionine sulfoxide","Methionine sulfoxide","HMDB0002005","158980","C02989","CS(=O)CC[C@H](N)C(O)=O","1"
"n-epsilon-trimethyllysine","NA","NA","NA","NA","NA","0"
"ononitol","D-4-O-Methyl-myo-inositol","HMDB0029915",NA,"C06353","CO[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1O","1"
"ornithine","Ornithine","HMDB0000214","6262","C00077","NCCC[C@H](N)C(O)=O","1"
"oxoproline","Pyroglutamic acid","HMDB0000267","7405","C01879","OC(=O)[C@@H]1CCC(=O)N1","1"
"panose","Panose","HMDB0029937","4120027","C00713","OCC1OC(OCC2OC(OC3C(O)C(O)C(O)OC3CO)C(O)C(O)C2O)C(O)C(O)C1O","1"
"pentitol","Ribitol","HMDB0000508",NA,"C00474","OC[C@H](O)[C@H](O)[C@H](O)CO","1"
"phenol","Phenol","HMDB0000228","996","C00146","OC1=CC=CC=C1","1"
"phosphogluconic acid","6-Phosphogluconic acid","HMDB0001316","91493","C00345","O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O","1"
"pinitol","D-Pinitol","HMDB0034219","0","C03844","CO[C@@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O","1"
"proline","Proline","HMDB0000162","145742","C00148","OC(=O)[C@@H]1CCCN1","1"
"pyrophosphate","Pyrophosphate","HMDB0000250","1023","C00013","OP(O)(=O)OP(O)(O)=O","1"
