"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"2,4-diaminobutyric acid","2,4-Diaminobutyric acid","HMDB0002362","470",NA,"NCCC(N)C(O)=O","1"
"behenic acid","Behenic acid","HMDB0000944","8215","C08281","CCCCCCCCCCCCCCCCCCCCCC(O)=O","1"
"beta-sitosterol","beta-Sitosterol","HMDB0000852","222284","C01753","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](CC)C(C)C","1"
"butyrolactam","2-Pyrrolidinone","HMDB0002039","12025","C11118","O=C1CCCN1","1"
"cholesterol","Cholesterol","HMDB0000067","5997","C00187","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C","1"
"ciliatine","Ciliatine","HMDB0011747","339","C03557","NCCP(O)(O)=O","1"
"dehydroascorbic acid","Dehydroascorbic acid","HMDB0001264","440667","C05422","[H][C@@]1(OC(=O)C(=O)C1=O)[C@@H](O)CO","1"
"diphenoxyethane","NA","NA","NA","NA","NA","0"
"glycerol-alpha-phosphate","Glycerophosphoric acid","HMDB0252849","754","C03189","OCC(O)COP(O)(O)=O","1"
"heptadecanoic acid","Heptadecanoic acid","HMDB0002259","10465",NA,"CCCCCCCCCCCCCCCCC(O)=O","1"
"nicotinamide","Niacinamide","HMDB0001406","936","C00153","NC(=O)C1=CC=CN=C1","1"
"nonadecanoic acid","Nonadecanoic acid","HMDB0000772","12591","C16535","CCCCCCCCCCCCCCCCCCC(O)=O","1"
"octadecanol","Octadecanol","HMDB0002350","8221","D01924","CCCCCCCCCCCCCCCCCCO","1"
"xanthine","Xanthine","HMDB0000292","1188","C00385","O=C1NC2=C(NC=N2)C(=O)N1","1"
