"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Glutathione metabolism",26,0.31827,3,0.0031706,2.4989,0.24414,0.24414,0.4136
"Steroid biosynthesis",4,0.048964,1,0.048139,1.3175,1,1,0
"Phosphonate and phosphinate metabolism",5,0.061205,1,0.059835,1.223,1,1,0
"Nicotinate and nicotinamide metabolism",9,0.11017,1,0.1053,0.97755,1,1,0.0566
"Starch and sucrose metabolism",14,0.17137,1,0.15929,0.79782,1,1,0.19465
"Galactose metabolism",15,0.18362,1,0.16971,0.77028,1,1,0
"Fructose and mannose metabolism",16,0.19586,1,0.18002,0.74467,1,1,0.0459
"Purine metabolism",68,0.83239,2,0.20016,0.69863,1,1,0.04654
"Insect hormone biosynthesis",21,0.25706,1,0.22982,0.63861,1,1,0
"Pentose phosphate pathway",22,0.2693,1,0.23944,0.62081,1,1,0
"Alanine, aspartate and glutamate metabolism",23,0.28154,1,0.24895,0.6039,1,1,0
"Pyruvate metabolism",23,0.28154,1,0.24895,0.6039,1,1,0
"One carbon pool by folate",23,0.28154,1,0.24895,0.6039,1,1,0.12705
"Porphyrin metabolism",24,0.29379,1,0.25834,0.5878,1,1,0
"Glyoxylate and dicarboxylate metabolism",24,0.29379,1,0.25834,0.5878,1,1,0.09132
"Glycolysis or Gluconeogenesis",26,0.31827,1,0.27681,0.55781,1,1,0
"Lipoic acid metabolism",27,0.33051,1,0.28589,0.54381,1,1,0.00189
"Glycine, serine and threonine metabolism",29,0.35499,1,0.30372,0.51752,1,1,0.31258
"Pyrimidine metabolism",40,0.48964,1,0.39468,0.40375,1,1,0.07119
