"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"1-monopalmitin","MG(16:0/0:0/0:0)","HMDB0011564","3084463",NA,"[H][C@](O)(CO)COC(=O)CCCCCCCCCCCCCCC","1"
"1-monostearin","MG(18:0/0:0/0:0)","HMDB0011131","15560610",NA,"[H][C@](O)(CO)COC(=O)CCCCCCCCCCCCCCCCC","1"
"2-picolinic acid","Picolinic acid","HMDB0002243","1018","C10164","OC(=O)C1=CC=CC=N1","1"
"citric acid","Citric acid","HMDB0000094","311","C00158","OC(=O)CC(O)(CC(O)=O)C(O)=O","1"
"glycerol-3-galactoside","NA","NA","NA","NA","NA","0"
"hexadecylglycerol","NA","NA","NA","NA","NA","0"
"inositol-4-monophosphate","D-myo-Inositol 4-phosphate","HMDB0001313","440043","C03546","O[C@@H]1[C@H](O)[C@H](O)[C@@H](OP(O)(O)=O)[C@H](O)[C@H]1O","1"
"phosphogluconic acid","6-Phosphogluconic acid","HMDB0001316","91493","C00345","O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O","1"
"sarcosine","Sarcosine","HMDB0000271","1088","C00213","CNCC(O)=O","1"
"trans-4-hydroxyproline","4-Hydroxyproline","HMDB0000725","5810","C01157","O[C@H]1CN[C@@H](C1)C(O)=O","1"
"trehalose-6-phosphate","Trehalose 6-phosphate","HMDB0001124","122336","C00689","OC[C@H]1O[C@H](O[C@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","1"
