"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"glycerol-alpha-phosphate","Glycerophosphoric acid","HMDB0252849","754","C03189","OCC(O)COP(O)(O)=O","1"
"urea","Urea","HMDB0000294","1176","C00086","NC(N)=O","1"
"proline","Proline","HMDB0000162","145742","C00148","OC(=O)[C@@H]1CCCN1","1"
"ethanolamine","Ethanolamine","HMDB0000149","700","C00189","NCCO","1"
"aminomalonic acid","Aminomalonic acid","HMDB0001147","100714","C00872","NC(C(O)=O)C(O)=O","1"
"5-hydroxynorvaline","L-2-Amino-5-hydroxypentanoic acid","HMDB0031658","95562",NA,"NC(CCCO)C(O)=O","1"
"6-Oxopiperidine-2-carboxylic acid","6-Oxopiperidine-2-carboxylic acid","HMDB0061705","3014237",NA,"OC(=O)C1CCCC(O)=N1","1"
"tocopherol alpha","NA","NA","NA","NA","NA","0"
"succinic acid","Succinic acid","HMDB0000254","1110","C00042","OC(=O)CCC(O)=O","1"
"methanolphosphate","NA","NA","NA","NA","NA","0"
"3-phosphoglycerate","3-Phosphoglyceric acid","HMDB0000807","724","C00597","OC(COP(O)(O)=O)C(O)=O","1"
"phosphoglycolic acid","Phosphoglycolic acid","HMDB0000816","529","C00988","OC(=O)COP(O)(O)=O","1"
"glycine","Glycine","HMDB0000123","750","C00037","NCC(O)=O","1"
"trehalose-6-phosphate","Trehalose 6-phosphate","HMDB0001124","122336","C00689","OC[C@H]1O[C@H](O[C@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"capric acid","Capric acid","HMDB0000511","2969","C01571","CCCCCCCCCC(O)=O","1"
"maleimide","Maleimide","HMDB0254312","10935","C07272","OC1=NC(=O)C=C1","1"
"methylmaleic acid","Citraconic acid","HMDB0000634","643798","C02226","C\C(=C\C(O)=O)C(O)=O","1"
"oxamic acid","NA","NA","NA","NA","NA","0"
"methionine sulfoxide","Methionine sulfoxide","HMDB0002005","158980","C02989","CS(=O)CC[C@H](N)C(O)=O","1"
"raffinose","Raffinose","HMDB0003213","439242","C00492","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","1"
"terephthalic acid","Terephthalic acid","HMDB0002428","7489","C06337","OC(=O)C1=CC=C(C=C1)C(O)=O","1"
"arachidonic acid","Arachidonic acid","HMDB0001043","444899","C00219","CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O","1"
"ethanol phosphate","NA","NA","NA","NA","NA","0"
"1,5-anhydroglucitol","1,5-Anhydrosorbitol","HMDB0002712","64960","C07326","OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O","1"
"dehydroascorbic acid","Dehydroascorbic acid","HMDB0001264","440667","C05422","[H][C@@]1(OC(=O)C(=O)C1=O)[C@@H](O)CO","1"
"lactose","Alpha-Lactose","HMDB0000186","84571","C00243","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O","1"
"glycolic acid","Glycolic acid","HMDB0000115","757","C03547","OCC(O)=O","1"
"citric acid","Citric acid","HMDB0000094","311","C00158","OC(=O)CC(O)(CC(O)=O)C(O)=O","1"
"phenol","Phenol","HMDB0000228","996","C00146","OC1=CC=CC=C1","1"
