"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Glyoxylate and dicarboxylate metabolism",24,0.22599,3,0.0010987,2.9591,0.0846,0.0846,0.20091
"Citrate cycle (TCA cycle)",20,0.18832,2,0.013858,1.8583,1,0.53354,0.12311
"Arachidonic acid metabolism",9,0.084746,1,0.08192,1.0866,1,1,0
"Arginine biosynthesis",13,0.12241,1,0.11635,0.93423,1,1,0
"Butanoate metabolism",14,0.13183,1,0.12477,0.90388,1,1,0
"Starch and sucrose metabolism",14,0.13183,1,0.12477,0.90388,1,1,0.05062
"Galactose metabolism",15,0.14124,1,0.13313,0.87574,1,1,0.18
"Propanoate metabolism",20,0.18832,1,0.17382,0.75991,1,1,0
"Alanine, aspartate and glutamate metabolism",23,0.21657,1,0.1974,0.70466,1,1,0
"One carbon pool by folate",23,0.21657,1,0.1974,0.70466,1,1,0.12705
"Porphyrin metabolism",24,0.22599,1,0.20512,0.68799,1,1,0
"Glutathione metabolism",26,0.24482,1,0.22037,0.65684,1,1,0.09226
"Lipoic acid metabolism",27,0.25424,1,0.2279,0.64226,1,1,0.00189
"Arginine and proline metabolism",29,0.27307,1,0.24275,0.61484,1,1,0.04889
"Glycine, serine and threonine metabolism",29,0.27307,1,0.24275,0.61484,1,1,0.31258
"Glycerophospholipid metabolism",32,0.30132,1,0.26455,0.57749,1,1,0.01653
