Sample	Unique Reads	Duplicate Reads
15-033_R1_001	8658918.0	38319885.0
15-033_R2_001	8988024.0	37990779.0
15-091_R1_001	8992375.0	35852426.0
15-091_R2_001	8895150.0	35949651.0
15-092_R1_001	9959551.0	39514016.0
15-092_R2_001	9714644.0	39758923.0
15-152_R1_001	6927598.0	25974527.0
15-152_R2_001	7382885.0	25519240.0
15-154_R1_001	9778791.0	41102709.0
15-154_R2_001	9454044.0	41427456.0
15-161_R1_001	10724562.0	42481043.0
15-161_R2_001	10410866.0	42794739.0
25-046_R1_001	8939051.0	35517297.0
25-046_R2_001	8589936.0	35866412.0
25-047_R1_001	5897402.0	32657915.0
25-047_R2_001	7000666.0	31554651.0
25-048_R1_001	7102660.0	20970906.0
25-048_R2_001	7033103.0	21040463.0
25-049_R1_001	7186691.0	31434762.0
25-049_R2_001	7836448.0	30785005.0
25-050_R1_001	10903815.0	42192688.0
25-050_R2_001	10453313.0	42643190.0
25-051_R1_001	13021252.0	41004499.0
25-051_R2_001	12706391.0	41319360.0
25-052_R1_001	7000317.0	23427017.0
25-052_R2_001	7137867.0	23289467.0
25-053_R1_001	9559053.0	42186709.0
25-053_R2_001	9265404.0	42480358.0
25-054_R1_001	11011844.0	39689229.0
25-054_R2_001	10652971.0	40048102.0
25-055_R1_001	7570524.0	25362583.0
25-055_R2_001	7260689.0	25672418.0
25-056_R1_001	7476857.0	26961687.0
25-056_R2_001	7875492.0	26563052.0
25-058_R1_001	7939199.0	32343843.0
25-058_R2_001	7877954.0	32405088.0
25-059_R1_001	10383874.0	55530993.0
25-059_R2_001	10555076.0	55359791.0
25-060_R1_001	9095925.0	47253941.0
25-060_R2_001	9089707.0	47260159.0
25-109_R1_001	9426507.0	35711776.0
25-109_R2_001	9051635.0	36086648.0
25-110_R1_001	6397036.0	29111549.0
25-110_R2_001	6205800.0	29302785.0
25-112_R1_001	9343565.0	37621328.0
25-112_R2_001	9197482.0	37767411.0
25-113_R1_001	7259752.0	25150977.0
25-113_R2_001	7161893.0	25248836.0
25-114_R1_001	10879235.0	56987165.0
25-114_R2_001	11053113.0	56813287.0
25-115_R1_001	8742737.0	30480168.0
25-115_R2_001	8403015.0	30819890.0
25-116_R1_001	9964045.0	34312841.0
25-116_R2_001	9657741.0	34619145.0
25-117_R1_001	9137315.0	29772321.0
25-117_R2_001	9262064.0	29647572.0
25-119_R1_001	7485726.0	43513700.0
25-119_R2_001	7543756.0	43455670.0
25-120_R1_001	11565755.0	44657606.0
25-120_R2_001	11733241.0	44490120.0
25-167_R1_001	7490389.0	29941184.0
25-167_R2_001	8046905.0	29384668.0
25-168_R1_001	8471839.0	35632236.0
25-168_R2_001	8594523.0	35509552.0
25-169_R1_001	10334758.0	47392578.0
25-169_R2_001	10418152.0	47309184.0
25-170_R1_001	10565540.0	39168306.0
25-170_R2_001	10295647.0	39438199.0
25-171_R1_001	8208287.0	39344635.0
25-171_R2_001	8225251.0	39327671.0
25-172_R1_001	9050242.0	28217371.0
25-172_R2_001	8842014.0	28425599.0
25-174_R1_001	7842090.0	28397924.0
25-174_R2_001	7656322.0	28583692.0
25-175_R1_001	7858251.0	29855758.0
25-175_R2_001	7809302.0	29904707.0
25-177_R1_001	8318378.0	35474696.0
25-177_R2_001	8433940.0	35359134.0
25-179_R1_001	8857268.0	33456059.0
25-179_R2_001	8663146.0	33650181.0
25-180_R1_001	9237397.0	45274949.0
25-180_R2_001	9221574.0	45290772.0
25-185_R1_001	7020696.0	19980675.0
25-185_R2_001	6874216.0	20127155.0
25-186_R1_001	6753982.0	19238280.0
25-186_R2_001	6637528.0	19354734.0
25-193_R1_001	3975863.0	23487905.0
25-193_R2_001	4187243.0	23276525.0
25-194_R1_001	6050658.0	24717129.0
25-194_R2_001	6519314.0	24248473.0
25-195_R1_001	8018694.0	26064612.0
25-195_R2_001	7491163.0	26592143.0
25-202_R1_001	8359373.0	40888511.0
25-202_R2_001	8170249.0	41077635.0
25-203_R1_001	7479203.0	28414572.0
25-203_R2_001	8028618.0	27865157.0
5-002_R1_001	9449961.0	34188881.0
5-002_R2_001	9174293.0	34464549.0
5-003_R1_001	8156174.0	38556270.0
5-003_R2_001	8008744.0	38703700.0
5-004_R1_001	9785521.0	42260234.0
5-004_R2_001	9414131.0	42631624.0
5-005_R1_001	6712954.0	37649698.0
5-005_R2_001	6711625.0	37651027.0
5-006_R1_001	7175956.0	26463535.0
5-006_R2_001	7273186.0	26366305.0
5-007_R1_001	5989042.0	24373067.0
5-007_R2_001	5872347.0	24489762.0
5-008_R1_001	9320836.0	41309393.0
5-008_R2_001	9294235.0	41335994.0
5-009_R1_001	6628947.0	26182160.0
5-009_R2_001	6650283.0	26160824.0
5-010_R1_001	10171041.0	24324174.0
5-010_R2_001	9553891.0	24941324.0
5-012_R1_001	7504316.0	35628232.0
5-012_R2_001	7589038.0	35543510.0
5-014_R1_001	9473659.0	39691604.0
5-014_R2_001	9214770.0	39950493.0
5-015_R1_001	6787758.0	27317968.0
5-015_R2_001	6474138.0	27631588.0
5-061_R1_001	5417333.0	31519974.0
5-061_R2_001	5470524.0	31466783.0
5-063_R1_001	7993354.0	34684187.0
5-063_R2_001	7901554.0	34775987.0
5-066_R1_001	4648425.0	27480244.0
5-066_R2_001	5896870.0	26231799.0
5-067_R1_001	8696809.0	36362809.0
5-067_R2_001	8630744.0	36428874.0
5-069_R1_001	6234975.0	31419488.0
5-069_R2_001	6461398.0	31193065.0
5-071_R1_001	7234004.0	35455121.0
5-071_R2_001	7207512.0	35481613.0
5-073_R1_001	5858556.0	29171231.0
5-073_R2_001	6053994.0	28975793.0
5-074_R1_001	7082852.0	29681183.0
5-074_R2_001	6896736.0	29867299.0
5-075_R1_001	5691985.0	22214952.0
5-075_R2_001	5424253.0	22482684.0
5-121_R1_001	7997809.0	31642663.0
5-121_R2_001	7796802.0	31843670.0
5-122_R1_001	4410051.0	19078557.0
5-122_R2_001	4466960.0	19021648.0
5-123_R1_001	8530672.0	36311579.0
5-123_R2_001	8321474.0	36520777.0
5-124_R1_001	8557468.0	44168902.0
5-124_R2_001	8676309.0	44050061.0
5-125_R1_001	5840540.0	32775685.0
5-125_R2_001	5735006.0	32881219.0
5-126_R1_001	7701433.0	36018058.0
5-126_R2_001	7589839.0	36129652.0
5-127_R1_001	5929570.0	27719208.0
5-127_R2_001	6387848.0	27260930.0
5-128_R1_001	8601286.0	32248354.0
5-128_R2_001	8715492.0	32134148.0
5-130_R1_001	7918831.0	39321240.0
5-130_R2_001	7732634.0	39507437.0
5-131_R1_001	7660407.0	44145280.0
5-131_R2_001	8109337.0	43696350.0
5-133_R1_001	6697458.0	24360971.0
5-133_R2_001	6405801.0	24652628.0
5-135_R1_001	4098258.0	13982598.0
5-135_R2_001	4094389.0	13986467.0
5-181_R1_001	8452188.0	51514603.0
5-181_R2_001	8504445.0	51462346.0
5-182_R1_001	7683856.0	27600799.0
5-182_R2_001	7440202.0	27844453.0
5-187_R1_001	12787320.0	59236661.0
5-187_R2_001	12682292.0	59341689.0
5-188_R1_001	7993694.0	29269070.0
5-188_R2_001	8091491.0	29171273.0
5-189_R1_001	6601148.0	25381796.0
5-189_R2_001	6563064.0	25419880.0
5-197_R1_001	10949060.0	44195861.0
5-197_R2_001	10723287.0	44421634.0
