Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
15-033_R1_001	15-033_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46978803.0	0.0	150.0	44.0	18.431540424684098	150.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	fail
15-033_R2_001	15-033_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46978803.0	0.0	150.0	44.0	19.132082059017417	150.0	pass	pass	fail	pass	warn	fail	pass	pass	fail	warn	fail
15-091_R1_001	15-091_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44844801.0	0.0	150.0	42.0	20.05221207490316	150.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	fail
15-091_R2_001	15-091_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44844801.0	0.0	150.0	43.0	19.835408948161255	150.0	pass	pass	fail	pass	warn	fail	pass	pass	fail	fail	fail
15-092_R1_001	15-092_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49473567.0	0.0	150.0	43.0	20.131053448651247	150.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	fail
15-092_R2_001	15-092_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49473567.0	0.0	150.0	44.0	19.63602827328332	150.0	pass	pass	fail	pass	warn	fail	pass	pass	fail	warn	fail
15-152_R1_001	15-152_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32902125.0	0.0	150.0	44.0	21.055166144920534	150.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	fail
15-152_R2_001	15-152_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32902125.0	0.0	150.0	44.0	22.438928706060853	150.0	pass	pass	fail	pass	warn	fail	pass	pass	fail	fail	fail
15-154_R1_001	15-154_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50881500.0	0.0	150.0	43.0	19.218755111538886	150.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	fail
15-154_R2_001	15-154_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50881500.0	0.0	150.0	43.0	18.580513388084995	150.0	pass	pass	fail	pass	warn	fail	pass	pass	fail	fail	fail
15-161_R1_001	15-161_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53205605.0	0.0	150.0	43.0	20.156826993944467	150.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	fail
15-161_R2_001	15-161_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53205605.0	0.0	150.0	43.0	19.56723532804939	150.0	pass	pass	fail	pass	warn	fail	pass	pass	fail	fail	fail
25-046_R1_001	25-046_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44456348.0	0.0	150.0	43.0	20.107479062212345	150.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	fail
25-046_R2_001	25-046_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44456348.0	0.0	150.0	43.0	19.322180701234153	150.0	pass	pass	fail	pass	warn	fail	pass	pass	fail	warn	fail
25-047_R1_001	25-047_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38555317.0	0.0	150.0	54.0	15.295948275686353	150.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
25-047_R2_001	25-047_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38555317.0	0.0	150.0	61.0	18.15745791438212	150.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail
25-048_R1_001	25-048_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28073566.0	0.0	150.0	45.0	25.300167446584204	150.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	fail
25-048_R2_001	25-048_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28073566.0	0.0	150.0	45.0	25.052400320135078	150.0	pass	pass	fail	pass	warn	fail	pass	pass	fail	fail	fail
25-049_R1_001	25-049_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38621453.0	0.0	150.0	41.0	18.608026377427386	150.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	fail
25-049_R2_001	25-049_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38621453.0	0.0	150.0	41.0	20.290399744629585	150.0	pass	pass	fail	pass	warn	fail	pass	pass	fail	fail	fail
25-050_R1_001	25-050_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53096503.0	0.0	150.0	43.0	20.535842759557198	150.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	fail
25-050_R2_001	25-050_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53096503.0	0.0	150.0	43.0	19.687384773210052	150.0	pass	pass	fail	pass	warn	fail	pass	pass	fail	warn	fail
