Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
15-033_R1_001	81.5684595753159	44.0	150.0	27.27272727272727	46978803.0
15-033_R2_001	80.86791794098258	44.0	150.0	36.36363636363637	46978803.0
15-091_R1_001	79.94778792509683	42.0	150.0	27.27272727272727	44844801.0
15-091_R2_001	80.16459105183874	43.0	150.0	45.45454545454545	44844801.0
15-092_R1_001	79.86894655134876	43.0	150.0	27.27272727272727	49473567.0
15-092_R2_001	80.36397172671668	44.0	150.0	36.36363636363637	49473567.0
15-152_R1_001	78.94483385507947	44.0	150.0	27.27272727272727	32902125.0
15-152_R2_001	77.56107129393915	44.0	150.0	45.45454545454545	32902125.0
15-154_R1_001	80.78124488846112	43.0	150.0	27.27272727272727	50881500.0
15-154_R2_001	81.419486611915	43.0	150.0	45.45454545454545	50881500.0
15-161_R1_001	79.84317300605554	43.0	150.0	27.27272727272727	53205605.0
15-161_R2_001	80.43276467195061	43.0	150.0	45.45454545454545	53205605.0
25-046_R1_001	79.89252093778765	43.0	150.0	27.27272727272727	44456348.0
25-046_R2_001	80.67781929876585	43.0	150.0	36.36363636363637	44456348.0
25-047_R1_001	84.70405172431364	54.0	150.0	45.45454545454545	38555317.0
25-047_R2_001	81.84254208561788	61.0	150.0	54.54545454545454	38555317.0
25-048_R1_001	74.6998325534158	45.0	150.0	27.27272727272727	28073566.0
25-048_R2_001	74.94759967986492	45.0	150.0	45.45454545454545	28073566.0
25-049_R1_001	81.3919736225726	41.0	150.0	27.27272727272727	38621453.0
25-049_R2_001	79.70960025537042	41.0	150.0	45.45454545454545	38621453.0
25-050_R1_001	79.4641572404428	43.0	150.0	27.27272727272727	53096503.0
25-050_R2_001	80.31261522678994	43.0	150.0	36.36363636363637	53096503.0
25-051_R1_001	75.8980643753554	46.0	150.0	18.181818181818183	54025751.0
25-051_R2_001	76.48086252319345	47.0	150.0	45.45454545454545	54025751.0
25-052_R1_001	76.99332802962198	43.0	150.0	27.27272727272727	30427334.0
25-052_R2_001	76.54126849589305	43.0	150.0	45.45454545454545	30427334.0
25-053_R1_001	81.52688801793525	44.0	150.0	27.27272727272727	51745762.0
25-053_R2_001	82.09437163452051	44.0	150.0	45.45454545454545	51745762.0
25-054_R1_001	78.28084625683606	45.0	150.0	27.27272727272727	50701073.0
25-054_R2_001	78.98866755878277	45.0	150.0	36.36363636363637	50701073.0
25-055_R1_001	77.0124218032062	44.0	150.0	18.181818181818183	32933107.0
25-055_R2_001	77.95322237439046	45.0	150.0	36.36363636363637	32933107.0
25-056_R1_001	78.28927714763535	43.0	150.0	27.27272727272727	34438544.0
25-056_R2_001	77.13175296250492	44.0	150.0	45.45454545454545	34438544.0
25-058_R1_001	80.29146218156961	42.0	150.0	36.36363636363637	40283042.0
25-058_R2_001	80.44349803326648	43.0	150.0	45.45454545454545	40283042.0
25-059_R1_001	84.24653850911581	47.0	150.0	36.36363636363637	65914867.0
25-059_R2_001	83.98680573790413	47.0	150.0	45.45454545454545	65914867.0
25-060_R1_001	83.85812602179084	44.0	150.0	36.36363636363637	56349866.0
25-060_R2_001	83.8691603613527	45.0	150.0	45.45454545454545	56349866.0
25-109_R1_001	79.11638240762298	44.0	150.0	27.27272727272727	45138283.0
25-109_R2_001	79.94687921402887	44.0	150.0	45.45454545454545	45138283.0
25-110_R1_001	81.98453711323089	41.0	150.0	27.27272727272727	35508585.0
25-110_R2_001	82.5231021261601	41.0	150.0	36.36363636363637	35508585.0
25-112_R1_001	80.1052158696113	43.0	150.0	18.181818181818183	46964893.0
25-112_R2_001	80.41626264846657	43.0	150.0	27.27272727272727	46964893.0
25-113_R1_001	77.6007757590107	44.0	150.0	27.27272727272727	32410729.0
25-113_R2_001	77.90271062556914	45.0	150.0	45.45454545454545	32410729.0
25-114_R1_001	83.96963108738008	42.0	150.0	18.181818181818183	67866400.0
25-114_R2_001	83.71342395496181	43.0	150.0	36.36363636363637	67866400.0
25-115_R1_001	77.71012405035162	44.0	150.0	27.27272727272727	39222905.0
25-115_R2_001	78.57625550248437	45.0	150.0	36.36363636363637	39222905.0
25-116_R1_001	77.49605868701941	43.0	150.0	27.27272727272727	44276886.0
25-116_R2_001	78.18784953633214	44.0	150.0	45.45454545454545	44276886.0
25-117_R1_001	76.51657597248435	45.0	150.0	27.27272727272727	38909636.0
25-117_R2_001	76.19596549393025	45.0	150.0	45.45454545454545	38909636.0
25-119_R1_001	85.32194112413752	39.0	150.0	27.27272727272727	50999426.0
25-119_R2_001	85.20815571689705	39.0	150.0	18.181818181818183	50999426.0
25-120_R1_001	79.42891630425382	45.0	150.0	27.27272727272727	56223361.0
25-120_R2_001	79.13102313432883	45.0	150.0	45.45454545454545	56223361.0
25-167_R1_001	79.98911686046918	43.0	150.0	36.36363636363637	37431573.0
25-167_R2_001	78.50236168486865	43.0	150.0	45.45454545454545	37431573.0
25-168_R1_001	80.7912561796197	44.0	150.0	18.181818181818183	44104075.0
25-168_R2_001	80.5130864291591	44.0	150.0	36.36363636363637	44104075.0
25-169_R1_001	82.09729003242788	47.0	150.0	36.36363636363637	57727336.0
25-169_R2_001	81.9528274707963	48.0	150.0	45.45454545454545	57727336.0
25-170_R1_001	78.75583694952147	44.0	150.0	27.27272727272727	49733846.0
25-170_R2_001	79.29851070447779	44.0	150.0	45.45454545454545	49733846.0
25-171_R1_001	82.73862933337813	41.0	150.0	18.181818181818183	47552922.0
25-171_R2_001	82.70295359720949	41.0	150.0	27.27272727272727	47552922.0
25-172_R1_001	75.71553284800396	44.0	150.0	27.27272727272727	37267613.0
25-172_R2_001	76.27426934270956	45.0	150.0	45.45454545454545	37267613.0
25-174_R1_001	78.3606893683163	43.0	150.0	27.27272727272727	36240014.0
25-174_R2_001	78.87329234826865	43.0	150.0	45.45454545454545	36240014.0
25-175_R1_001	79.16357811678452	42.0	150.0	18.181818181818183	37714009.0
25-175_R2_001	79.2933671646226	42.0	150.0	36.36363636363637	37714009.0
25-177_R1_001	81.00526656471853	41.0	150.0	18.181818181818183	43793074.0
