Sample	Reads passing filters
15-033_R1_001_val_1	46374479.0
15-033_R2_001_val_2	46374479.0
15-091_R1_001_val_1	44028566.0
15-091_R2_001_val_2	44028566.0
15-092_R1_001_val_1	49068698.0
15-092_R2_001_val_2	49068698.0
15-152_R1_001_val_1	32395456.0
15-152_R2_001_val_2	32395456.0
15-154_R1_001_val_1	50128301.0
15-154_R2_001_val_2	50128301.0
15-161_R1_001_val_1	52307981.0
15-161_R2_001_val_2	52307981.0
25-046_R1_001_val_1	43865460.0
25-046_R2_001_val_2	43865460.0
25-047_R1_001_val_1	26042719.0
25-047_R2_001_val_2	26042719.0
25-048_R1_001_val_1	27342459.0
25-048_R2_001_val_2	27342459.0
25-049_R1_001_val_1	38084023.0
25-049_R2_001_val_2	38084023.0
25-050_R1_001_val_1	52562330.0
25-050_R2_001_val_2	52562330.0
25-051_R1_001_val_1	52285803.0
25-051_R2_001_val_2	52285803.0
25-052_R1_001_val_1	30059929.0
25-052_R2_001_val_2	30059929.0
25-053_R1_001_val_1	50603388.0
25-053_R2_001_val_2	50603388.0
25-054_R1_001_val_1	50161131.0
25-054_R2_001_val_2	50161131.0
25-055_R1_001_val_1	32069631.0
25-055_R2_001_val_2	32069631.0
25-056_R1_001_val_1	33939555.0
25-056_R2_001_val_2	33939555.0
25-058_R1_001_val_1	38831671.0
25-058_R2_001_val_2	38831671.0
25-059_R1_001_val_1	61961030.0
25-059_R2_001_val_2	61961030.0
25-060_R1_001_val_1	53610688.0
25-060_R2_001_val_2	53610688.0
25-109_R1_001_val_1	44428553.0
25-109_R2_001_val_2	44428553.0
25-110_R1_001_val_1	35122072.0
25-110_R2_001_val_2	35122072.0
25-112_R1_001_val_1	46584169.0
25-112_R2_001_val_2	46584169.0
25-113_R1_001_val_1	31779287.0
25-113_R2_001_val_2	31779287.0
25-114_R1_001_val_1	66650980.0
25-114_R2_001_val_2	66650980.0
25-115_R1_001_val_1	38536519.0
25-115_R2_001_val_2	38536519.0
25-116_R1_001_val_1	43712866.0
25-116_R2_001_val_2	43712866.0
25-117_R1_001_val_1	38313594.0
25-117_R2_001_val_2	38313594.0
25-119_R1_001_val_1	50501575.0
25-119_R2_001_val_2	50501575.0
25-120_R1_001_val_1	55180119.0
25-120_R2_001_val_2	55180119.0
25-167_R1_001_val_1	36902705.0
25-167_R2_001_val_2	36902705.0
25-168_R1_001_val_1	43252629.0
25-168_R2_001_val_2	43252629.0
25-169_R1_001_val_1	54117969.0
25-169_R2_001_val_2	54117969.0
25-170_R1_001_val_1	49087925.0
25-170_R2_001_val_2	49087925.0
25-171_R1_001_val_1	47048483.0
25-171_R2_001_val_2	47048483.0
25-172_R1_001_val_1	36651873.0
25-172_R2_001_val_2	36651873.0
25-174_R1_001_val_1	35477422.0
25-174_R2_001_val_2	35477422.0
25-175_R1_001_val_1	37185063.0
25-175_R2_001_val_2	37185063.0
25-177_R1_001_val_1	43246727.0
25-177_R2_001_val_2	43246727.0
25-179_R1_001_val_1	40358113.0
25-179_R2_001_val_2	40358113.0
25-180_R1_001_val_1	49142899.0
25-180_R2_001_val_2	49142899.0
25-185_R1_001_val_1	26515365.0
25-185_R2_001_val_2	26515365.0
25-186_R1_001_val_1	25383543.0
25-186_R2_001_val_2	25383543.0
25-193_R1_001_val_1	26704889.0
25-193_R2_001_val_2	26704889.0
25-194_R1_001_val_1	30361356.0
25-194_R2_001_val_2	30361356.0
25-195_R1_001_val_1	33205632.0
25-195_R2_001_val_2	33205632.0
25-202_R1_001_val_1	48430876.0
25-202_R2_001_val_2	48430876.0
25-203_R1_001_val_1	35371877.0
25-203_R2_001_val_2	35371877.0
5-002_R1_001_val_1	42800093.0
5-002_R2_001_val_2	42800093.0
5-003_R1_001_val_1	46172757.0
5-003_R2_001_val_2	46172757.0
5-004_R1_001_val_1	51199931.0
5-004_R2_001_val_2	51199931.0
5-005_R1_001_val_1	43882525.0
5-005_R2_001_val_2	43882525.0
5-006_R1_001_val_1	33002575.0
5-006_R2_001_val_2	33002575.0
5-007_R1_001_val_1	29758547.0
5-007_R2_001_val_2	29758547.0
5-008_R1_001_val_1	50042288.0
5-008_R2_001_val_2	50042288.0
5-009_R1_001_val_1	32440532.0
5-009_R2_001_val_2	32440532.0
5-010_R1_001_val_1	33673102.0
5-010_R2_001_val_2	33673102.0
5-012_R1_001_val_1	42628644.0
5-012_R2_001_val_2	42628644.0
5-014_R1_001_val_1	48224712.0
5-014_R2_001_val_2	48224712.0
5-015_R1_001_val_1	33482118.0
5-015_R2_001_val_2	33482118.0
5-061_R1_001_val_1	36415008.0
5-061_R2_001_val_2	36415008.0
5-063_R1_001_val_1	42206464.0
5-063_R2_001_val_2	42206464.0
5-066_R1_001_val_1	18905359.0
5-066_R2_001_val_2	18905359.0
5-067_R1_001_val_1	44328424.0
5-067_R2_001_val_2	44328424.0
5-069_R1_001_val_1	36821765.0
5-069_R2_001_val_2	36821765.0
5-071_R1_001_val_1	42180987.0
5-071_R2_001_val_2	42180987.0
5-073_R1_001_val_1	31256890.0
5-073_R2_001_val_2	31256890.0
5-074_R1_001_val_1	35843055.0
5-074_R2_001_val_2	35843055.0
5-075_R1_001_val_1	27283340.0
5-075_R2_001_val_2	27283340.0
5-121_R1_001_val_1	39210287.0
5-121_R2_001_val_2	39210287.0
5-122_R1_001_val_1	23245236.0
5-122_R2_001_val_2	23245236.0
5-123_R1_001_val_1	44229957.0
5-123_R2_001_val_2	44229957.0
5-124_R1_001_val_1	52039602.0
5-124_R2_001_val_2	52039602.0
5-125_R1_001_val_1	37618423.0
5-125_R2_001_val_2	37618423.0
5-126_R1_001_val_1	41812921.0
5-126_R2_001_val_2	41812921.0
5-127_R1_001_val_1	25792233.0
5-127_R2_001_val_2	25792233.0
5-128_R1_001_val_1	40305779.0
5-128_R2_001_val_2	40305779.0
5-130_R1_001_val_1	46544878.0
5-130_R2_001_val_2	46544878.0
5-131_R1_001_val_1	51132061.0
5-131_R2_001_val_2	51132061.0
5-133_R1_001_val_1	30499769.0
5-133_R2_001_val_2	30499769.0
5-135_R1_001_val_1	17718300.0
5-135_R2_001_val_2	17718300.0
5-181_R1_001_val_1	59296280.0
5-181_R2_001_val_2	59296280.0
5-182_R1_001_val_1	34757346.0
5-182_R2_001_val_2	34757346.0
5-187_R1_001_val_1	71242717.0
5-187_R2_001_val_2	71242717.0
5-188_R1_001_val_1	36739707.0
5-188_R2_001_val_2	36739707.0
5-189_R1_001_val_1	31342733.0
5-189_R2_001_val_2	31342733.0
5-197_R1_001_val_1	53741682.0
5-197_R2_001_val_2	53741682.0
