Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
15-033_R1_001_val_1 - Adapter 1	3124624	1002768	319407	102385	43417	9827	4733	2147	3057	6272	9043	6227	6729	11978	9294	21414	6828	7431	10032	8341	12072	11242	18617	7028	9766	18001	17769	14346	11547	11617	7674	91183	7508	86605	47918	19212	33080	12796	7016	23156	30703	6665	5585	7251	6297	9091	7708	5918	7281	14994	6486	9846	11994	8673	13004	6700	7578	12179	10631	9514	8136	10871	8698	9818	9351	9057	8762	10988	10809	9553	13546	12953	12022	7673	7293	9863	10016	12361	8167	11915	19118	8562	13291	10988	6806	13659	10232	11890	7735	9507	13473	9329	13193	12984	22819	12617	8015	10363	8399	7738	7773	7425	9190	11172	10145	11576	16047	18576	9905	10170	10781	8594	13005	26499	11790	17905	9441	77526	11631	21219	31769	8834	9343	8809	10894	7316	7270	8564	8488	12250	32791	38340	9063	29094	16115	11404	10833	7838	7659	9270	10067	10525	55913	9096	54076	11111	4277	22622	2652	3577
15-033_R2_001_val_2 - Adapter 1	9312189	2631835	1079879	299990	120412	31377	6131	3558	2852	38473	8912	9795	13730	11918	15593	40071	15905	11751	12956	12383	7915	10995	9562	8994	9718	22073	13633	13037	14930	16148	7528	8089	10051	10364	11459	8825	8418	6751	17092	9218	22462	11559	9061	9211	12098	9434	13164	7899	8743	7443	11523	8194	9720	9322	8121	10242	10261	7295	7050	7185	10011	9140	13279	10625	9973	9657	10332	10256	7862	9310	12433	8440	8318	11820	13884	9967	9225	9511	15045	6704	7937	9690	6210	10970	12531	13720	23373	9940	13625	7120	37060	17760	20922	10047	8227	26567	33906	21847	27710	21617	7089	17236	10094	14477	6971	21384	8398	9266	10664	9957	6741	10676	6719	7602	8440	7020	7192	9831	6434	14456	8607	8289	9337	13043	6183	13721	17609	8225	8273	24679	6866	7305	7457	7834	14926	6920	8319	15058	8429	8619	11284	9006	5284	7984	7735	7351	4859	6621	11366	14625
15-091_R1_001_val_1 - Adapter 1	3247028	981069	340949	110364	42856	10058	5873	2890	2950	6658	9009	6127	6616	11355	9057	15466	6584	7953	8779	8857	11166	10973	17081	7405	13775	14637	22179	18008	11515	13631	7754	102604	7900	76900	43465	17861	23541	11624	8658	22860	17841	6563	6097	8267	6911	8114	8244	6047	7516	12706	6085	8439	10190	8109	11723	7248	9671	14849	11468	11189	8631	11179	11312	12490	9786	11124	9874	11669	13855	9285	11077	16706	16141	9433	8795	11153	9296	10680	9342	10894	21158	9671	14051	11137	8295	14934	10762	13480	7712	10425	11291	11381	14564	12142	21779	11979	8285	11636	7930	7313	9435	7404	13399	11086	9748	13129	14685	18763	8320	9117	8874	7877	18686	19966	8418	16077	10127	29468	15146	11543	20034	6144	8529	9919	14546	7748	9368	11359	15264	13529	57691	30262	11412	24222	12507	8833	8213	7432	7203	8271	10867	19983	196883	13133	190066	23659	5164	82187	3928	12875
15-091_R2_001_val_2 - Adapter 1	8544893	2312848	1008651	266423	117167	29443	5082	2697	2171	56604	17135	19115	13688	26401	33983	55981	34245	12259	11714	10491	7209	10159	8840	8297	10022	26413	12538	19377	21620	18044	7586	8304	10311	10417	10622	8516	12155	6802	11003	9423	18821	12076	9397	10949	13301	10493	14840	8556	8594	7503	11664	8631	10843	9662	8685	10210	11589	8421	6892	7873	10647	9214	14949	11359	11097	9871	10348	10187	7952	8877	13125	8242	7965	12113	14551	10208	9387	12306	15929	6796	8269	9153	6693	11188	13058	14791	24183	10519	15213	6873	36795	16487	19879	9924	8015	30590	35700	21951	31262	20902	6830	14748	10188	15305	6754	23056	8201	8756	10464	9396	5955	10201	6162	6471	7313	6062	6452	7459	5712	11645	6571	7517	7815	12266	5495	14889	17381	7267	8287	32008	6188	6293	7354	6438	16406	6013	8287	20122	6549	6741	9254	7659	4453	6028	6001	5552	4045	6655	9732	13893
15-092_R1_001_val_1 - Adapter 1	3538001	918681	327311	113525	37555	11675	9061	8268	8913	12891	15142	9418	8958	15690	13092	20785	9145	10974	10947	10747	12949	10931	16848	9460	15281	13659	17910	15808	11464	14119	9247	79407	8885	51588	33533	17736	25226	11343	12933	23457	28449	9244	8368	11506	9669	11985	11281	7890	10846	17232	7706	9133	12020	10353	12102	8261	11913	19349	14712	13126	11191	14997	13862	14914	13977	13881	11700	13025	15702	11774	14176	22045	19760	10817	10203	14470	13696	13302	10261	12339	18176	11118	15497	14614	9717	17029	12825	15046	9858	12253	14941	10282	14609	12730	21446	13460	9618	10635	9046	8486	9294	8359	13816	14062	11591	13749	18489	18897	9439	10160	10310	9031	18159	22173	9690	17996	10398	38737	12171	11606	16632	7804	8778	10022	13465	7956	8719	9674	10164	12872	28917	18017	9996	30341	15325	11471	8965	7497	7259	8394	9572	13062	77207	9257	66219	13785	4634	22321	5107	4672
15-092_R2_001_val_2 - Adapter 1	9343753	2262770	862784	255295	99742	30265	5704	3230	2405	36907	8382	16081	13406	19640	25549	46018	26841	13225	13838	12639	8981	12377	10740	11451	13192	21969	15278	15579	16425	15315	9441	10104	11785	11468	11550	10614	9029	8457	17551	10563	31470	12869	12948	12024	16311	13327	15916	11371	10652	9444	13197	12908	15989	11505	12906	13448	13924	9826	10496	9851	12351	10515	15666	13116	13951	11096	12426	11188	9120	10807	14298	10647	9170	11955	14281	10984	10020	13742	16146	7997	10067	11246	9423	12640	12718	13709	24360	11131	14455	8868	31213	16602	17391	13807	11906	29447	31816	20762	25544	19848	8430	15095	11046	14139	7780	19292	8636	10364	11141	11060	8218	11673	8037	8111	9068	7818	8726	9434	6587	13910	8189	8116	9556	13948	6331	13236	17322	9267	8357	20845	6545	7136	7101	7430	13000	6847	7555	10770	7367	7342	8902	8619	5610	7089	7507	6525	5396	8208	16106	34075
15-152_R1_001_val_1 - Adapter 1	2203358	684576	214881	71689	29214	6252	3298	1304	1542	4232	6642	4541	4462	8109	6740	16424	4184	4905	7242	5797	9536	9457	13458	5051	7165	11958	12527	10462	8007	8375	5534	76146	5269	70547	38585	14682	17728	8154	5241	17783	13147	4387	4616	5406	4540	5262	5322	4324	5000	9317	4236	6075	7077	5556	8337	4594	6243	8759	7606	7464	5813	7869	6467	7142	6551	6433	6887	8135	8295	6395	8809	8606	9189	5470	5494	7042	6907	8416	7196	8314	13013	6721	9003	7900	5511	10070	7175	9131	5300	6961	7399	7937	10794	7863	13044	7119	5769	7629	5750	5054	6060	5108	6524	7847	6422	8302	9648	11650	6181	6743	6785	5319	10854	17533	7015	12426	5826	20574	9325	10964	13313	4893	6659	7619	7900	5648	6619	7075	9807	8665	51046	27895	6764	19090	9270	7533	5569	5107	4878	5744	7364	11807	97496	6807	93528	11260	2793	33767	1794	5263
15-152_R2_001_val_2 - Adapter 1	6226338	1681150	697131	182076	74950	20545	4104	2483	1814	36485	8285	9189	10077	13663	18811	33174	16859	9020	8935	8654	5890	7885	6251	6835	6798	19859	9288	12589	14545	11788	5217	5469	6931	7328	7476	6167	9574	4723	7292	6193	10639	7646	6283	7466	9137	7824	9411	5854	6141	5174	8266	6258	7477	6984	6102	7048	7524	5840	5046	5095	6981	6316	9263	8582	7343	6859	8337	7456	5796	6044	9004	6125	5804	8462	10305	7201	6749	7274	9969	4836	6177	7174	4723	7854	10061	10214	15934	7245	11653	5257	27972	12448	14791	6937	6108	21916	27308	17988	24045	15092	5284	11764	8088	12612	4866	16585	5727	6173	7098	6860	4196	7835	4489	5415	5723	4553	5046	6095	4204	8371	5199	5517	6057	9560	4183	11100	13000	5225	5381	15962	4443	4750	5003	5342	10199	4445	5795	10975	5037	4841	7322	5468	3366	4825	4738	4398	2806	4398	5591	8059
15-154_R1_001_val_1 - Adapter 1	3585065	1081263	384329	121621	45387	10969	6281	3059	3179	7398	11102	7663	7751	14752	11036	23743	7878	9052	11028	9490	13871	13536	22480	8263	14098	18055	23984	18390	14091	15567	8620	121903	8590	89211	49689	19781	24207	12214	10625	24884	19444	7595	7005	8475	7583	8882	8808	6885	8206	15219	6883	8365	11066	9094	14043	8326	10048	15355	13428	12024	9553	16581	12036	15274	13777	14036	12459	12866	14600	12058	13086	18094	17780	9597	9321	13197	12559	15074	10912	15353	27221	12110	17097	13847	9094	18907	13353	17473	9867	13317	15281	14333	19526	15301	26699	14694	9046	15258	9726	8692	11022	9381	13523	16985	13115	15311	20096	20621	10598	12331	13561	10292	22144	31280	12621	24505	10989	35981	15967	14075	24841	7786	11160	11389	15583	10521	11520	12828	19256	18181	109140	42645	12898	39079	16608	12718	10000	8763	8168	10305	11970	22312	220402	14117	206204	25449	5841	72144	3973	11867
15-154_R2_001_val_2 - Adapter 1	10146784	2738436	1171436	336932	122347	40244	6038	4806	2581	65528	14885	16178	16977	25091	36012	62310	31499	14634	13990	13442	8579	13844	10521	11655	11116	31441	13887	21396	27624	18825	8685	9036	11797	11726	12089	10125	15756	7409	13289	9893	19864	13599	11237	13584	17158	13753	16217	10288	10717	8478	12347	9680	12729	10265	10695	12160	12625	9325	7818	8886	12161	9905	16066	13689	12024	10570	14129	13804	9353	10229	15150	10379	9012	13788	15509	10981	10225	13900	17474	7289	9169	10976	7344	12810	16088	16144	28294	11778	18574	7891	40218	18790	22324	12034	10455	37916	47331	29705	39615	24618	7974	17911	12513	18573	7562	24576	8809	9884	11685	12590	6727	12873	7385	8243	8793	7284	8240	9825	6716	14498	9325	8292	9900	17222	6633	16966	22278	10437	8991	30880	6901	7508	8014	7673	17299	7597	8893	18345	8428	8478	11281	9785	6001	8605	8540	7346	5572	8056	11993	18228
