Sample	Unique Reads	Duplicate Reads
15-033_R1_001_val_1_val_1	8649716.0	37082708.0
15-033_R2_001_val_2_val_2	8871043.0	36861381.0
15-091_R1_001_val_1_val_1	9119024.0	33767408.0
15-091_R2_001_val_2_val_2	8895474.0	33990958.0
15-092_R1_001_val_1_val_1	10221046.0	37989388.0
15-092_R2_001_val_2_val_2	9908236.0	38302198.0
15-152_R1_001_val_1_val_1	6919687.0	24819368.0
15-152_R2_001_val_2_val_2	7259994.0	24479061.0
15-154_R1_001_val_1_val_1	9817042.0	39021364.0
15-154_R2_001_val_2_val_2	9376923.0	39461483.0
15-161_R1_001_val_1_val_1	10841933.0	40180916.0
15-161_R2_001_val_2_val_2	10429923.0	40592926.0
25-046_R1_001_val_1_val_1	8921375.0	34252214.0
25-046_R2_001_val_2_val_2	8513123.0	34660466.0
25-047_R1_001_val_1_val_1	7081257.0	18427366.0
25-047_R2_001_val_2_val_2	6817364.0	18691259.0
25-048_R1_001_val_1_val_1	7090837.0	19866854.0
25-048_R2_001_val_2_val_2	6923116.0	20034575.0
25-049_R1_001_val_1_val_1	7182692.0	29940727.0
25-049_R2_001_val_2_val_2	7672863.0	29450556.0
25-050_R1_001_val_1_val_1	10915388.0	40533410.0
25-050_R2_001_val_2_val_2	10384361.0	41064437.0
25-051_R1_001_val_1_val_1	13612163.0	37976922.0
25-051_R2_001_val_2_val_2	13020009.0	38569076.0
25-052_R1_001_val_1_val_1	6985380.0	22363751.0
25-052_R2_001_val_2_val_2	7036067.0	22313064.0
25-053_R1_001_val_1_val_1	9822337.0	40028143.0
25-053_R2_001_val_2_val_2	9398119.0	40452361.0
25-054_R1_001_val_1_val_1	11033116.0	38331274.0
25-054_R2_001_val_2_val_2	10571888.0	38792502.0
25-055_R1_001_val_1_val_1	7561011.0	23858263.0
25-055_R2_001_val_2_val_2	7108913.0	24310361.0
25-056_R1_001_val_1_val_1	7470322.0	25948697.0
25-056_R2_001_val_2_val_2	7776994.0	25642025.0
25-058_R1_001_val_1_val_1	8026806.0	29754248.0
25-058_R2_001_val_2_val_2	7759076.0	30021978.0
25-059_R1_001_val_1_val_1	10914512.0	49937375.0
25-059_R2_001_val_2_val_2	10639595.0	50212292.0
25-060_R1_001_val_1_val_1	9487015.0	43108761.0
25-060_R2_001_val_2_val_2	9155805.0	43439971.0
25-109_R1_001_val_1_val_1	9485496.0	34063771.0
25-109_R2_001_val_2_val_2	9005079.0	34544188.0
25-110_R1_001_val_1_val_1	6361000.0	27698081.0
25-110_R2_001_val_2_val_2	6112173.0	27946908.0
25-112_R1_001_val_1_val_1	9285204.0	36413166.0
25-112_R2_001_val_2_val_2	9099324.0	36599046.0
25-113_R1_001_val_1_val_1	7247682.0	23907648.0
25-113_R2_001_val_2_val_2	7071825.0	24083505.0
25-114_R1_001_val_1_val_1	10892202.0	54445311.0
25-114_R2_001_val_2_val_2	10908158.0	54429355.0
25-115_R1_001_val_1_val_1	8763672.0	29219971.0
