Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
15-033_R1_001_val_1	2.5267875193462976					
15-033_R1_001_val_1_val_1		81.08625209659215	43.0	142.19270297152846	27.27272727272727	45732424.0
15-033_R2_001_val_2	2.2353950866948287					
15-033_R2_001_val_2_val_2		80.60229072326803	43.0	141.55462179306306	27.27272727272727	45732424.0
15-091_R1_001_val_1	3.5759976740697477					
15-091_R1_001_val_1_val_1		78.73681111693513	42.0	136.99492074789526	27.27272727272727	42886432.0
15-091_R2_001_val_2	2.4294122243249556					
15-091_R2_001_val_2_val_2		79.25807035752129	42.0	136.1645512501483	27.27272727272727	42886432.0
15-092_R1_001_val_1	2.6803317584416795					
15-092_R1_001_val_1_val_1		78.79910104220434	43.0	132.43422405199672	27.27272727272727	48210434.0
15-092_R2_001_val_2	2.4154660602718905					
15-092_R2_001_val_2_val_2		79.44794371242511	43.0	131.8494711539	27.27272727272727	48210434.0
15-152_R1_001_val_1	2.9897293903431836					
15-152_R1_001_val_1_val_1		78.19819564525896	43.0	139.77195266210666	27.27272727272727	31739055.0
15-152_R2_001_val_2	2.340523879837849					
15-152_R2_001_val_2_val_2		77.12599462128725	43.0	138.5924832670664	27.27272727272727	31739055.0
15-154_R1_001_val_1	3.6708421193493233					
15-154_R1_001_val_1_val_1		79.89893040601864	42.0	139.5310187846835	27.27272727272727	48838406.0
15-154_R2_001_val_2	2.464209843861263					
15-154_R2_001_val_2_val_2		80.8001062283223	42.0	138.78453729632372	27.27272727272727	48838406.0
15-161_R1_001_val_1	3.4261669415327893					
15-161_R1_001_val_1_val_1		78.75082891493636	42.0	136.48380230590416	27.27272727272727	51022849.0
15-161_R2_001_val_2	2.350472977971305					
15-161_R2_001_val_2_val_2		79.55833002740194	42.0	135.7568590691594	27.27272727272727	51022849.0
25-046_R1_001_val_1	2.6878407567861125					
25-046_R1_001_val_1_val_1		79.33603778654577	43.0	141.56246477447127	27.27272727272727	43173589.0
25-046_R2_001_val_2	2.279203138808863					
25-046_R2_001_val_2_val_2		80.28164348457163	43.0	140.87094705052203	27.27272727272727	43173589.0
25-047_R1_001_val_1	2.839656357113899					
25-047_R1_001_val_1_val_1		72.23975488651593	44.0	123.69479998979169	27.27272727272727	25508623.0
25-047_R2_001_val_2	2.0630311450139818					
25-047_R2_001_val_2_val_2		73.27427841006099	44.0	123.05421053108198	36.36363636363637	25508623.0
25-048_R1_001_val_1	2.4984402036634603					
25-048_R1_001_val_1_val_1		73.69642522610349	44.0	142.68052471556263	27.27272727272727	26957691.0
25-048_R2_001_val_2	2.2047859071428833					
25-048_R2_001_val_2_val_2		74.31858878556626	44.0	141.98144863371274	27.27272727272727	26957691.0
25-049_R1_001_val_1	3.542880505503233					
25-049_R1_001_val_1_val_1		80.65185841000914	41.0	141.37155354683253	27.27272727272727	37123419.0
25-049_R2_001_val_2	2.640270038888683					
25-049_R2_001_val_2_val_2		79.33147665004985	41.0	140.01508099240536	27.27272727272727	37123419.0
25-050_R1_001_val_1	3.1250956875882085					
25-050_R1_001_val_1_val_1		78.78397905535158	43.0	141.4592231289835	27.27272727272727	51448798.0
25-050_R2_001_val_2	2.2695506239528562					
25-050_R2_001_val_2_val_2		79.81612560564562	43.0	140.68906632182154	27.27272727272727	51448798.0
25-051_R1_001_val_1	2.0743716898158193					
25-051_R1_001_val_1_val_1		73.61425832132045	45.0	135.57780309536406	18.181818181818183	51589085.0
25-051_R2_001_val_2	1.7057612829499043					
25-051_R2_001_val_2_val_2		74.76208705137594	46.0	134.88920030273846	27.27272727272727	51589085.0
25-052_R1_001_val_1	3.2582211189355457					
25-052_R1_001_val_1_val_1		76.19902567513338	43.0	141.99704774904578	27.27272727272727	29349131.0
25-052_R2_001_val_2	2.563761330818223					
25-052_R2_001_val_2_val_2		76.02632136684014	43.0	141.1754710897573	27.27272727272727	29349131.0
25-053_R1_001_val_1	2.6580665613095578					
