Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
15-033_R1_001 - Adapter 1	9499929	2614801	1195689	405548	274770	233873	229445	223115	213969	211001	204762	203900	206731	208349	219103	204176	200178	194553	195064	188029	178895	171149	177349	167558	170945	163818	157285	153186	144730	135575	134369	134485	131113	132262	119732	121222	114299	117256	107977	102303	97488	91905	88415	112248	78469	113618	29562	148175	183129	43045	34543	62616	16703	66683	10639	25365	16121	20746	63229	14898	26492	2403	4215	12657	34124	2200	1336	9250	10278	10280	7808	3249	2298	5591	6133	6050	5773	5302	4645	4248	3734	3363	3089	2638	3227	2392	2289	2112	2008	1823	1638	1502	1348	1207	1094	1007	920	908	846	771	710	623	603	595	495	537	542	561	489	471	526	444	439	461	437	357	311	349	399	732	926	499	247	141	150	171	155	168	269	1460	86902	318	206	268	167	183	196	284	199	228	432	226	456	418	469	548	651	714	8274	491327
15-033_R2_001 - Adapter 1	10251042	2739889	998537	418413	277667	235759	230154	223021	212108	211751	203766	208475	201889	209075	222236	197471	200869	195044	207604	194645	165348	163962	176282	173129	166550	163828	175947	142017	141755	134762	130050	132136	136167	133977	111358	124393	111205	119597	129342	80949	93516	85890	89592	79780	91573	71405	68607	74028	62337	57282	54419	54125	44723	45313	45351	38653	39601	42175	31245	30751	26956	27385	21076	24581	16852	17851	17249	14398	12107	15056	7075	8790	8690	8384	8535	2500	5440	5240	4653	4248	3743	3319	2972	2644	2456	2281	2297	2089	2000	1764	1595	1449	1294	1186	1060	948	888	884	844	749	682	584	581	582	505	514	553	535	449	437	404	377	368	369	366	320	296	310	364	680	851	467	238	149	133	127	156	195	248	1622	82847	236	161	208	112	130	103	219	127	156	361	138	350	312	288	394	303	225	235	9589
15-091_R1_001 - Adapter 1	7971385	2024423	919910	364554	286323	252747	253698	245911	239669	241188	240150	246789	252650	252455	276533	260303	261726	259015	258647	257434	251030	247949	260357	258679	265640	256740	255836	250516	240952	232530	234620	236335	235207	234469	236047	237372	231597	239689	222036	222237	211000	207309	204899	274994	182034	242763	133451	595440	174670	52903	138648	139456	67655	204162	39570	102170	65155	82171	211754	56025	125074	11581	20811	54164	141120	8098	5772	37907	40325	41852	31729	12753	10022	24201	26532	25326	23830	22266	20035	18501	16893	14969	13407	12171	11501	10894	10283	9497	8739	7896	7515	7003	6130	5464	4918	4495	4588	4285	3863	3433	2940	2620	2534	2178	2055	1924	2044	1945	1722	1449	1434	1126	999	879	779	782	667	719	591	639	531	427	336	277	280	215	274	257	236	447	9838	356	302	486	358	363	424	722	497	600	966	665	951	1091	1032	1513	1694	1764	12014	767470
15-091_R2_001 - Adapter 1	8437681	2203612	837323	385044	285870	253667	254827	245874	237636	241679	239109	250948	248398	253662	282020	251863	261422	260601	275177	270190	231587	240490	259003	274932	253227	256269	284675	228608	243363	227756	229740	230819	282537	229501	230788	208394	231113	233408	227020	222799	192729	197830	203805	186802	217285	177153	172530	189483	161110	148016	145598	149933	126089	129843	128159	115025	121910	131148	97322	101811	82814	84835	72055	82396	60546	64310	63458	54087	45258	57423	27616	34772	34651	35056	35740	10583	22198	22043	19980	18476	16901	14937	13382	12205	11367	10798	10231	9482	8780	7876	7482	6931	6052	5380	4810	4424	4524	4201	3804	3425	2915	2567	2488	2173	2050	1913	2065	1947	1711	1444	1397	1123	945	878	762	766	654	715	573	641	526	411	328	253	244	194	232	213	214	419	9444	264	232	414	275	286	330	640	404	485	858	533	800	910	816	1261	1213	1058	406	13343
15-092_R1_001 - Adapter 1	7422257	2017290	857248	424402	344012	314793	315575	313644	307180	312057	311375	322654	324000	328544	349881	337424	349273	349317	351371	348817	346152	348406	369399	367394	374021	359401	360653	360423	349885	337849	343827	352231	352780	357200	356170	353928	354262	364082	341126	345422	336251	333263	327781	435955	349171	492310	164962	1437967	831315	139426	154364	248764	51692	279432	36675	98085	41848	108677	348505	41894	139045	14465	13831	84962	222531	27877	8899	39308	62413	65435	49748	22474	19436	49686	55344	53079	49660	46504	42421	38527	34131	30870	27327	25414	23251	22415	21262	19576	17522	16250	14435	13402	11659	10286	9001	8800	8572	8117	7442	6378	5610	4848	4482	3669	3371	3396	3431	3133	2870	2623	2271	1844	1554	1379	1166	1126	1020	921	908	851	952	636	481	371	305	307	260	283	335	556	14678	406	393	460	371	401	484	1411	506	612	955	630	983	1041	996	1641	1601	1136	4050	359256
15-092_R2_001 - Adapter 1	7729147	2173483	880536	440630	344489	315765	316549	313424	304927	313137	310733	329914	317755	330231	358000	327364	348305	352550	378474	363053	318827	334572	367870	392500	356824	361195	396896	343698	343158	336891	332626	344453	353652	393918	402578	316857	332161	356357	335241	343622	347529	293120	326759	308355	358933	301333	294836	323198	281772	260631	263580	270780	233573	240698	246821	214994	235336	252627	166698	189577	165496	160078	134244	159562	121497	126148	126107	106490	89400	118199	55906	71359	72090	73212	73403	21371	46390	46369	42348	38563	34271	30748	27414	25353	23178	22435	21197	19562	17567	16159	14481	13338	11640	10248	8923	8731	8512	8059	7443	6339	5595	4824	4443	3661	3370	3376	3414	3131	2902	2624	2249	1856	1539	1377	1151	1128	1022	906	884	852	938	614	464	364	299	300	242	293	306	574	14214	355	378	422	314	364	416	1411	436	525	888	571	890	938	867	1513	1348	795	220	6144
15-152_R1_001 - Adapter 1	5950112	1651777	850018	311341	232269	206681	205965	199747	198995	198748	195828	198423	202764	207422	219378	204986	201502	195656	195220	193173	185147	179458	182546	178342	178744	176362	174441	166419	158463	151960	152082	151266	147496	145077	141827	139210	137460	136176	126108	122939	115290	107446	106487	138783	91866	129143	27900	111271	90816	59329	64689	73376	48454	66967	39306	49735	43159	40445	52887	38018	48236	21792	21967	23993	45057	14770	8966	18195	16178	16269	11885	4588	5247	8272	8142	7496	6998	6429	5908	5128	4553	4152	3666	3259	3519	3013	2628	2587	2247	2090	1811	1756	1533	1341	1209	1110	1088	1047	975	902	752	689	640	559	514	524	535	480	451	443	386	338	313	293	301	249	230	218	211	324	369	232	172	127	98	92	96	151	128	487	22099	163	127	246	168	126	163	283	149	194	344	202	275	345	305	439	546	630	8060	436916
15-152_R2_001 - Adapter 1	6467555	1750930	673650	318490	232424	208633	206966	199925	195196	196976	192768	199758	197021	206330	222256	195426	199430	194782	206720	198151	168920	170563	179449	187390	168711	174532	191369	149822	158006	147137	146055	146349	172247	143313	136806	121819	133599	131746	125953	121598	103148	105131	104063	94263	106555	87176	82026	88902	73400	67096	65553	65227	53668	55104	53833	47896	48700	52199	38729	40352	32777	32825	27554	30184	20751	21964	20914	17924	14662	18735	8430	10680	10583	10811	10351	3006	6507	6285	5776	5008	4524	3974	3604	3183	2984	2908	2572	2503	2195	1992	1760	1685	1457	1266	1148	1064	1027	1006	919	861	719	662	595	530	483	487	503	461	420	412	326	308	294	253	258	243	214	207	194	297	300	229	142	108	80	85	82	128	105	516	20995	116	87	199	111	80	113	225	98	130	272	133	201	247	177	270	250	221	267	9764
15-154_R1_001 - Adapter 1	9878978	2649028	1053684	473113	336122	295644	294976	284821	282552	283478	278595	278686	280000	276623	292913	286463	288802	280607	281017	274376	263424	258694	255100	260619	272872	260532	257362	241942	234812	224400	223548	222136	213980	210896	210733	207827	202676	200247	189415	182627	175274	166547	164113	217430	156260	217740	64142	662745	256347	56316	40643	101284	17509	85336	10663	25179	13841	34812	99991	13066	34415	4682	5132	25893	64271	10335	2828	12462	18454	19224	15295	7451	5084	13036	14115	14045	12962	11972	10738	9899	8979	7755	6871	6185	5913	8171	5528	4972	4403	4112	3716	3525	2954	2742	2433	2360	2222	2077	1926	1705	1587	1296	1310	1103	1035	1020	1009	929	838	799	707	616	514	517	439	406	380	445	357	345	347	320	234	187	174	162	215	162	233	314	5860	292	248	480	340	305	380	601	389	492	1070	569	840	757	785	1173	1417	1436	12291	706194
15-154_R2_001 - Adapter 1	10339211	2837568	1028183	478058	335505	297241	296247	285644	280436	285020	277292	286086	272794	278140	299035	276369	290104	281980	306679	278554	243239	250379	253958	278873	259779	260011	284194	225056	237104	226412	210832	218270	244979	195173	212353	352293	119823	265888	131714	198774	118465	149755	170427	131903	210080	112342	107866	160613	100569	102434	102876	114158	69139	93465	88981	72969	91407	99476	64454	57711	44400	61807	32805	59725	28692	35131	38978	26264	18613	37139	7516	18225	18891	19406	18967	5884	10413	11652	10675	9830	8992	7708	6833	6138	5725	5811	5424	4844	4404	4085	3684	3476	2869	2659	2350	2276	2177	2024	1918	1663	1567	1279	1261	1076	1031	1012	988	927	817	782	703	591	533	530	417	386	391	430	343	339	325	303	214	169	150	134	162	138	181	298	5584	200	185	389	245	204	277	497	270	357	934	402	669	584	548	891	850	640	503	19511
15-161_R1_001 - Adapter 1	9195873	2410847	1079455	439993	348358	309986	312217	299108	296868	299673	300777	307224	314237	316318	345021	322601	328350	323933	326851	322441	316691	313279	327020	327193	329327	323552	322070	314873	305948	295599	299806	302883	298337	301854	299803	299958	297564	303501	283017	281888	270408	267561	258383	353218	256770	356916	128623	1040111	560762	96301	87644	185783	33672	184244	23935	63957	26471	74093	229040	27086	90652	9556	8797	55502	140348	17412	5617	24074	38156	39163	30105	13410	11549	29729	32265	30277	28244	26184	24107	21428	19359	17095	15107	13927	12781	12817	11443	10537	9354	8634	7646	7148	6163	5432	4713	4372	4291	4122	3631	3214	2834	2475	2301	1967	1785	1666	1747	1578	1387	1212	1071	940	755	799	743	699	533	529	571	774	845	532	313	251	268	219	235	286	308	1221	54644	363	294	511	290	287	328	613	350	455	817	478	767	769	806	1122	1303	1306	11682	804694
