Sample	Top over-represented sequence	Sum of remaining over-represented sequences
15-033_R1_001_val_1	0.5545312972680513	5.466989720790179
15-033_R2_001_val_2	0.3448750335286786	2.446075997964311
15-091_R1_001_val_1	0.6973018380839385	6.870391826978874
15-091_R2_001_val_2	0.4015256822127707	3.6796746911993448
15-092_R1_001_val_1	0.6194376708344697	3.0098719961960265
15-092_R2_001_val_2	0.27512244160217986	2.347686095115057
15-152_R1_001_val_1	0.7284972312166249	6.540883388089986
15-152_R2_001_val_2	0.44328439148996696	3.041022172986236
15-154_R1_001_val_1	0.5923081255037947	5.043105290961289
15-154_R2_001_val_2	0.41700196461874905	3.1866509898270845
15-161_R1_001_val_1	0.6338879720859423	5.1340482822305855
15-161_R2_001_val_2	0.397878098181614	3.1080018171605586
25-046_R1_001_val_1	0.6126711084301864	3.6861804253278105
25-046_R2_001_val_2	0.39933241324723373	2.7111376467954513
25-047_R1_001_val_1	0.5585131107086015	4.338855708576359
25-047_R2_001_val_2	1.5200985734246875	3.224667132491043
25-048_R1_001_val_1	0.4329676420105449	1.4843068796409276
25-048_R2_001_val_2	0.2727296765810273	0.8895103399441872
25-049_R1_001_val_1	0.8246266419910523	10.315254772322765
25-049_R2_001_val_2	0.458848583302242	5.476004990334136
25-050_R1_001_val_1	0.5261943296653706	3.1169775008071374
25-050_R2_001_val_2	0.3324795533226933	2.1442314296188925
25-051_R1_001_val_1	0.20090348425938873	0.45636862457673255
25-051_R2_001_val_2	0.2037398182447346	0.22075208446162717
25-052_R1_001_val_1	0.4399112186858459	3.4103041294608523
25-052_R2_001_val_2	0.2752434977474498	1.9843759444674671
25-053_R1_001_val_1	0.4895047738700816	3.411303211555716
25-053_R2_001_val_2	0.35348423706333654	2.1795892401512726
25-054_R1_001_val_1	0.3173114258528182	1.0020986169550283
25-054_R2_001_val_2	0.20760098092684554	0.6102793017167017
25-055_R1_001_val_1	0.455019267293721	2.2380800078429335
25-055_R2_001_val_2	0.2689179679055241	1.0471620331397016
25-056_R1_001_val_1	0.46354172881759936	6.099266769997427
25-056_R2_001_val_2	0.44033576751374615	2.870965750729496
25-058_R1_001_val_1	0.7505213978558893	7.795538852809088
25-058_R2_001_val_2	0.4848542314854285	5.470158623871734
25-059_R1_001_val_1	0.46740669094751974	2.3583807435092665
25-059_R2_001_val_2	0.3332949758904912	1.7286381456215305
25-060_R1_001_val_1	0.6257744724335566	3.1484412212728916
25-060_R2_001_val_2	0.3491579887950701	2.7776886579034383
25-109_R1_001_val_1	0.49975519121678347	3.2372470019448976
25-109_R2_001_val_2	0.3625168706259689	2.2429202229476166
25-110_R1_001_val_1	0.8991810050386548	7.492459442597806
25-110_R2_001_val_2	0.667252774836291	5.239232468972789
25-112_R1_001_val_1	0.5021577180007225	2.426246993909025
25-112_R2_001_val_2	0.3101246691767755	1.4740458287449543
25-113_R1_001_val_1	0.5259117361569502	3.939644712607932
25-113_R2_001_val_2	0.356395661110962	2.3283845229126756
25-114_R1_001_val_1	0.398543277233133	4.578288271230221
25-114_R2_001_val_2	0.3392538264253579	1.994363773795974
25-115_R1_001_val_1	0.44841362033763354	2.332320155850091
25-115_R2_001_val_2	0.3034524213253408	1.2744716252134758
25-116_R1_001_val_1	0.624333348447114	3.804271264208574
25-116_R2_001_val_2	0.3665259559965709	2.6610883852822633
25-117_R1_001_val_1	0.4835881488956635	1.5271681377633226
25-117_R2_001_val_2	0.2414991399658304	0.7701391834971159
25-119_R1_001_val_1	1.106545686941447	11.317219314447124
25-119_R2_001_val_2	0.7554754480429571	9.21071075506061
25-120_R1_001_val_1	0.5401873091284924	3.667054433137413
25-120_R2_001_val_2	0.22776862804518416	1.4861965049404842
25-167_R1_001_val_1	1.062287981328198	7.642079354345433
25-167_R2_001_val_2	0.43480010476196795	3.9905882238171975
25-168_R1_001_val_1	0.5521282879706572	3.2413729116905245
25-168_R2_001_val_2	0.3578973199525051	2.454835751140121
25-169_R1_001_val_1	0.4181827296586093	3.006637222472263
