Sample	Unique Reads	Duplicate Reads
15-033_R1_001_val_1	8733435.0	37641044.0
15-033_R2_001_val_2	8976319.0	37398160.0
15-091_R1_001_val_1	9211612.0	34816954.0
15-091_R2_001_val_2	9013585.0	35014981.0
15-092_R1_001_val_1	10336978.0	38731720.0
15-092_R2_001_val_2	10052751.0	39015947.0
15-152_R1_001_val_1	6996504.0	25398952.0
15-152_R2_001_val_2	7363317.0	25032139.0
15-154_R1_001_val_1	9916246.0	40212055.0
15-154_R2_001_val_2	9508664.0	40619637.0
15-161_R1_001_val_1	10956666.0	41351315.0
15-161_R2_001_val_2	10566443.0	41741538.0
25-046_R1_001_val_1	9024286.0	34841174.0
25-046_R2_001_val_2	8617251.0	35248209.0
25-047_R1_001_val_1	7181319.0	18861400.0
25-047_R2_001_val_2	6947204.0	19095515.0
25-048_R1_001_val_1	7162435.0	20180024.0
25-048_R2_001_val_2	7001193.0	20341266.0
25-049_R1_001_val_1	7254640.0	30829383.0
25-049_R2_001_val_2	7778977.0	30305046.0
25-050_R1_001_val_1	11012118.0	41550212.0
25-050_R2_001_val_2	10505642.0	42056688.0
25-051_R1_001_val_1	13766686.0	38519117.0
25-051_R2_001_val_2	13186479.0	39099324.0
25-052_R1_001_val_1	7065017.0	22994912.0
25-052_R2_001_val_2	7140926.0	22919003.0
25-053_R1_001_val_1	9916344.0	40687044.0
25-053_R2_001_val_2	9512047.0	41091341.0
25-054_R1_001_val_1	11149139.0	39011992.0
25-054_R2_001_val_2	10700782.0	39460349.0
25-055_R1_001_val_1	7625711.0	24443920.0
25-055_R2_001_val_2	7190474.0	24879157.0
25-056_R1_001_val_1	7547044.0	26392511.0
25-056_R2_001_val_2	7869777.0	26069778.0
25-058_R1_001_val_1	8118251.0	30713420.0
25-058_R2_001_val_2	7871792.0	30959879.0
25-059_R1_001_val_1	11028148.0	50932882.0
25-059_R2_001_val_2	10783130.0	51177900.0
25-060_R1_001_val_1	9605686.0	44005002.0
25-060_R2_001_val_2	9299417.0	44311271.0
25-109_R1_001_val_1	9588991.0	34839562.0
25-109_R2_001_val_2	9110788.0	35317765.0
25-110_R1_001_val_1	6433906.0	28688166.0
25-110_R2_001_val_2	6198110.0	28923962.0
25-112_R1_001_val_1	9389262.0	37194907.0
25-112_R2_001_val_2	9205864.0	37378305.0
25-113_R1_001_val_1	7308768.0	24470519.0
25-113_R2_001_val_2	7148679.0	24630608.0
25-114_R1_001_val_1	10997102.0	55653878.0
25-114_R2_001_val_2	11032913.0	55618067.0
25-115_R1_001_val_1	8850611.0	29685908.0
25-115_R2_001_val_2	8432582.0	30103937.0
25-116_R1_001_val_1	10045377.0	33667489.0
25-116_R2_001_val_2	9649651.0	34063215.0
25-117_R1_001_val_1	9709415.0	28604179.0
25-117_R2_001_val_2	9713511.0	28600083.0
25-119_R1_001_val_1	7531624.0	42969951.0
25-119_R2_001_val_2	7504360.0	42997215.0
25-120_R1_001_val_1	11804942.0	43375177.0
25-120_R2_001_val_2	11861214.0	43318905.0
25-167_R1_001_val_1	7583104.0	29319601.0
25-167_R2_001_val_2	8044332.0	28858373.0
25-168_R1_001_val_1	8587281.0	34665348.0
25-168_R2_001_val_2	8547933.0	34704696.0
25-169_R1_001_val_1	11222060.0	42895909.0
25-169_R2_001_val_2	10704942.0	43413027.0
25-170_R1_001_val_1	10646628.0	38441297.0
25-170_R2_001_val_2	10305574.0	38782351.0
25-171_R1_001_val_1	8259920.0	38788563.0
25-171_R2_001_val_2	8202408.0	38846075.0
25-172_R1_001_val_1	9136520.0	27515353.0
25-172_R2_001_val_2	8838581.0	27813292.0
25-174_R1_001_val_1	7932245.0	27545177.0
25-174_R2_001_val_2	7616192.0	27861230.0
25-175_R1_001_val_1	7918615.0	29266448.0
25-175_R2_001_val_2	7820945.0	29364118.0
25-177_R1_001_val_1	8382103.0	34864624.0
25-177_R2_001_val_2	8382088.0	34864639.0
25-179_R1_001_val_1	9365052.0	30993061.0
25-179_R2_001_val_2	8876028.0	31482085.0
25-180_R1_001_val_1	10238346.0	38904553.0
25-180_R2_001_val_2	9835111.0	39307788.0
25-185_R1_001_val_1	7075953.0	19439412.0
25-185_R2_001_val_2	6871523.0	19643842.0
25-186_R1_001_val_1	6821349.0	18562194.0
25-186_R2_001_val_2	6644909.0	18738634.0
25-193_R1_001_val_1	4114963.0	22589926.0
25-193_R2_001_val_2	4205977.0	22498912.0
25-194_R1_001_val_1	6115552.0	24245804.0
25-194_R2_001_val_2	6509493.0	23851863.0
25-195_R1_001_val_1	8130495.0	25075137.0
25-195_R2_001_val_2	7522967.0	25682665.0
25-202_R1_001_val_1	8542394.0	39888482.0
25-202_R2_001_val_2	8251597.0	40179279.0
25-203_R1_001_val_1	7544350.0	27827527.0
25-203_R2_001_val_2	7998935.0	27372942.0
5-002_R1_001_val_1	9538898.0	33261195.0
5-002_R2_001_val_2	9130061.0	33670032.0
5-003_R1_001_val_1	8263761.0	37908996.0
5-003_R2_001_val_2	8047349.0	38125408.0
5-004_R1_001_val_1	9978579.0	41221352.0
5-004_R2_001_val_2	9504922.0	41695009.0
5-005_R1_001_val_1	6763340.0	37119185.0
5-005_R2_001_val_2	6682058.0	37200467.0
5-006_R1_001_val_1	7249395.0	25753180.0
5-006_R2_001_val_2	7275770.0	25726805.0
5-007_R1_001_val_1	6039239.0	23719308.0
5-007_R2_001_val_2	5850779.0	23907768.0
5-008_R1_001_val_1	9393590.0	40648698.0
5-008_R2_001_val_2	9246680.0	40795608.0
5-009_R1_001_val_1	6704685.0	25735847.0
5-009_R2_001_val_2	6655390.0	25785142.0
5-010_R1_001_val_1	10249588.0	23423514.0
5-010_R2_001_val_2	9533959.0	24139143.0
5-012_R1_001_val_1	7562553.0	35066091.0
5-012_R2_001_val_2	7572124.0	35056520.0
5-014_R1_001_val_1	9692774.0	38531938.0
5-014_R2_001_val_2	9335271.0	38889441.0
5-015_R1_001_val_1	6835757.0	26646361.0
5-015_R2_001_val_2	6460164.0	27021954.0
5-061_R1_001_val_1	5465961.0	30949047.0
5-061_R2_001_val_2	5449800.0	30965208.0
5-063_R1_001_val_1	8053701.0	34152763.0
5-063_R2_001_val_2	7871220.0	34335244.0
5-066_R1_001_val_1	5665179.0	13240180.0
5-066_R2_001_val_2	5560754.0	13344605.0
5-067_R1_001_val_1	8791373.0	35537051.0
5-067_R2_001_val_2	8650713.0	35677711.0
5-069_R1_001_val_1	6292274.0	30529491.0
5-069_R2_001_val_2	6364902.0	30456863.0
5-071_R1_001_val_1	7283054.0	34897933.0
5-071_R2_001_val_2	7175831.0	35005156.0
5-073_R1_001_val_1	6228372.0	25028518.0
5-073_R2_001_val_2	6087406.0	25169484.0
5-074_R1_001_val_1	7133111.0	28709944.0
5-074_R2_001_val_2	6865228.0	28977827.0
5-075_R1_001_val_1	5736624.0	21546716.0
5-075_R2_001_val_2	5352744.0	21930596.0
5-121_R1_001_val_1	8045978.0	31164309.0
5-121_R2_001_val_2	7789631.0	31420656.0
5-122_R1_001_val_1	4443307.0	18801929.0
5-122_R2_001_val_2	4475808.0	18769428.0
5-123_R1_001_val_1	8588972.0	35640985.0
5-123_R2_001_val_2	8315465.0	35914492.0
5-124_R1_001_val_1	8907329.0	43132273.0
5-124_R2_001_val_2	8958032.0	43081570.0
5-125_R1_001_val_1	5926662.0	31691761.0
5-125_R2_001_val_2	5718757.0	31899666.0
5-126_R1_001_val_1	8118901.0	33694020.0
5-126_R2_001_val_2	7769707.0	34043214.0
5-127_R1_001_val_1	6599055.0	19193178.0
5-127_R2_001_val_2	6319549.0	19472684.0
5-128_R1_001_val_1	8689156.0	31616623.0
5-128_R2_001_val_2	8695967.0	31609812.0
5-130_R1_001_val_1	7982564.0	38562314.0
5-130_R2_001_val_2	7708794.0	38836084.0
5-131_R1_001_val_1	7808623.0	43323438.0
5-131_R2_001_val_2	8183425.0	42948636.0
5-133_R1_001_val_1	6746254.0	23753515.0
5-133_R2_001_val_2	6418352.0	24081417.0
5-135_R1_001_val_1	4147980.0	13570320.0
5-135_R2_001_val_2	4107751.0	13610549.0
5-181_R1_001_val_1	8534682.0	50761598.0
5-181_R2_001_val_2	8506574.0	50789706.0
5-182_R1_001_val_1	7737500.0	27019846.0
5-182_R2_001_val_2	7400386.0	27356960.0
5-187_R1_001_val_1	13237541.0	58005176.0
5-187_R2_001_val_2	13033100.0	58209617.0
5-188_R1_001_val_1	8062081.0	28677626.0
5-188_R2_001_val_2	8070855.0	28668852.0
5-189_R1_001_val_1	6651349.0	24691384.0
5-189_R2_001_val_2	6502144.0	24840589.0
5-197_R1_001_val_1	11283040.0	42458642.0
5-197_R2_001_val_2	10874427.0	42867255.0
