Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
15-033_R1_001	3.5	46978803	22089071	46978803	7046820450	10653478	6724435073	4.574905509335065
15-033_R2_001	3.5	46978803	22256019	46978803	7046820450	18022002	6790131033	3.642627463283813
15-091_R1_001	3.5	44844801	25307832	44844801	6726720150	15125277	6146281687	8.628848087280694
15-091_R2_001	3.5	44844801	25058235	44844801	6726720150	20983496	6252590956	7.048445355646317
15-092_R1_001	3.5	49473567	31242787	49473567	7421035050	32775699	6617489841	10.827939816831886
15-092_R2_001	3.5	49473567	31295049	49473567	7421035050	25583610	6662355333	10.223367924936563
15-152_R1_001	3.5	32902125	17479079	32902125	4935318750	6699002	4613503350	6.520660899561959
15-152_R2_001	3.5	32902125	17373748	32902125	4935318750	28620756	4660752727	5.563288551524661
15-154_R1_001	3.5	50881500	26978319	50881500	7632225000	17630753	7136475441	6.495478828257814
15-154_R2_001	3.5	50881500	26849630	50881500	7632225000	24094390	7231768469	5.2469172620041995
15-161_R1_001	3.5	53205605	30640356	53205605	7980840750	24688868	7273333259	8.865074660210455
15-161_R2_001	3.5	53205605	30320349	53205605	7980840750	26073037	7384085082	7.477353410416064
25-046_R1_001	3.5	44456348	21497308	44456348	6668452200	11049392	6332627729	5.03601826822722
25-046_R2_001	3.5	44456348	21769088	44456348	6668452200	19021727	6390217782	4.172398776435707
25-047_R1_001	3.5	38555317	29606243	38555317	5783297550	34694878	3274373322	43.38224354373743
25-047_R2_001	3.5	38555317	17871666	38555317	5783297550	26735927	5072492994	12.290644737793235
25-048_R1_001	3.5	28073566	13128595	28073566	4211034900	8128720	3981271256	5.456227494101272
25-048_R2_001	3.5	28073566	12897237	28073566	4211034900	15058741	4042357307	4.005609001245751
25-049_R1_001	3.5	38621453	19139616	38621453	5793217950	7488713	5494685922	5.153129583187872
25-049_R2_001	3.5	38621453	19013323	38621453	5793217950	32051649	5543552880	4.3096094805133305
25-050_R1_001	3.5	53096503	25745215	53096503	7964475450	13163905	7575808692	4.8800044703509
25-050_R2_001	3.5	53096503	25875420	53096503	7964475450	21683613	7635235659	4.133854050614218
25-051_R1_001	3.5	54025751	31100436	54025751	8103862650	37405648	7193409637	11.234803109601074
25-051_R2_001	3.5	54025751	30276172	54025751	8103862650	28394534	7397969294	8.710578973102413
25-052_R1_001	3.5	30427334	14325318	30427334	4564100100	9074357	4352176793	4.643265974819439
25-052_R2_001	3.5	30427334	14301457	30427334	4564100100	14176060	4396639219	3.6690886994349663
25-053_R1_001	3.5	51745762	27295297	51745762	7761864300	23509034	7162689186	7.7194742247683985
25-053_R2_001	3.5	51745762	26782553	51745762	7761864300	22501634	7273762070	6.288466419079242
25-054_R1_001	3.5	50701073	25220313	50701073	7605160950	14581955	7182814512	5.553418800426571
25-054_R2_001	3.5	50701073	25515298	50701073	7605160950	22541854	7244759411	4.738907452050702
25-055_R1_001	3.5	32933107	14364123	32933107	4939966050	8607849	4697079472	4.91676613850413
25-055_R2_001	3.5	32933107	14040407	32933107	4939966050	14214372	4813833665	2.553304693257963
25-056_R1_001	3.5	34438544	17439278	34438544	5165781600	6571746	4869374541	5.737893739061675
25-056_R2_001	3.5	34438544	17330475	34438544	5165781600	29483190	4908580398	4.978940689246328
25-058_R1_001	3.5	40283042	23412474	40283042	6042456300	14802844	5420714391	10.289555739112256
25-058_R2_001	3.5	40283042	22618993	40283042	6042456300	23473067	5607381742	7.200293000050327
25-059_R1_001	3.5	65914867	38029697	65914867	9887230050	37735067	8623347579	12.78297829228723
25-059_R2_001	3.5	65914867	35771444	65914867	9887230050	34484675	9029760425	8.672495943391143
25-060_R1_001	3.5	56349866	31482886	56349866	8452479900	33498914	7511247108	11.135581546901992
25-060_R2_001	3.5	56349866	28927133	56349866	8452479900	33965192	7886171726	6.699905598119198
25-109_R1_001	3.5	45138283	25128512	45138283	6770742450	19431326	6240492794	7.831484654980489
25-109_R2_001	3.5	45138283	25032076	45138283	6770742450	21445239	6330181248	6.506837400084536
25-110_R1_001	3.5	35508585	16219345	35508585	5326287750	6581399	5121993235	3.835589149309479
25-110_R2_001	3.5	35508585	16300232	35508585	5326287750	15730756	5166046709	3.00849388018888
25-112_R1_001	3.5	46964893	19388508	46964893	7044733950	9612857	6856631188	2.670118748771201
25-112_R2_001	3.5	46964893	19755005	46964893	7044733950	20612217	6897873622	2.08468238889277
25-113_R1_001	3.5	32410729	15164053	32410729	4861609350	7710752	4621594542	4.936941467746683
25-113_R2_001	3.5	32410729	15248231	32410729	4861609350	15199532	4690738771	3.514691673036214
25-114_R1_001	3.5	67866400	30878936	67866400	10179960000	14468000	9736008957	4.36102934589134
25-114_R2_001	3.5	67866400	30344915	67866400	10179960000	28084934	9877141219	2.9746559023807557
25-115_R1_001	3.5	39222905	19733416	39222905	5883435750	10315008	5527967188	6.041853384733572
25-115_R2_001	3.5	39222905	19990826	39222905	5883435750	15934117	5572522848	5.2845465678791514
25-116_R1_001	3.5	44276886	20389860	44276886	6641532900	9682868	6353522467	4.336505402239293
25-116_R2_001	3.5	44276886	20660289	44276886	6641532900	18696958	6422624283	3.296055598851283
25-117_R1_001	3.5	38909636	20357975	38909636	5836445400	15193288	5343657774	8.4432834067119
25-117_R2_001	3.5	38909636	20079707	38909636	5836445400	18886941	5418691605	7.157675029393746
25-119_R1_001	3.5	50999426	21240560	50999426	7649913900	8888931	7450686694	2.604306513828868
25-119_R2_001	3.5	50999426	21428609	50999426	7649913900	21722835	7504533480	1.9004190360887592
25-120_R1_001	3.5	56223361	31099354	56223361	8433504150	18070085	7755906653	8.034590188705842
25-120_R2_001	3.5	56223361	30661430	56223361	8433504150	25359276	7891762475	6.423684216720282
25-167_R1_001	3.5	37431573	19892591	37431573	5614735950	7267058	5249991298	6.496203120647197
25-167_R2_001	3.5	37431573	19710795	37431573	5614735950	31967317	5299114488	5.621305521945338
25-168_R1_001	3.5	44104075	19674713	44104075	6615611250	9973519	6305420257	4.688772983751123
25-168_R2_001	3.5	44104075	19300567	44104075	6615611250	19013162	6414220656	3.0441721314867163
25-169_R1_001	3.5	57727336	38248968	57727336	8659100400	49631399	7146260426	17.47109866054908
25-169_R2_001	3.5	57727336	35520256	57727336	8659100400	29532483	7651623069	11.634896056869835
25-170_R1_001	3.5	49733846	22322591	49733846	7460076900	11915528	7153313699	4.112064863567292
25-170_R2_001	3.5	49733846	22639792	49733846	7460076900	23009347	7231043958	3.0701150279027285
25-171_R1_001	3.5	47552922	19565489	47552922	7132938300	9494020	6940860418	2.6928297136679284
25-171_R2_001	3.5	47552922	20223316	47552922	7132938300	20336254	6996557988	1.9119794152712632
25-172_R1_001	3.5	37267613	19455813	37267613	5590141950	12394507	5232967174	6.389368627750142
25-172_R2_001	3.5	37267613	19283135	37267613	5590141950	18652722	5299966001	5.19085117328729
25-174_R1_001	3.5	36240014	18475084	36240014	5436002100	8284848	5095820828	6.257931210144307
25-174_R2_001	3.5	36240014	18320958	36240014	5436002100	17280775	5161544054	5.048895142994886
25-175_R1_001	3.5	37714009	16454631	37714009	5657101350	10205951	5439874911	3.839889469189022
25-175_R2_001	3.5	37714009	16495069	37714009	5657101350	18355624	5504681932	2.6943024098375044
25-177_R1_001	3.5	43793074	19146218	43793074	6568961100	9343032	6340487412	3.4780794789605314
25-177_R2_001	3.5	43793074	19325181	43793074	6568961100	18204231	6404117246	2.509435685347566
25-179_R1_001	3.5	42313327	24049916	42313327	6346999050	26321774	5610594476	11.60240561246027
25-179_R2_001	3.5	42313327	22788407	42313327	6346999050	21950259	5853591398	7.773873103069079
25-180_R1_001	3.5	54512346	33203443	54512346	8176851900	37669773	6674835403	18.36912928556282
25-180_R2_001	3.5	54512346	28956254	54512346	8176851900	31688606	7422427792	9.226339393526255
25-185_R1_001	3.5	27001371	12595701	27001371	4050205650	7092982	3854111565	4.84158341441255
25-185_R2_001	3.5	27001371	12467445	27001371	4050205650	13027847	3910629112	3.446159283294664
25-186_R1_001	3.5	25992262	12244525	25992262	3898839300	7701575	3686055253	5.457625478434056
25-186_R2_001	3.5	25992262	12172931	25992262	3898839300	13591347	3728782150	4.361737863881694
25-193_R1_001	3.5	27463768	14666317	27463768	4119565200	9113188	3770370650	8.47649043156302
25-193_R2_001	3.5	27463768	13990296	27463768	4119565200	11656778	3873241301	5.979366438963025
25-194_R1_001	3.5	30767787	15307572	30767787	4615168050	5691419	4365708152	5.405218083012167
25-194_R2_001	3.5	30767787	15265345	30767787	4615168050	25484099	4402420081	4.609755629591863
25-195_R1_001	3.5	34083306	18007794	34083306	5112495900	12379031	4720868561	7.660198593019898
25-195_R2_001	3.5	34083306	17511347	34083306	5112495900	15137181	4840553359	5.319173771855739
25-202_R1_001	3.5	49247884	28915328	49247884	7387182600	21624029	6735358487	8.823717353352007
25-202_R2_001	3.5	49247884	28815541	49247884	7387182600	20265025	6841449010	7.387574120612641
25-203_R1_001	3.5	35893775	17645320	35893775	5384066250	7266385	5105598033	5.172080061236245
25-203_R2_001	3.5	35893775	17633589	35893775	5384066250	30365927	5146281546	4.416452044957656
5-002_R1_001	3.5	43638842	20282363	43638842	6545826300	9315703	6236014872	4.732961337516701
5-002_R2_001	3.5	43638842	19904125	43638842	6545826300	17519806	6347988751	3.0223464530368
5-003_R1_001	3.5	46712444	24180758	46712444	7006866600	12026985	6602856896	5.765911170622258
5-003_R2_001	3.5	46712444	24120619	46712444	7006866600	17120444	6667577054	4.842243550062735
5-004_R1_001	3.5	52045755	29587980	52045755	7806863250	20236403	7174427317	8.101024864243652
5-004_R2_001	3.5	52045755	29286016	52045755	7806863250	22260427	7282093055	6.721908379783647
5-005_R1_001	3.5	44362652	19305215	44362652	6654397800	7937402	6449396431	3.080690021266838
5-005_R2_001	3.5	44362652	19377564	44362652	6654397800	15241655	6507983850	2.2002584516362997
5-006_R1_001	3.5	33639491	18765281	33639491	5045923650	10539034	4679010217	7.271482060573787
5-006_R2_001	3.5	33639491	18483288	33639491	5045923650	14870377	4748557529	5.893195014950335
5-007_R1_001	3.5	30362109	14365645	30362109	4554316350	5695998	4332469678	4.871130043480621
5-007_R2_001	3.5	30362109	14421924	30362109	4554316350	12507587	4373657008	3.9667719173702105
5-008_R1_001	3.5	50630229	22356343	50630229	7594534350	10617772	7330574998	3.4756489316556975
5-008_R2_001	3.5	50630229	22074696	50630229	7594534350	20241946	7402357975	2.530456327450807
5-009_R1_001	3.5	32811107	16217756	32811107	4921666050	10644087	4661012430	5.296044415691308
5-009_R2_001	3.5	32811107	16276437	32811107	4921666050	13793163	4703032681	4.442263387618508
5-010_R1_001	3.5	34495215	16749440	34495215	5174282250	9402651	4863905963	5.998441368365632
5-010_R2_001	3.5	34495215	16488930	34495215	5174282250	13660183	4975315192	3.8453073950498156
5-012_R1_001	3.5	43132548	18074163	43132548	6469882200	8201792	6282851430	2.890790963705645
5-012_R2_001	3.5	43132548	18169907	43132548	6469882200	17301725	6343676822	1.9506595962442717
5-014_R1_001	3.5	49165263	28473331	49165263	7374789450	15779515	6725507482	8.804074643785253
5-014_R2_001	3.5	49165263	27805257	49165263	7374789450	22125744	6849945385	7.116732871607609
5-015_R1_001	3.5	34105726	15883381	34105726	5115858900	7578196	4875331824	4.701597145300469
5-015_R2_001	3.5	34105726	15489049	34105726	5115858900	11168389	4956989043	3.105438599958259
5-061_R1_001	3.5	36937307	16442886	36937307	5540596050	6759771	5331972267	3.7653671395156123
