Sample	Unique Reads	Duplicate Reads
15-033_R1_001	8669385.0	38309374.0
15-033_R2_001	9042753.0	37833145.0
15-091_R1_001	9005597.0	35839168.0
15-091_R2_001	9079229.0	35721912.0
15-092_R1_001	9970217.0	39503327.0
15-092_R2_001	10086683.0	39344319.0
15-152_R1_001	6934732.0	25967362.0
15-152_R2_001	7403293.0	25433055.0
15-154_R1_001	9790696.0	41090765.0
15-154_R2_001	9557367.0	41280332.0
15-161_R1_001	10733507.0	42472073.0
15-161_R2_001	10608818.0	42510979.0
25-046_R1_001	8948086.0	35508219.0
25-046_R2_001	8655918.0	35664213.0
25-047_R1_001	5909582.0	32645708.0
25-047_R2_001	7873542.0	30264972.0
25-048_R1_001	7111056.0	20962451.0
25-048_R2_001	7060299.0	20752861.0
25-049_R1_001	7199219.0	31422202.0
25-049_R2_001	7847889.0	30707619.0
25-050_R1_001	10916786.0	42179681.0
25-050_R2_001	10553081.0	42482303.0
25-051_R1_001	13039454.0	40986203.0
25-051_R2_001	13379601.0	40370939.0
25-052_R1_001	7009072.0	23418241.0
25-052_R2_001	7180257.0	23225121.0
25-053_R1_001	9574016.0	42171670.0
25-053_R2_001	9582449.0	41845531.0
25-054_R1_001	11023629.0	39677400.0
25-054_R2_001	10774399.0	39879043.0
25-055_R1_001	7581133.0	25351963.0
25-055_R2_001	7289508.0	25607224.0
25-056_R1_001	7483797.0	26954709.0
25-056_R2_001	7894744.0	26439005.0
25-058_R1_001	7953255.0	32329758.0
25-058_R2_001	7979715.0	32174138.0
25-059_R1_001	10398018.0	55516652.0
25-059_R2_001	11066816.0	53767286.0
25-060_R1_001	9115561.0	47234240.0
25-060_R2_001	9471340.0	46737574.0
25-109_R1_001	9440613.0	35697642.0
25-109_R2_001	9187696.0	35906464.0
25-110_R1_001	6404253.0	29104300.0
25-110_R2_001	6226222.0	29248229.0
25-112_R1_001	9353391.0	37611473.0
25-112_R2_001	9227684.0	37710114.0
25-113_R1_001	7268085.0	25142608.0
25-113_R2_001	7181792.0	25118646.0
25-114_R1_001	10903020.0	56963312.0
25-114_R2_001	11118745.0	56571820.0
25-115_R1_001	8748760.0	30474072.0
25-115_R2_001	8484895.0	30417635.0
25-116_R1_001	9975915.0	34300941.0
25-116_R2_001	9709447.0	34535531.0
25-117_R1_001	9151244.0	29758363.0
25-117_R2_001	9811621.0	29063476.0
25-119_R1_001	7498229.0	43501168.0
25-119_R2_001	7560732.0	43388534.0
25-120_R1_001	11577979.0	44645355.0
25-120_R2_001	11921835.0	44234049.0
25-167_R1_001	7501163.0	29930384.0
25-167_R2_001	8076611.0	29291536.0
25-168_R1_001	8485739.0	35618306.0
25-168_R2_001	8660971.0	35387368.0
25-169_R1_001	10351180.0	47376122.0
25-169_R2_001	11176230.0	46396313.0
25-170_R1_001	10581293.0	39152523.0
25-170_R2_001	10345417.0	39346199.0
25-171_R1_001	8220631.0	39332257.0
25-171_R2_001	8257701.0	39246815.0
25-172_R1_001	9060088.0	28207478.0
25-172_R2_001	8912706.0	28250054.0
25-174_R1_001	7853408.0	28386538.0
25-174_R2_001	7701833.0	28285518.0
25-175_R1_001	7865916.0	29848061.0
25-175_R2_001	7844180.0	29838000.0
25-177_R1_001	8335437.0	35457615.0
25-177_R2_001	8472498.0	35264325.0
25-179_R1_001	8871228.0	33442033.0
25-179_R2_001	9082781.0	32975452.0
25-180_R1_001	9255086.0	45257237.0
25-180_R2_001	10031041.0	44204608.0
25-185_R1_001	7026773.0	19974571.0
25-185_R2_001	6900680.0	20041615.0
25-186_R1_001	6762590.0	19229618.0
25-186_R2_001	6677994.0	19049809.0
25-193_R1_001	3983049.0	23480699.0
25-193_R2_001	4297897.0	23126173.0
25-194_R1_001	6056914.0	24710855.0
25-194_R2_001	6537042.0	24184379.0
25-195_R1_001	8030474.0	26052817.0
25-195_R2_001	7585129.0	26460108.0
25-202_R1_001	8373457.0	40874377.0
25-202_R2_001	8319216.0	40881831.0
25-203_R1_001	7488646.0	28405097.0
25-203_R2_001	8040439.0	27742317.0
5-002_R1_001	9459744.0	34179066.0
5-002_R2_001	9222444.0	34387942.0
5-003_R1_001	8170603.0	38541807.0
5-003_R2_001	8090966.0	38568700.0
5-004_R1_001	9798771.0	42246948.0
5-004_R2_001	9559848.0	42425033.0
5-005_R1_001	6723170.0	37639453.0
5-005_R2_001	6739961.0	37587879.0
5-006_R1_001	7182507.0	26456944.0
5-006_R2_001	7319102.0	26198113.0
5-007_R1_001	5997124.0	24364927.0
5-007_R2_001	5901845.0	24189348.0
5-008_R1_001	9333469.0	41296731.0
5-008_R2_001	9342069.0	41249820.0
5-009_R1_001	6639084.0	26171987.0
5-009_R2_001	6708454.0	26056627.0
5-010_R1_001	10180915.0	24314282.0
5-010_R2_001	9604976.0	24858830.0
5-012_R1_001	7513361.0	35619163.0
5-012_R2_001	7618236.0	35481796.0
5-014_R1_001	9485158.0	39680086.0
5-014_R2_001	9401660.0	39716702.0
5-015_R1_001	6794348.0	27311353.0
5-015_R2_001	6512254.0	27548736.0
5-061_R1_001	5423080.0	31514205.0
5-061_R2_001	5500982.0	31407209.0
5-063_R1_001	8002633.0	34674857.0
5-063_R2_001	7936291.0	34662567.0
5-066_R1_001	4657875.0	27470763.0
5-066_R2_001	6508666.0	25186446.0
5-067_R1_001	8710926.0	36348634.0
5-067_R2_001	8694861.0	36150222.0
5-069_R1_001	6244532.0	31409906.0
5-069_R2_001	6466274.0	31163621.0
5-071_R1_001	7241915.0	35447163.0
5-071_R2_001	7230743.0	35389673.0
5-073_R1_001	5867838.0	29161471.0
5-073_R2_001	6336729.0	26064994.0
5-074_R1_001	7090421.0	29673595.0
5-074_R2_001	6930148.0	29782281.0
5-075_R1_001	5698613.0	22208313.0
5-075_R2_001	5461802.0	22414975.0
5-121_R1_001	8007662.0	31632777.0
5-121_R2_001	7821632.0	31797609.0
5-122_R1_001	4416513.0	19072074.0
5-122_R2_001	4492020.0	18979222.0
5-123_R1_001	8538626.0	36303600.0
5-123_R2_001	8355429.0	36454589.0
5-124_R1_001	8570624.0	44155721.0
5-124_R2_001	8986478.0	43698126.0
5-125_R1_001	5848248.0	32767954.0
5-125_R2_001	5809579.0	32757900.0
5-126_R1_001	7713102.0	36006319.0
5-126_R2_001	7925977.0	35483771.0
5-127_R1_001	5935649.0	27713110.0
5-127_R2_001	6734514.0	26548879.0
5-128_R1_001	8607681.0	32241928.0
5-128_R2_001	8741716.0	32012506.0
5-130_R1_001	7927874.0	39312153.0
5-130_R2_001	7765797.0	39351874.0
5-131_R1_001	7669062.0	44136587.0
5-131_R2_001	8232293.0	43508358.0
5-133_R1_001	6704301.0	24354109.0
5-133_R2_001	6445544.0	24581942.0
5-135_R1_001	4102783.0	13978050.0
5-135_R2_001	4131701.0	13859744.0
5-181_R1_001	8466756.0	51499991.0
5-181_R2_001	8552488.0	51326713.0
5-182_R1_001	7693338.0	27591265.0
5-182_R2_001	7457941.0	27695538.0
5-187_R1_001	12803025.0	59220915.0
5-187_R2_001	13096956.0	58877753.0
5-188_R1_001	8000747.0	29261991.0
5-188_R2_001	8100383.0	29091007.0
5-189_R1_001	6608615.0	25374269.0
5-189_R2_001	6576960.0	25169864.0
5-197_R1_001	10965311.0	44179477.0
5-197_R2_001	10996569.0	43714968.0
