Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
15-033_R1_001	15-033_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46978759.0	0.0	20-150	44.0	18.453839662590433	148.36560329318192	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
15-033_R2_001	15-033_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46875898.0	0.0	20-150	43.0	19.290836470305127	144.34813208271765	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
15-091_R1_001	15-091_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44844765.0	0.0	20-150	42.0	20.081712649461267	148.12189717127518	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
15-091_R2_001	15-091_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44801141.0	0.0	20-150	42.0	20.26561810965592	139.16663046595176	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
15-092_R1_001	15-092_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49473544.0	0.0	20-150	43.0	20.152622499298573	147.76158113920442	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
15-092_R2_001	15-092_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49431002.0	0.0	20-150	43.0	20.40558055602652	134.4577694176622	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
15-152_R1_001	15-152_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32902094.0	0.0	20-150	44.0	21.07687031281942	148.27598450116884	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
15-152_R2_001	15-152_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32836348.0	0.0	20-150	44.0	22.546029865332226	141.49867750213878	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
15-154_R1_001	15-154_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50881461.0	0.0	20-150	43.0	19.242165653063818	148.1288381636683	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
15-154_R2_001	15-154_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50837699.0	0.0	20-150	42.0	18.799761842150364	141.81602294785213	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
15-161_R1_001	15-161_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53205580.0	0.0	20-150	43.0	20.17364828568533	148.0057741875946	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
15-161_R2_001	15-161_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53119797.0	0.0	20-150	43.0	19.97149496989626	138.619797568127	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-046_R1_001	25-046_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44456305.0	0.0	20-150	43.0	20.127821796729588	148.3239263137141	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
