Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
15-033_R1_001	0.7471167085007822	81.54616033740956	44.0	148.36560329318192	36.36363636363637	46978759.0
15-033_R2_001	3.62862458060784	80.70916352969488	43.0	144.34813208271765	36.36363636363637	46875898.0
15-091_R1_001	0.9094792058504173	79.91828735053873	42.0	148.12189717127518	36.36363636363637	44844765.0
15-091_R2_001	7.027168270111549	79.73438189034408	42.0	139.16663046595176	45.45454545454545	44801141.0
15-092_R1_001	1.1482452841938808	79.84737750070143	43.0	147.76158113920442	36.36363636363637	49473544.0
15-092_R2_001	10.199940532554148	79.59441944397348	43.0	134.4577694176622	36.36363636363637	49431002.0
15-152_R1_001	0.8208049986639667	78.92312968718058	44.0	148.27598450116884	36.36363636363637	32902094.0
15-152_R2_001	5.547418330376331	77.45397013466777	44.0	141.49867750213878	45.45454545454545	32836348.0
15-154_R1_001	0.8992580145370452	80.75783434693618	43.0	148.1288381636683	36.36363636363637	50881461.0
15-154_R2_001	5.229637242088644	81.20023815784964	42.0	141.81602294785213	45.45454545454545	50837699.0
15-161_R1_001	0.9801665695434407	79.82635171431467	43.0	148.0057741875946	36.36363636363637	53205580.0
15-161_R2_001	7.451300679066927	80.02850503010374	43.0	138.619797568127	45.45454545454545	53119797.0
25-046_R1_001	0.7710768024999864	79.87217820327041	43.0	148.3239263137141	36.36363636363637	44456305.0
25-046_R2_001	4.143717113245559	80.46955847215864	43.0	143.6929185971946	36.36363636363637	44320131.0
25-047_R1_001	0.9927241250106524	84.67244956137415	55.0	148.21015253678547	45.45454545454545	38555290.0
25-047_R2_001	12.200702676970165	79.35540640851825	62.0	132.88262809610254	45.45454545454545	38138514.0
25-048_R1_001	0.7653614554464985	74.66987009396892	45.0	148.33391781083853	36.36363636363637	28073507.0
25-048_R2_001	3.967499936891998	74.61525772903508	45.0	144.74156931466973	45.45454545454545	27813160.0
25-049_R1_001	0.7544547844950319	81.3595193247971	41.0	148.35178104917475	36.36363636363637	38621421.0
25-049_R2_001	4.300682334936147	79.64522006263266	41.0	143.2858136118969	45.45454545454545	38555508.0
25-050_R1_001	0.7625619462484501	79.43971424406666	43.0	148.3290824227533	36.36363636363637	53096467.0
25-050_R2_001	4.120838792967841	80.10181141862586	43.0	143.48857838004906	36.36363636363637	53035384.0
