Ex	ExN50	num_transcripts
4	5550	1
7	5550	2
9	5550	3
11	5550	4
12	5550	5
14	5550	6
15	2004	7
16	2004	8
17	2004	9
18	2004	11
19	2004	13
20	1864	14
21	1864	16
22	1864	19
23	2004	21
24	2061	24
25	2004	28
26	2061	31
27	2004	36
28	2004	41
29	2061	46
30	2004	52
31	2004	59
32	1864	67
33	1862	75
34	1850	84
35	1759	93
36	1677	103
37	1677	114
38	1519	127
39	1482	141
40	1415	157
41	1395	173
42	1236	191
43	1395	211
44	1264	232
45	1322	255
46	1395	280
47	1415	308
48	1429	337
49	1418	369
50	1482	404
51	1443	443
52	1427	486
53	1429	534
54	1462	587
55	1443	646
56	1482	713
57	1490	786
58	1502	868
59	1497	959
60	1509	1060
61	1506	1172
62	1500	1296
63	1506	1434
64	1527	1587
65	1570	1754
66	1590	1940
67	1619	2150
68	1673	2385
69	1632	2649
70	1616	2943
71	1631	3274
72	1632	3644
73	1697	4062
74	1703	4530
75	1703	5053
76	1713	5636
77	1683	6291
78	1689	7036
79	1697	7875
80	1707	8818
81	1725	9879
82	1750	11085
83	1782	12454
84	1792	14024
85	1799	15836
86	1813	17934
87	1831	20375
88	1849	23243
89	1865	26645
90	1880	30741
91	1900	35789
92	1919	42208
93	1925	50667
94	1923	62424
95	1902	80092
96	1836	110077
97	1642	169724
98	1246	314802
99	689	899677
100	699	913680
