group	lib.size	norm.factors	eff.lib.size
15-033	982129	0.948405961502975	931456.998564956
15-091	981122	1.0069598256477	987950.438059123
15-092	983174	0.941926374683473	926077.521503048
15-152	986055	0.996722343439687	982823.050360421
15-154	982234	0.999516331312029	981758.924169939
15-161	980438	1.00633927673949	986653.267807913
25-046	983281	1.02344497436402	1006333.99783763
25-047	985543	0.927708733065088	914296.847911166
25-048	988973	1.04728606387274	1035737.64044642
25-049	984509	0.99462427041976	979216.545846687
25-050	980484	1.11190254028627	1090202.65031004
25-051	979671	1.19975066402019	1175360.93277133
25-052	989376	1.21150182890381	1198630.83347354
25-053	984254	0.926266009119168	911681.024539578
25-054	979389	1.02651921761271	1005361.6300185
25-055	990526	1.08001658948344	1069784.51231468
25-056	987789	1.07495290548322	1061826.65555437
25-058	982380	1.0070922212747	989347.256335845
25-059	983408	0.902106055098102	887138.311431915
25-060	984951	0.926316772235068	912376.631129702
25-109	982992	0.945136538833319	929061.656580842
25-110	988685	0.890517010891434	880440.810913197
25-112	984437	1.02304723291493	1007125.54882907
25-113	986864	1.00463508768207	991438.201170275
25-114	982984	1.00355950924774	986482.940638385
25-115	983977	1.04415021832383	1027419.79937563
25-116	980880	1.1575611405445	1135428.57153729
25-117	983808	1.08107951633812	1063574.67680957
25-119	987875	0.901288633623069	890360.508940389
25-120	980406	1.05955698144913	1038796.02195462
25-167	984686	1.004617514797	989232.802175402
25-168	985024	0.943353258896555	929225.60049132
25-169	982268	0.949916030060028	933072.119015003
25-170	982863	1.0614637199349	1043273.41616638
25-171	986148	1.0018689816446	987991.092510856
25-172	984962	1.08734211295132	1070990.66225676
25-174	985505	0.983168075405337	968917.054152336
25-175	988240	1.14784025243885	1134341.65107017
25-177	982761	1.00584650048449	988506.712662637
25-179	984625	1.00561132546906	990150.051339974
25-180	982456	1.00767178732693	989993.193490064
25-185	991219	1.15656642156432	1146410.61181657
25-186	992112	1.08256806640724	1074028.76949942
25-193	993271	0.844774605587057	839090.117266062
25-194	989315	0.949039635431195	938899.146926613
25-195	985781	1.02446686856818	1009899.97416401
25-202	983217	0.92531552472364	909785.954272203
25-203	983695	1.04528570224426	1028242.31886917
5-002	982537	1.17635064454217	1155808.03323654
5-003	981476	0.998061194711823	979573.109140981
5-004	979400	0.919664678048006	900719.585680217
5-005	986985	0.981112410576994	968343.232553335
5-006	985726	0.985440128324618	971373.955932913
5-007	990570	0.908673949911266	900105.154563603
5-008	980626	1.00519110157038	985716.529168554
5-009	986982	0.931702969232262	919574.059978796
5-010	987366	1.27474213443699	1258637.04231052
5-012	986169	1.0323831307501	1018104.2396687
5-014	982035	1.00119148810809	983205.083024232
5-015	989187	0.986595509249936	975927.452008417
5-061	990777	0.910657587509326	902258.592579727
5-063	978096	0.93892122156639	918355.0911292
5-066	991028	0.988225888738694	979359.526064931
5-067	982094	0.922990645482595	906463.574984583
5-069	992382	1.00901238085574	1001325.72453839
5-071	987428	0.92492572688763	913297.560649199
5-073	987958	0.926495748175623	915338.886376092
5-074	989278	1.07581012199047	1064275.28586249
5-075	990185	0.985897357372136	976220.774809529
5-121	987129	0.997207354669022	984372.298807077
5-122	994391	1.00031830718984	994707.521804816
5-123	986708	1.00242148538713	989097.299003362
5-124	987096	0.908837325690786	897109.688840072
5-125	985272	0.936150392009039	922362.76903553
5-126	984779	0.924651694919763	910577.57147139
5-127	988662	0.984068413206589	972911.045537652
5-128	984471	1.00311914870772	987541.711447436
5-130	985595	0.992236447927903	977943.281895502
5-131	982805	0.918018615642566	902233.285546592
5-133	988661	0.988622824542669	977412.830335179
5-135	993369	0.928309769020337	922154.146941964
5-181	985660	0.928107872455045	914798.80556404
5-182	988117	0.986817962041324	975091.604198387
5-187	981077	1.04981147075899	1029945.88829782
5-188	984832	1.11570618933383	1098783.15785402
5-189	991767	1.00934184671739	1001031.93529337
5-197	983548	0.996938591209675	980536.957507094
