## Mon Oct 13 10:19:26 2025
## emapper-2.1.11
## /vortexfs1/home/rayna.hamilton/.conda/envs/eggnog/bin/emapper.py -i braker3/augustus.hints.aa --cpu 0 -o eggnogmapper/augustus --override -m diamond --itype proteins --data_dir /proj/omics/alexander/data/databases/eggnog/ --dbmem --cpu 10
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
g7969.t1	106582.XP_004547585.1	1.04e-24	120.0	KOG1056@1|root,KOG1056@2759|Eukaryota,38C5P@33154|Opisthokonta,3B9DN@33208|Metazoa,3CU4N@33213|Bilateria,47Z28@7711|Chordata,490CS@7742|Vertebrata,49RTG@7898|Actinopterygii	33208|Metazoa	T	glutamate receptor	GRM4	GO:0000187,GO:0001505,GO:0001640,GO:0001642,GO:0001932,GO:0001934,GO:0003008,GO:0003674,GO:0004888,GO:0004930,GO:0005488,GO:0005515,GO:0005516,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006820,GO:0006836,GO:0006865,GO:0007154,GO:0007165,GO:0007166,GO:0007186,GO:0007187,GO:0007188,GO:0007193,GO:0007196,GO:0007215,GO:0007216,GO:0007267,GO:0007268,GO:0007269,GO:0007275,GO:0007399,GO:0007610,GO:0007611,GO:0007612,GO:0008066,GO:0008150,GO:0008285,GO:0009893,GO:0009966,GO:0009967,GO:0009987,GO:0010562,GO:0010604,GO:0010646,GO:0010647,GO:0010648,GO:0010883,GO:0010884,GO:0010941,GO:0014051,GO:0015711,GO:0015718,GO:0015812,GO:0015849,GO:0016020,GO:0016021,GO:0016043,GO:0019220,GO:0019222,GO:0022008,GO:0023051,GO:0023052,GO:0023056,GO:0023057,GO:0023061,GO:0030030,GO:0030154,GO:0030182,GO:0030424,GO:0030425,GO:0031175,GO:0031224,GO:0031226,GO:0031323,GO:0031325,GO:0031399,GO:0031401,GO:0031410,GO:0031982,GO:0032147,GO:0032268,GO:0032270,GO:0032501,GO:0032502,GO:0032879,GO:0032940,GO:0033267,GO:0033674,GO:0035249,GO:0036477,GO:0038023,GO:0042127,GO:0042325,GO:0042327,GO:0042734,GO:0042981,GO:0042995,GO:0043005,GO:0043066,GO:0043067,GO:0043069,GO:0043085,GO:0043195,GO:0043198,GO:0043226,GO:0043227,GO:0043229,GO:0043405,GO:0043406,GO:0043408,GO:0043410,GO:0043523,GO:0043549,GO:0043679,GO:0044093,GO:0044306,GO:0044424,GO:0044425,GO:0044444,GO:0044456,GO:0044459,GO:0044463,GO:0044464,GO:0045202,GO:0045859,GO:0045860,GO:0045937,GO:0046717,GO:0046903,GO:0046942,GO:0048306,GO:0048468,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048666,GO:0048699,GO:0048731,GO:0048786,GO:0048787,GO:0048856,GO:0048869,GO:0050789,GO:0050790,GO:0050794,GO:0050804,GO:0050805,GO:0050877,GO:0050890,GO:0050896,GO:0051171,GO:0051173,GO:0051174,GO:0051179,GO:0051234,GO:0051246,GO:0051247,GO:0051338,GO:0051347,GO:0051641,GO:0051649,GO:0051716,GO:0051932,GO:0051966,GO:0060089,GO:0060255,GO:0060548,GO:0065007,GO:0065008,GO:0065009,GO:0071702,GO:0071705,GO:0071840,GO:0071900,GO:0071902,GO:0071944,GO:0080090,GO:0097060,GO:0097447,GO:0097458,GO:0097708,GO:0098590,GO:0098793,GO:0098916,GO:0098988,GO:0099177,GO:0099536,GO:0099537,GO:0099643,GO:0120025,GO:0120036,GO:0120038,GO:0150034,GO:1901214,GO:1902531,GO:1902533,GO:1905952,GO:1905954	-	ko:K04603,ko:K04604,ko:K04605,ko:K04607,ko:K04608	ko04020,ko04068,ko04072,ko04080,ko04540,ko04720,ko04723,ko04724,ko04730,ko04742,ko04915,ko05016,ko05030,map04020,map04068,map04072,map04080,map04540,map04720,map04723,map04724,map04730,map04742,map04915,map05016,map05030	-	-	-	ko00000,ko00001,ko01009,ko04030	9.A.14.7.1	-	-	7tm_3,ANF_receptor,NCD3G
g7970.t1	6669.EFX74361	5.38e-90	321.0	KOG1056@1|root,KOG1056@2759|Eukaryota,3AMTV@33154|Opisthokonta,3C0DZ@33208|Metazoa,3DGWH@33213|Bilateria,422K4@6656|Arthropoda	33208|Metazoa	PT	7 transmembrane sweet-taste receptor of 3 GCPR	-	-	-	ko:K04608	ko04072,ko04080,ko04724,map04072,map04080,map04724	-	-	-	ko00000,ko00001,ko01009,ko04030	-	-	-	7tm_3,ANF_receptor
g7972.t1	126957.SMAR010061-PA	1.29e-104	336.0	COG1131@1|root,KOG0059@2759|Eukaryota,38FR7@33154|Opisthokonta,3BG82@33208|Metazoa,3D1CH@33213|Bilateria,41VIV@6656|Arthropoda	33208|Metazoa	Q	ABC protein, subfamily ABCH	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0007275,GO:0008150,GO:0031410,GO:0031982,GO:0032501,GO:0032502,GO:0042335,GO:0043226,GO:0043227,GO:0043229,GO:0044424,GO:0044444,GO:0044464,GO:0048856,GO:0097708	-	-	-	-	-	-	-	-	-	-	ABC2_membrane,ABC2_membrane_3,ABC_tran
g7975.t1	7230.FBpp0161585	1.9e-54	184.0	KOG2873@1|root,KOG2873@2759|Eukaryota,38HKQ@33154|Opisthokonta,3BM2S@33208|Metazoa,3CZHN@33213|Bilateria,41ZPB@6656|Arthropoda,3SN5U@50557|Insecta,44X77@7147|Diptera,45TNK@7214|Drosophilidae	33208|Metazoa	C	Ubiquinol-cytochrome C chaperone	UQCC1	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006417,GO:0006996,GO:0007005,GO:0007030,GO:0008150,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010256,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010608,GO:0010628,GO:0016020,GO:0016043,GO:0017004,GO:0017062,GO:0019222,GO:0019866,GO:0022607,GO:0031090,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031410,GO:0031966,GO:0031967,GO:0031975,GO:0031982,GO:0032268,GO:0032270,GO:0033108,GO:0034248,GO:0034250,GO:0034551,GO:0034622,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0045727,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0060255,GO:0065003,GO:0065007,GO:0070129,GO:0070131,GO:0071840,GO:0080090,GO:0097708,GO:2000112	-	ko:K17662	-	-	-	-	ko00000,ko03029	-	-	-	Ubiq_cyt_C_chap
g7976.t1	43151.ADAC004818-PA	4.61e-52	182.0	KOG3080@1|root,KOG3080@2759|Eukaryota,39UF0@33154|Opisthokonta,3BG9F@33208|Metazoa,3CS8H@33213|Bilateria,41Y85@6656|Arthropoda,3SKJ3@50557|Insecta,452HE@7147|Diptera,45FRG@7148|Nematocera	33208|Metazoa	A	Eukaryotic rRNA processing protein EBP2	EBNA1BP2	GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0022613,GO:0030684,GO:0030687,GO:0031974,GO:0031981,GO:0032991,GO:0034399,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0042273,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044085,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0070013,GO:0071704,GO:0071840,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1990904	-	ko:K14823	-	-	-	-	ko00000,ko03009	-	-	-	Ebp2
g7980.t1	1211114.ALIP01000016_gene2799	0.0002	48.9	COG0666@1|root,COG0666@2|Bacteria,1RBYV@1224|Proteobacteria,1SE9G@1236|Gammaproteobacteria,1X3VM@135614|Xanthomonadales	135614|Xanthomonadales	S	ankyrin repeat	ank2	-	-	ko:K06867	-	-	-	-	ko00000	-	-	-	Ank,Ank_2,Ank_4,Ank_5
g7981.t1	7425.NV23134-PA	7.23e-06	55.5	COG0666@1|root,KOG0504@2759|Eukaryota,38FSA@33154|Opisthokonta,3BB34@33208|Metazoa,3D3K3@33213|Bilateria,422J7@6656|Arthropoda,3SR9F@50557|Insecta,46ITV@7399|Hymenoptera	33208|Metazoa	S	Ankyrin repeat	ANKRD16	-	-	-	-	-	-	-	-	-	-	-	Ank,Ank_2,Ank_3,Ank_4
g7983.t1	8049.ENSGMOP00000001690	1.76e-18	82.0	2CYC3@1|root,2S3GR@2759|Eukaryota,3A3VX@33154|Opisthokonta,3BRM6@33208|Metazoa,3D8AK@33213|Bilateria,48ET4@7711|Chordata,49BI0@7742|Vertebrata,4A7U8@7898|Actinopterygii	33208|Metazoa	S	Migration and invasion enhancer 1	MIEN1	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0008150,GO:0009898,GO:0010941,GO:0016020,GO:0030334,GO:0030335,GO:0031224,GO:0031226,GO:0031235,GO:0031344,GO:0031346,GO:0032879,GO:0040012,GO:0040017,GO:0042981,GO:0043066,GO:0043067,GO:0043069,GO:0044087,GO:0044089,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0051128,GO:0051130,GO:0051270,GO:0051272,GO:0051489,GO:0051491,GO:0060491,GO:0060548,GO:0065007,GO:0071944,GO:0098552,GO:0098562,GO:0120032,GO:0120034,GO:0120035,GO:2000145,GO:2000147	-	ko:K07401	-	-	-	-	ko00000	-	-	-	Rdx
g7984.t1	136037.KDR24472	2.41e-189	552.0	KOG2769@1|root,KOG2769@2759|Eukaryota,38CXJ@33154|Opisthokonta,3BDYK@33208|Metazoa,3CUR1@33213|Bilateria,41XVR@6656|Arthropoda,3SHKI@50557|Insecta	33208|Metazoa	A	It is involved in the biological process described with mRNA splicing, via spliceosome	PRPF3	GO:0000244,GO:0000375,GO:0000377,GO:0000387,GO:0000398,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005681,GO:0005684,GO:0005737,GO:0005829,GO:0006139,GO:0006355,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008380,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0015030,GO:0016043,GO:0016070,GO:0016071,GO:0016604,GO:0016607,GO:0019219,GO:0019222,GO:0022607,GO:0022613,GO:0022618,GO:0030532,GO:0031323,GO:0031326,GO:0031935,GO:0031974,GO:0031981,GO:0032991,GO:0033043,GO:0033044,GO:0034622,GO:0034641,GO:0042802,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044451,GO:0044464,GO:0046483,GO:0046540,GO:0050789,GO:0050794,GO:0051128,GO:0051171,GO:0051252,GO:0060255,GO:0060968,GO:0065003,GO:0065007,GO:0070013,GO:0071005,GO:0071011,GO:0071704,GO:0071826,GO:0071840,GO:0080090,GO:0090304,GO:0097159,GO:0097525,GO:0097526,GO:0120114,GO:1901360,GO:1901363,GO:1902275,GO:1903506,GO:1990904,GO:2000112,GO:2001141	-	ko:K12843	ko03040,map03040	M00354	-	-	ko00000,ko00001,ko00002,ko03041	-	-	-	DUF1115,PRP3,PWI
g7985.t1	28377.ENSACAP00000018208	2.52e-91	291.0	2CN11@1|root,2QT83@2759|Eukaryota,38D3X@33154|Opisthokonta,3BDRF@33208|Metazoa,3CX54@33213|Bilateria,482YQ@7711|Chordata,494V4@7742|Vertebrata	33208|Metazoa	S	DNA-binding transcription factor activity, RNA polymerase II-specific	-	-	-	-	-	-	-	-	-	-	-	-	-
